GCCSA_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
9OTER,8,17,0,3,35,1801,645,168,75,2692
99799,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,56,24,31,6,118
8ACTE,168,395,46,54,665,148727,59241,9400,3273,220639
89799,0,0,0,0,0,0,0,0,0,0
89499,9,20,4,4,32,4093,2246,317,157,6817
7RNTE,62,47,6,7,130,24218,6734,1581,1071,33604
7GDAR,77,90,9,15,195,53117,14526,3166,1571,72381
79799,0,0,0,0,0,74,6,9,3,91
79499,10,3,4,0,20,2411,819,334,109,3674
6RTAS,246,460,47,74,821,58949,39968,4615,1978,105512
6GHOB,92,293,27,49,462,57235,37844,4087,1488,100657
69799,0,0,0,0,0,43,10,5,0,55
69499,12,28,4,7,54,4823,3544,518,250,9132
5RWAU,653,916,116,156,1836,163712,66170,13665,5099,248646
5GPER,819,2272,178,186,3458,526225,291704,29838,13860,861625
59799,4,0,0,0,4,1315,74,169,31,1595
59499,51,125,37,22,229,30815,18821,3494,1251,54378
4RSAU,573,797,106,163,1646,84769,52413,6274,2837,146296
4GADE,627,1450,137,193,2404,329918,203775,20058,8419,562169
49799,0,0,0,0,0,41,11,14,0,64
49499,40,99,19,24,185,17962,13830,1811,699,34306
3RQLD,2301,2959,285,582,6129,602946,331156,33928,18808,986831
3GBRI,995,1987,156,310,3444,666344,327746,33638,17182,1044909
39799,0,0,0,0,0,150,14,24,11,202
39499,90,225,52,47,410,57917,33813,4788,2400,98920
2RVIC,1875,2490,334,456,5154,314795,206960,23240,11362,556360
2GMEL,2323,5062,462,691,8544,1283518,670412,62425,38427,2054783
29799,0,0,0,0,0,110,24,22,9,155
29499,139,351,60,61,612,68404,42345,5166,3122,119037
1RNSW,3133,4149,466,860,8600,584273,357553,36838,19936,998604
1GSYD,2662,5872,457,613,9601,1452618,657190,63483,42846,2216135
19799,0,0,0,0,0,52,18,9,0,90
19499,130,389,76,91,688,81622,51876,6077,3790,143362
