GCCSA_CODE_2016,M_15_19_E,M_15_19_OM_IE,M_15_19_OM_UIE,M_15_19_CFW,M_15_19_SE_NS,M_15_19_Total,M_20_24_E,M_20_24_OM_IE,M_20_24_OM_UIE,M_20_24_CFW,M_20_24_ES_NS,M_20_24_Total,M_25_29_E,M_25_29_OM_IE,M_25_29_OM_UIE,M_25_29_CFW,M_25_29_ES_NS,M_25_29_Total,M_30_34_E,M_30_34_OM_IE,M_30_34_OM_UIE,M_30_34_CFW,M_30_34_ES_NS,M_30_34_Total,M_35_39_E,M_35_39_OM_IE,M_35_39_OM_UIE,M_35_39_CFW,M_35_39_ES_NS,M_35_39_Total,M_40_44_E,M_40_44_OM_IE,M_40_44_OM_UIE,M_40_44_CFW,M_40_44_ES_NS,M_40_44_Total,M_45_49_E,M_45_49_OM_IE,M_45_49_OM_UIE,M_45_49_CFW,M_45_49_ES_NS,M_45_49_Total,M_50_54_E,M_50_54_OM_IE,M_50_54_OM_UIE,M_50_54_CFW,M_50_54_ES_NS,M_50_54_Total,M_55_59_E,M_55_59_OM_IE,M_55_59_OM_UIE,M_55_59_CFW,M_55_59_ES_NS,M_55_59_Total,M_60_64_E,M_60_64_OM_IE,M_60_64_OM_UIE,M_60_64_CFW,M_60_64_ES_NS,M_60_64_Total,M_65_69_E,M_65_69_OM_IE,M_65_69_OM_UIE,M_65_69_CFW,M_65_69_ES_NS,M_65_69_Total,M_70_74_E,M_70_74_OM_IE,M_70_74_OM_UIE,M_70_74_CFW,M_70_74_ES_NS,M_70_74_Total,M_75ov_E,M_75ov_OM_IE,M_75ov_OM_UIE,M_75ov_CFW,M_75ov_ES_NS,M_75ov_Total,M_Total_E,M_Total_OM_IE,M_Total_OM_UIE,M_Total_CFW,M_Total_ES_NS,M_Total_Total,F_15_19_E,F_15_19_OM_IE,F_15_19_OM_UIE,F_15_19_CFW,F_15_19_ES_NS,F_15_19_Total,F_20_24_E,F_20_24_OM_IE,F_20_24_OM_UIE,F_20_24_CFW,F_20_24_ES_NS,F_20_24_Total,F_25_29_E,F_25_29_OM_IE,F_25_29_OM_UIE,F_25_29_CFW,F_25_29_ES_NS,F_25_29_Total,F_30_34_E,F_30_34_OM_IE,F_30_34_OM_UIE,F_30_34_CFW,F_30_34_ES_NS,F_30_34_Total,F_35_39_E,F_35_39_OM_IE,F_35_39_OM_UIE,F_35_39_CFW,F_35_39_ES_NS,F_35_39_Total,F_40_44_E,F_40_44_OM_IE,F_40_44_OM_UIE,F_40_44_CFW,F_40_44_ES_NS,F_40_44_Total,F_45_49_E,F_45_49_OM_IE,F_45_49_OM_UIE,F_45_49_CFW,F_45_49_ES_NS,F_45_49_Total,F_50_54_E,F_50_54_OM_IE,F_50_54_OM_UIE,F_50_54_CFW,F_50_54_ES_NS,F_50_54_Total,F_55_59_E,F_55_59_OM_IE,F_55_59_OM_UIE,F_55_59_CFW,F_55_59_ES_NS,F_55_59_Total,F_60_64_E,F_60_64_OM_IE,F_60_64_OM_UIE,F_60_64_CFW,F_60_64_ES_NS,F_60_64_Total,F_65_69_E,F_65_69_OM_IE,F_65_69_OM_UIE,F_65_69_CFW,F_65_69_ES_NS,F_65_69_Total,F_70_74_E,F_70_74_OM_IE,F_70_74_OM_UIE,F_70_74_CFW,F_70_74_ES_NS,F_70_74_Total,F_75ov_E,F_75ov_OM_IE,F_75ov_OM_UIE,F_75ov_CFW,F_75ov_ES_NS,F_75ov_Total,F_Total_E,F_Total_OM_IE,F_Total_OM_UIE,F_Total_CFW,F_Total_ES_NS,F_Total_Total,P_15_19_E,P_15_19_OM_IE,P_15_19_OM_UIE,P_15_19_CFW,P_15_19_ES_NS,P_15_19_Total,P_20_24_E,P_20_24_OM_IE,P_20_24_OM_UIE,P_20_24_CFW,P_20_24_ES_NS,P_20_24_Total,P_25_29_E,P_25_29_OM_IE,P_25_29_OM_UIE,P_25_29_CFW,P_25_29_ES_NS,P_25_29_Total,P_30_34_E,P_30_34_OM_IE,P_30_34_OM_UIE,P_30_34_CFW,P_30_34_ES_NS,P_30_34_Total,P_35_39_E,P_35_39_OM_IE,P_35_39_OM_UIE,P_35_39_CFW,P_35_39_ES_NS,P_35_39_Total,P_40_44_E,P_40_44_OM_IE
9OTER,37,0,0,0,0,41,98,0,0,0,0,96,114,4,3,0,0,127,125,4,14,0,3,143,145,7,7,0,3,165,124,4,11,0,3,147,124,8,22,3,3,163,156,4,20,5,6,192,131,15,29,5,7,187,106,6,25,8,3,143,78,8,13,3,3,104,17,0,5,3,3,25,4,0,15,3,0,22,1253,62,157,34,41,1545,33,0,0,0,0,37,60,0,0,0,0,65,88,0,0,0,0,93,95,4,15,0,3,112,100,3,9,3,3,117,114,3,9,0,3,128,103,4,15,0,0,128,119,3,15,3,3,143,105,3,15,3,0,129,78,4,4,7,0,90,44,0,12,3,0,66,11,0,11,0,3,24,4,6,3,0,0,13,956,34,112,21,28,1145,70,0,0,0,0,75,155,0,0,0,0,161,203,3,3,0,3,212,216,4,23,0,7,250,248,8,17,3,8,289,233,12
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,7,0,0,0,0,10,9,0,0,0,0,9,11,0,0,0,0,14,10,0,0,0,0,15,7,3,3,0,0,13,8,4,0,0,0,4,0,0,0,0,0,0,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,63,7,7,4,0,83,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,16,15,0,0,0,0,17,11,0,0,0,0,11,14,0
8ACTE,4967,15,29,30,36,5073,10075,95,172,30,58,10424,11946,327,308,31,56,12663,13160,649,426,44,59,14338,12052,793,431,48,60,13376,11230,912,475,54,75,12745,10604,1032,521,58,59,12274,9352,891,559,57,65,10922,7297,752,514,65,55,8677,4190,563,488,60,37,5340,1871,382,350,74,31,2706,510,166,150,42,19,880,195,80,75,52,14,424,97441,6637,4497,644,626,109846,6003,12,46,16,38,6122,10942,39,103,14,44,11137,13261,111,169,33,45,13619,13609,223,319,62,50,14262,12156,327,393,73,48,12986,11949,372,404,70,54,12842,11491,429,430,83,58,12488,10228,356,415,72,41,11107,7704,297,361,69,39,8475,4420,202,275,52,44,4992,1561,124,198,53,37,1977,383,49,74,31,18,553,130,24,41,29,21,245,103836,2557,3220,654,528,110796,10971,28,70,48,74,11188,21015,130,269,47,100,21559,25203,437,478,67,100,26283,26764,868,744,106,107,28594,24204,1115,819,113,103,26366,23177,1283
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,239,7,25,0,3,274,533,11,71,0,7,618,509,77,116,3,9,711,387,112,130,0,3,627,322,97,141,5,3,569,262,129,146,0,7,541,250,85,152,12,13,507,197,74,140,6,7,423,174,63,138,3,0,378,120,50,98,8,7,274,60,18,52,0,5,138,10,6,21,3,0,39,8,0,5,3,3,20,3065,732,1240,38,57,5137,116,3,11,0,0,134,193,0,34,3,0,235,146,3,27,0,4,179,133,14,19,4,0,159,119,3,26,0,0,153,111,11,27,0,0,149,118,17,37,4,0,180,104,15,39,5,0,161,90,5,38,0,4,137,83,3,20,0,0,111,37,0,14,4,0,56,7,0,4,0,0,12,5,0,0,0,4,11,1276,73,290,31,19,1683,358,6,38,4,8,410,726,13,106,3,6,847,652,82,141,6,10,895,514,125,149,4,4,789,441,103,165,6,7,725,374,139
7RNTE,715,3,8,10,9,747,1429,13,21,0,16,1472,2067,29,53,4,15,2170,2081,67,62,7,12,2230,1761,59,57,3,23,1904,1710,93,62,9,16,1897,1661,125,85,7,22,1895,1643,132,101,15,27,1918,1462,112,98,12,15,1702,1013,93,74,17,15,1218,426,63,51,17,7,560,125,22,21,20,3,196,41,11,16,11,3,79,16131,820,707,140,188,17986,634,0,9,0,13,652,1222,3,8,3,12,1252,1920,17,32,9,13,1992,1899,34,53,4,16,2001,1525,40,55,10,26,1658,1492,65,56,9,12,1628,1625,65,49,12,21,1773,1512,73,67,20,19,1685,1333,57,42,15,15,1460,849,45,49,10,14,970,329,15,19,15,11,394,77,6,8,7,4,99,28,3,9,3,0,53,14444,418,452,126,170,15613,1349,3,11,17,24,1399,2650,12,29,9,26,2720,3982,49,83,14,26,4160,3975,93,110,12,30,4227,3285,98,120,14,49,3566,3202,159
7GDAR,1538,3,6,9,25,1588,3530,27,44,10,32,3636,4974,78,104,8,49,5215,5135,164,151,14,54,5522,4308,274,186,26,37,4830,3869,298,193,19,41,4419,3683,339,224,24,38,4307,3166,316,242,36,39,3804,2599,261,220,29,26,3137,1706,195,197,33,30,2173,659,120,123,27,8,939,163,42,52,20,9,275,60,22,20,18,8,124,35398,2139,1761,268,401,39969,1518,8,8,11,16,1561,2941,9,26,5,27,3010,4246,40,81,8,26,4410,4098,84,150,26,41,4401,3461,106,150,35,29,3777,3208,170,178,36,39,3630,3113,170,189,34,25,3537,2693,148,179,34,29,3088,2229,139,123,34,30,2556,1308,77,92,30,15,1526,541,43,47,17,11,662,110,20,28,13,8,183,36,8,16,10,9,74,29507,1028,1272,304,303,32412,3054,12,16,26,44,3147,6474,40,64,12,59,6652,9217,121,190,19,74,9620,9236,254,301,42,93,9926,7769,387,334,57,64,8610,7073,465
79799,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,21,0,0,0,0,21,4,0,0,0,0,4,12,0,0,0,0,13,8,0,0,0,0,9,17,0,0,0,0,15,15,0,0,0,0,15,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,74,3,4,4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,21,0,0,0,0,21,5,0,0,0,0,4,10,0
79499,72,3,3,0,0,80,170,0,25,4,9,205,356,15,41,3,3,422,291,29,55,0,7,384,226,35,68,3,3,333,189,42,74,3,6,320,184,23,91,4,4,308,156,45,67,8,10,279,144,39,65,0,6,249,79,26,39,7,3,151,38,9,26,4,0,74,10,3,9,0,0,18,9,0,3,0,0,13,1923,275,548,32,48,2829,25,0,0,0,0,29,55,0,9,0,0,64,77,3,13,4,3,94,79,11,22,0,0,115,65,5,14,3,0,95,51,10,22,4,0,89,48,7,20,3,0,79,55,5,25,3,0,92,47,4,23,0,3,81,40,4,20,6,0,73,11,0,7,0,0,23,3,4,0,0,0,11,3,0,0,0,0,7,571,58,183,23,14,849,98,3,6,0,0,110,223,3,30,3,11,264,435,16,50,3,6,516,374,40,78,0,7,496,291,44,82,10,3,427,237,53
6RTAS,2731,5,16,27,60,2845,4445,27,106,32,57,4672,4194,109,213,31,34,4583,4257,229,379,41,44,4947,3945,310,403,64,57,4784,4313,419,538,79,62,5399,4692,543,698,86,86,6105,4763,546,737,135,83,6263,4269,542,890,198,90,5999,2936,447,835,157,83,4462,1004,303,479,181,45,2011,326,127,230,146,25,843,121,75,195,131,44,563,41992,3683,5722,1307,781,53486,3233,7,11,26,42,3319,4234,13,53,15,39,4353,4059,42,156,35,35,4324,4049,92,281,89,43,4547,4171,137,324,83,41,4749,4870,231,423,124,60,5703,5592,280,488,135,76,6572,5498,283,466,169,73,6485,4965,284,504,196,64,6010,2970,190,389,173,55,3783,926,133,232,117,45,1455,220,40,104,77,27,467,77,34,63,50,27,257,44854,1766,3497,1286,624,52032,5966,13,26,55,102,6159,8672,40,164,45,98,9029,8255,153,373,63,73,8907,8303,322,658,127,87,9496,8115,451,731,143,98,9533,9176,647
6GHOB,2362,4,15,11,32,2423,4192,18,82,4,46,4341,4471,117,243,14,35,4877,4583,226,343,24,54,5233,4229,295,379,25,41,4967,4399,374,503,28,46,5357,4521,444,494,50,65,5574,4335,469,575,49,64,5491,4015,435,605,49,50,5158,2441,347,500,70,34,3390,932,217,363,68,30,1604,232,79,149,48,8,517,105,51,78,46,18,295,40808,3089,4330,496,525,49249,2946,8,22,10,30,3019,4529,10,54,9,37,4643,4710,39,148,10,41,4953,4874,81,254,48,26,5283,4617,126,335,48,27,5159,5251,178,403,45,39,5911,5365,211,367,59,38,6043,5256,208,399,60,50,5982,4796,169,335,59,57,5406,2831,123,242,62,41,3303,878,73,174,46,20,1190,216,19,76,38,16,363,77,13,31,13,21,166,46350,1272,2835,508,447,51410,5303,14,39,26,63,5443,8723,30,137,10,85,8983,9183,155,393,28,72,9833,9461,307,593,73,82,10520,8842,427,713,76,69,10129,9644,554
