GCCSA_CODE_2016,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
9OTER,17,0,0,0,0,21,66,0,0,0,0,71,89,0,8,0,0,95,96,4,4,0,3,114,111,3,10,0,3,131,106,4,11,0,3,124,99,9,18,3,3,131,119,3,20,3,6,141,106,15,15,4,3,147,79,3,11,3,0,101,58,3,9,0,0,67,14,0,3,0,0,20,3,0,5,0,0,13,966,48,107,17,19,1167,19,0,0,0,0,19,18,0,0,0,0,18,14,0,0,0,0,19,15,0,3,0,0,16,22,0,0,0,0,20,6,0,0,0,0,8,15,0,3,0,0,21,25,5,3,0,0,38,10,0,10,0,0,21,12,3,4,0,0,24,16,9,4,3,3,28,3,0,3,0,0,5,5,0,4,0,0,5,176,14,34,13,9,245,88,0,7,4,0,98,25,3,0,3,10,37,1253,62,157,34,41,1545,3,0,0,0,0,10,33,0,0,0,0,38,60,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,3,8,0,0,0,0,8,3,0,0,0,0,3,5,0,0,0,0,5,7,3,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,17,16,3,0,0,0,19,0,0,0,0,0,3,63,7,7,4,0,83,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8ACTE,1147,4,12,8,3,1167,5651,73,90,5,23,5846,9589,290,210,12,27,10133,11089,577,306,23,32,12031,10295,688,302,29,32,11343,9802,791,329,37,47,11006,9361,925,371,27,37,10727,8124,779,388,31,31,9348,6087,616,309,37,32,7077,3106,417,243,27,23,3811,1107,227,137,23,11,1511,200,89,50,11,4,348,56,41,17,7,0,120,75602,5514,2758,278,307,84456,3471,10,20,16,18,3541,3902,22,69,24,20,4027,1865,26,83,16,8,2003,1514,49,112,18,11,1707,1278,75,110,17,10,1489,1025,96,130,12,14,1270,867,88,127,30,5,1112,793,99,151,17,7,1064,853,109,175,19,12,1167,837,127,232,30,7,1229,625,141,199,46,12,1017,272,72,91,29,10,469,123,34,51,25,0,242,17425,941,1540,301,136,20338,2969,99,109,35,43,3259,1446,85,83,32,137,1792,97441,6637,4497,644,626,109846,878,0,5,0,6,896,5385,18,30,3,14,5455,9379,72
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,124,0,9,0,0,132,362,5,42,0,0,419,399,74,87,0,0,565,306,103,94,0,3,502,264,88,93,5,4,456,204,106,90,0,3,407,189,71,93,6,7,359,150,62,75,0,3,295,120,44,73,0,0,237,72,27,53,3,0,156,27,12,15,0,0,56,3,4,3,0,0,10,0,0,0,0,0,3,2226,603,731,14,27,3600,102,3,10,0,3,122,143,5,25,0,3,170,80,5,28,3,3,118,57,12,38,0,0,99,39,9,40,0,0,85,44,18,57,0,3,122,45,11,55,5,0,122,23,10,53,5,0,99,43,17,55,0,0,111,41,18,42,3,4,109,25,5,38,0,0,74,5,3,16,0,0,30,8,0,3,3,0,12,652,110,458,20,19,1275,114,9,36,5,0,162,69,9,16,0,5,104,3065,732,1240,38,57,5137,8,0,0,0,0,7,56,0,5,0,0,60,60,3
7RNTE,310,0,0,0,5,317,1099,3,16,0,6,1128,1681,21,44,0,9,1754,1669,60,46,3,6,1786,1393,50,43,3,8,1511,1380,85,44,8,6,1519,1358,105,69,7,15,1548,1334,110,75,13,15,1555,1186,103,74,11,5,1378,792,71,45,14,6,932,298,47,27,4,5,383,75,21,10,12,3,118,24,10,11,3,0,45,12605,691,507,82,89,13978,337,0,4,3,3,353,229,3,0,0,0,230,243,3,8,3,4,262,254,4,13,3,4,279,218,3,16,0,5,242,210,3,11,0,5,234,195,13,12,0,4,222,181,17,17,3,3,217,151,12,17,3,6,192,141,18,27,3,3,189,92,10,20,9,0,129,41,3,15,4,0,64,20,4,3,5,0,32,2319,94,165,40,36,2645,738,23,26,3,14,808,461,11,19,17,53,559,16131,820,707,140,188,17986,250,0,3,0,3,256,832,0,3,3,7,842,1380,15
7GDAR,540,0,0,0,10,554,2559,23,26,0,18,2624,4102,67,63,9,28,4270,4405,147,108,10,34,4702,3776,243,136,15,26,4197,3363,276,150,13,32,3828,3224,309,171,17,27,3735,2747,274,163,22,20,3222,2172,210,142,21,18,2571,1389,173,110,18,15,1710,472,86,68,17,9,644,93,28,27,4,0,162,30,9,9,4,3,58,28863,1841,1182,150,233,32275,881,3,9,8,10,905,696,7,9,6,8,720,570,8,30,3,10,621,420,9,32,0,8,479,310,26,38,4,4,381,275,19,34,0,5,338,260,24,47,5,3,333,221,27,70,11,0,333,235,31,67,3,6,337,200,22,81,13,6,316,144,29,52,11,0,240,47,13,22,4,5,94,23,6,9,11,0,48,4279,219,501,87,63,5146,1467,53,48,9,26,1597,788,27,33,20,79,947,35398,2139,1761,268,401,39969,389,0,0,0,0,392,1841,3,15,0,8,1875,2984,23
79799,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,17,0,0,0,0,17,3,0,0,0,0,5,7,0,0,0,0,12,4,0,0,0,0,6,10,0,0,0,0,12,8,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,3,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,4,3,0,0,0,0,3,74,3,4,4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,36,0,0,0,0,44,131,0,9,3,5,145,294,13,27,0,0,340,250,27,34,0,7,316,185,29,44,0,0,254,153,30,52,0,6,244,151,16,57,0,3,227,115,31,40,3,0,189,108,24,33,0,0,159,58,16,10,0,3,88,22,3,10,3,0,36,3,0,0,0,0,6,3,0,3,0,0,10,1508,189,323,11,22,2056,27,3,3,0,0,33,27,0,11,0,0,39,31,0,12,0,0,42,23,3,14,0,0,41,17,7,20,0,0,43,13,9,18,3,0,48,17,5,26,3,0,53,21,3,24,0,4,53,18,8,20,0,3,50,5,8,19,0,0,33,7,4,12,0,0,22,0,4,6,0,0,11,0,0,0,0,0,3,224,48,175,11,14,468,136,32,48,9,6,228,50,6,5,4,10,74,1923,275,548,32,48,2829,9,0,0,0,0,9,27,0,3,0,0,28,45,3
