GCCSA_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
9OTER,33,0,3,0,0,42,4,0,0,0,0,4,34,0,4,0,0,38,15,4,0,0,0,23,0,0,0,0,0,3,20,0,0,0,0,20,0,0,0,0,0,0,99,6,15,4,3,122,3,0,4,0,0,7,3,0,0,0,0,6,4,0,0,0,0,3,59,7,14,4,0,77,46,3,7,0,8,69,2215,93,272,49,62,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,10,0,4,0,0,0,4,92,13,11,3,0,118
8ACTE,2603,40,37,14,18,2711,434,40,38,0,0,511,528,22,19,4,0,573,1330,69,54,7,4,1458,1757,42,44,10,4,1851,730,32,36,9,6,813,118,11,12,0,4,148,8227,413,392,48,37,9119,1526,68,71,8,6,1680,1805,93,127,36,20,2085,457,17,10,0,3,486,10989,469,493,98,93,12146,1224,73,59,11,72,1441,201277,9191,7720,1301,1151,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,19,5,4,0,0,29,4,0,4,0,0,15,3,0,0,0,0,7,18,0,7,0,0,26,18,3,6,0,0,29,5,0,0,0,0,10,4,0,0,0,0,4,138,19,70,0,0,223,22,0,3,0,3,36,24,6,11,3,0,43,0,0,0,0,0,0,237,72,104,5,13,424,54,4,18,5,6,84,4341,805,1533,69,78,6817
7RNTE,649,7,12,5,9,682,24,0,0,0,0,19,38,0,0,0,0,38,205,5,12,3,0,229,92,3,0,0,0,98,76,0,5,0,0,90,7,0,0,0,0,7,1090,56,67,10,10,1232,484,3,6,0,0,498,65,18,37,6,3,125,193,0,6,0,0,203,1181,30,53,8,11,1278,540,29,40,14,18,640,30573,1238,1163,266,364,33604
7GDAR,3036,32,63,17,33,3181,51,3,5,0,0,62,144,9,9,0,0,163,500,12,19,3,3,540,358,19,16,0,3,399,345,5,52,8,10,428,19,3,3,0,0,24,3279,170,160,19,27,3659,244,4,12,0,0,270,300,36,95,17,3,457,319,11,3,0,0,340,4141,180,224,44,38,4629,869,58,52,26,68,1071,64902,3172,3030,572,706,72381
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,9,0,0,0,0,0,0,88,3,4,4,0,91
79499,49,0,3,0,0,51,0,0,0,0,0,4,6,0,0,0,0,6,9,0,0,0,0,12,3,0,0,0,0,3,10,0,10,0,0,23,0,0,0,0,0,0,133,18,44,3,0,201,12,3,3,0,0,11,17,0,3,0,0,23,7,0,0,0,0,9,96,4,25,3,0,131,48,8,17,4,10,79,2491,331,736,60,61,3674
6RTAS,355,4,7,15,9,386,51,3,11,3,0,72,67,4,6,0,0,82,276,38,41,14,3,371,90,12,12,0,0,120,83,3,12,3,0,108,12,4,5,0,0,13,2790,248,511,132,46,3723,213,21,35,13,3,284,62,5,15,3,0,80,67,3,5,8,0,87,1209,86,140,39,30,1501,1804,147,248,76,120,2381,86849,5446,9220,2597,1406,105512
6GHOB,365,5,10,3,4,386,89,11,21,0,0,120,113,10,12,3,3,135,420,47,42,5,3,514,91,3,11,0,0,100,159,3,21,8,3,189,10,5,3,0,0,18,3429,231,481,60,29,4230,378,20,57,7,4,473,84,10,25,0,4,123,82,5,0,0,0,97,1835,88,200,24,22,2166,1175,49,95,21,95,1446,87152,4358,7171,1005,974,100657
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,0,55
69499,12,0,3,0,0,15,3,3,6,0,0,13,8,0,4,0,0,12,9,3,11,0,0,21,4,0,0,0,0,5,4,3,3,0,0,10,0,0,0,0,0,3,166,18,164,3,6,353,11,3,12,0,0,23,0,0,0,0,0,3,0,0,0,0,0,3,74,10,27,3,0,119,141,14,70,3,10,243,5407,613,2815,126,170,9132
