GCCSA_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
9OTER,0,0,0,0,0,36,17,5,0,57,26,41,3,10,75,108,39,11,3,161,153,37,19,5,212,172,61,22,3,250,197,60,21,9,289,195,53,20,5,271,210,55,16,7,289,233,76,9,10,335,222,60,24,7,320,147,62,17,6,234,98,58,7,6,167,33,23,0,0,54,8,17,0,3,35,1801,645,168,75,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,4,3,0,16,3,4,5,0,17,8,3,3,0,11,3,5,3,3,16,8,6,6,0,19,12,0,0,0,18,5,3,4,0,12,0,0,0,0,3,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,56,24,31,6,118
8ACTE,3,13,3,3,20,1420,569,84,110,2183,2063,8350,416,365,11188,11298,9034,684,539,21559,19690,5079,1140,374,26283,20367,5972,1887,368,28594,18553,6142,1309,366,26366,18946,5563,797,280,25587,19002,4806,667,280,24765,16919,4061,820,234,22031,12502,3703,755,192,17153,6459,3226,531,116,10335,2257,2086,273,65,4678,505,814,76,38,1437,168,395,46,54,665,148727,59241,9400,3273,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,52,23,0,3,85,140,228,20,17,410,478,312,36,23,847,635,200,36,29,895,569,172,35,13,789,502,168,37,14,725,468,198,20,11,698,430,226,21,15,690,349,192,37,15,587,275,200,30,11,516,174,184,18,6,385,69,113,12,0,199,13,37,4,5,53,9,20,4,4,32,4093,2246,317,157,6817
7RNTE,3,0,0,3,3,376,149,33,110,673,573,687,58,87,1399,1969,526,92,132,2720,3169,656,192,148,4160,3037,836,221,140,4227,2514,748,192,110,3566,2578,703,150,93,3525,2775,659,148,88,3667,2765,571,169,102,3603,2421,511,169,71,3167,1598,421,114,49,2183,608,263,56,28,953,164,106,11,13,293,62,47,6,7,130,24218,6734,1581,1071,33604
7GDAR,3,0,0,0,3,633,193,41,97,972,943,1978,99,126,3147,4498,1659,279,216,6652,7342,1657,397,220,9620,7518,1655,545,205,9926,6588,1509,360,146,8610,6289,1335,287,136,8044,6219,1203,278,146,7840,5441,1004,300,141,6885,4307,980,307,96,5692,2673,773,179,67,3695,989,495,85,36,1608,239,184,24,10,464,77,90,9,15,195,53117,14526,3166,1571,72381
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,20,3,0,0,21,3,0,0,0,4,14,0,0,0,13,7,0,0,0,9,12,0,3,3,15,14,0,0,0,13,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,74,6,9,3,91
79499,0,0,0,0,0,35,8,5,7,62,48,48,3,6,110,176,61,10,17,264,394,72,42,13,516,367,84,29,12,496,300,84,36,6,427,274,89,30,12,413,268,87,29,15,389,232,83,51,9,372,190,79,47,10,324,109,72,29,6,221,48,30,12,3,98,11,15,7,0,29,10,3,4,0,20,2411,819,334,109,3674
6RTAS,5,11,3,3,25,923,647,79,87,1737,1419,4308,241,192,6159,4918,3579,352,181,9029,5668,2683,405,155,8907,5688,3120,533,154,9496,5582,3419,372,159,9533,6688,3910,326,176,11104,7885,4169,412,216,12678,7918,4156,503,177,12747,6993,4188,615,210,12010,4165,3436,511,134,8248,1365,1779,238,88,3466,419,761,67,63,1314,246,460,47,74,821,58949,39968,4615,1978,105512
6GHOB,6,6,0,3,15,743,527,52,68,1389,898,4173,241,134,5443,4203,4285,331,167,8983,6224,3018,415,166,9833,6424,3330,594,167,10520,6089,3478,441,118,10129,7002,3791,350,126,11263,7578,3594,316,136,11617,7475,3455,398,152,11476,6484,3517,450,117,10568,3464,2813,334,83,6695,1076,1545,121,51,2792,235,568,60,19,883,92,293,27,49,462,57235,37844,4087,1488,100657
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,4,4,0,0,0,5,3,0,0,0,7,5,0,0,0,5,4,0,0,0,5,9,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,5,0,55
