LGA_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA10050,9,1492,1361,126,122,14,4,1629,1497,175,122,17,15,1829,1421,196,135,15,10,1784,1262,149,126,11,8,1564,680,102,91,12,12,900,179,49,45,14,0,289,27,13,13,0,3,51,8,4,5,3,0,23,12114,1057,941,104,92,14311,1225,3,6,8,12,1253,979,0,18,4,3,1003,661,11,30,3,4,701,755,21,50,12,0,842,708,25,65,21,5,821,722,35,62,12,3,833,683,48,57,14,4,812,681,43,65,7,8,801,664,41,71,16,7,799,555,40,76,22,3,696,269,38,64,18,0,381,59,12,19,14,4,115,31,0,9,12,6,60,7989,330,593,149,55,9114,854,23,55,12,21,970,315,9,25,24,49,424,21265,1427,1611,294,214,24820
LGA10130,5,689,695,56,80,14,8,848,758,78,77,8,3,934,795,97,112,16,8,1034,691,81,94,25,11,906,374,53,101,20,4,560,86,27,76,28,4,219,25,14,31,29,4,103,10,4,20,26,0,60,6061,528,744,194,58,7589,615,0,3,14,4,637,646,3,7,4,10,670,365,0,11,3,3,384,328,10,24,8,0,361,323,12,25,3,7,366,358,20,29,8,0,415,341,13,38,5,3,409,340,19,51,12,5,420,335,22,44,13,0,409,245,17,48,16,5,325,125,12,38,31,3,207,45,6,30,26,3,107,18,6,23,18,3,62,4080,141,361,158,41,4777,421,25,25,16,11,496,181,9,19,25,24,252,10745,696,1145,392,132,13113
LGA10250,13,826,686,117,112,16,7,939,754,115,138,12,8,1032,768,144,155,19,6,1094,720,90,162,16,8,996,399,71,132,18,3,625,89,35,60,11,0,205,24,19,22,13,3,77,11,6,19,11,0,49,5847,757,1026,142,59,7830,737,0,4,6,6,751,468,0,11,3,7,487,323,4,23,6,3,357,352,11,41,11,3,425,374,26,65,11,0,474,483,34,95,12,4,625,502,35,82,15,10,646,510,39,92,22,4,664,570,39,95,22,7,731,418,52,109,21,8,603,204,45,73,26,10,350,59,9,42,16,3,130,19,15,29,19,5,81,5024,305,767,183,55,6331,381,35,58,15,10,486,176,25,21,8,55,291,11420,1120,1876,351,181,14940
LGA10300,0,45,38,13,7,3,0,62,41,9,7,4,0,56,36,10,10,9,0,61,36,13,18,7,0,75,24,6,19,5,0,50,3,3,8,0,0,17,0,0,3,0,0,6,0,0,0,0,0,0,318,64,86,43,3,517,12,0,0,0,0,16,17,0,0,0,0,21,16,3,0,0,0,15,11,0,0,0,0,17,18,0,0,4,0,26,26,0,7,3,0,33,24,4,0,0,0,29,22,3,5,0,0,28,25,0,0,0,0,32,28,0,3,5,0,32,5,5,0,0,0,11,0,0,0,4,0,7,3,0,0,4,0,3,211,20,20,19,7,272,26,0,0,0,3,28,15,0,0,3,9,25,567,87,105,63,14,844
LGA10470,0,1047,1003,102,90,15,14,1224,1096,114,109,20,3,1341,1041,115,103,21,12,1296,908,94,91,27,13,1132,522,62,81,25,6,690,134,47,68,30,4,279,24,8,24,16,0,73,11,7,20,12,0,45,8639,746,806,178,78,10452,776,0,3,8,8,798,786,4,14,7,8,818,443,6,12,5,3,476,436,15,31,8,8,499,397,15,44,11,0,473,454,14,47,10,7,528,418,24,46,6,8,500,401,19,34,18,3,478,391,21,52,23,9,496,331,22,52,12,0,421,155,19,54,19,0,244,62,12,35,15,3,125,24,9,18,18,3,78,5077,193,447,158,56,5921,582,25,26,17,21,676,233,3,26,15,46,332,14529,973,1313,366,199,17376
LGA10550,8,539,504,83,82,4,8,682,639,90,102,14,9,865,680,109,135,21,12,955,580,103,143,21,9,852,320,72,104,20,11,527,89,47,50,19,5,211,10,10,22,14,0,68,10,3,16,11,0,40,4607,604,822,142,87,6257,496,0,3,5,5,506,233,0,3,0,3,251,218,6,9,3,0,235,268,6,16,9,3,303,310,18,44,3,0,370,341,25,50,13,6,431,390,21,64,11,10,493,463,26,70,19,5,593,546,51,98,17,3,722,376,44,95,34,10,560,164,29,76,22,3,295,37,21,35,16,6,109,18,11,25,12,0,62,3866,257,587,166,63,4930,411,36,66,17,13,533,148,9,28,21,38,245,9035,899,1494,339,195,11960
LGA10600,3,147,138,17,36,7,5,200,176,24,26,10,0,238,173,22,50,4,3,251,151,26,69,3,5,250,96,17,43,3,5,172,23,12,29,12,0,72,5,8,9,5,0,25,0,3,8,6,3,24,1178,155,325,58,28,1743,136,0,3,0,0,142,66,0,3,0,0,67,62,3,10,3,3,80,90,0,18,4,3,115,102,3,16,5,0,126,113,10,30,9,0,161,124,14,43,7,0,184,140,11,40,8,4,197,163,5,37,12,3,219,135,8,37,6,5,199,37,4,42,14,0,95,13,3,15,10,0,44,5,0,11,10,0,30,1175,64,313,84,19,1653,98,8,26,7,0,143,40,0,23,8,16,82,2488,227,682,161,65,3625
LGA10650,3,130,82,24,40,9,3,163,107,33,38,12,3,191,107,33,29,6,0,172,114,32,26,11,5,192,89,29,31,15,4,171,24,10,17,12,3,66,3,8,11,13,0,26,0,3,10,8,0,18,966,201,248,96,32,1547,76,0,0,5,3,78,49,0,3,4,0,53,60,0,4,7,0,69,43,4,0,0,0,54,57,4,12,5,0,76,62,7,10,7,0,80,54,3,3,6,0,69,85,5,8,8,0,99,94,15,14,9,0,135,70,9,19,11,5,112,49,6,8,3,0,69,23,3,3,5,0,32,11,5,3,10,0,29,722,59,95,75,10,960,86,7,11,7,3,124,44,7,8,9,13,80,1819,277,366,187,59,2709
LGA10750,46,8598,7791,756,459,45,63,9121,7363,811,458,44,53,8730,7111,706,447,52,62,8382,5869,573,330,47,44,6859,3330,347,242,38,25,3987,1028,181,98,24,11,1345,190,67,29,9,0,298,27,18,16,3,3,71,62061,5005,3141,358,472,71029,4166,14,20,31,33,4261,4054,26,84,36,26,4233,2345,64,149,29,27,2607,2443,150,248,67,18,2927,2378,181,301,76,20,2956,2355,171,295,64,18,2902,2248,179,289,58,43,2820,1970,187,280,49,24,2503,1806,128,224,46,24,2217,1396,154,212,38,13,1815,678,92,137,34,14,958,244,42,66,15,5,378,79,19,31,24,0,141,26169,1403,2343,556,261,30726,2583,91,118,37,51,2883,1892,129,146,76,257,2500,92699,6623,5748,1034,1041,107142
LGA10800,0,173,122,13,36,14,0,191,105,15,49,20,0,190,93,20,59,17,0,185,116,12,52,27,4,211,69,15,35,15,3,133,16,9,29,11,0,68,5,6,10,9,0,30,0,3,13,11,4,34,1028,127,355,150,17,1676,62,0,0,0,0,71,49,0,3,0,0,55,40,0,3,3,0,53,54,0,4,4,0,69,53,3,9,0,0,61,53,0,3,7,0,70,42,3,8,3,0,56,68,0,3,0,0,76,58,3,14,3,0,79,52,10,13,3,0,73,22,0,7,6,0,33,7,0,6,3,0,23,8,0,8,14,0,24,571,24,95,47,6,748,52,3,18,10,3,93,35,0,13,19,14,78,1689,157,480,231,42,2594
