LGA_CODE_2016,M_Australia_E,M_Australia_OM_IE,M_Australia_OM_UIE,M_Australia_CFW,M_Australia_ES_NS,M_Australia_Tot,M_Canada_E,M_Canada_OM_IE,M_Canada_OM_UIE,M_Canada_CFW,M_Canada_ES_NS,M_Canada_Tot,M_China_E,M_China_OM_IE,M_China_OM_UIE,M_China_CFW,M_China_ES_NS,M_China_Tot,M_Croatia_E,M_Croatia_OM_IE,M_Croatia_OM_UIE,M_Croatia_CFW,M_Croatia_ES_NS,M_Croatia_Tot,M_Egypt_E,M_Egypt_OM_IE,M_Egypt_OM_UIE,M_Egypt_CFW,M_Egypt_ES_NS,M_Egypt_Tot,M_Fiji_E,M_Fiji_OM_IE,M_Fiji_OM_UIE,M_Fiji_CFW,M_Fiji_ES_NS,M_Fiji_Tot,M_FYROM_E,M_FYROM_OM_IE,M_FYROM_OM_UIE,M_FYROM_CFW,M_FYROM_ES_NS,M_FYROM_Tot,M_Germany_E,M_Germany_OM_IE,M_Germany_OM_UIE,M_Germany_CFW,M_Germany_ES_NS,M_Germany_Tot,M_Greece_E,M_Greece_OM_IE,M_Greece_OM_UIE,M_Greece_CFW,M_Greece_ES_NS,M_Greece_Tot,M_HongKong_E,M_HongKong_OM_IE,M_HongKong_OM_UIE,M_HongKong_CFW,M_HongKong_ES_NS,M_HongKong_Tot,M_India_E,M_India_OM_IE,M_India_OM_UIE,M_India_CFW,M_India_ES_NS,M_India_Tot,M_Indonesia_E,M_Indonesia_OM_IE,M_Indonesia_OM_UIE,M_Indonesia_CFW,M_Indonesia_ES_NS,M_Indonesia_Tot,M_Iran_E,M_Iran_OM_IE,M_Iran_OM_UIE,M_Iran_CFW,M_Iran_ES_NS,M_Iran_Tot,M_Iraq_E,M_Iraq_OM_IE,M_Iraq_OM_UIE,M_Iraq_CFW,M_Iraq_ES_NS,M_Iraq_Tot,M_Ireland_E,M_Ireland_OM_IE,M_Ireland_OM_UIE,M_Ireland_CFW,M_Ireland_ES_NS,M_Ireland_Tot,M_Italy_E,M_Italy_OM_IE,M_Italy_OM_UIE,M_Italy_CFW,M_Italy_ES_NS,M_Italy_Tot,M_Japan_E,M_Japan_OM_IE,M_Japan_OM_UIE,M_Japan_CFW,M_Japan_ES_NS,M_Japan_Tot,M_KoreaSouth_E,M_KoreaSouth_OM_IE,M_KoreaSouth_OM_UIE,M_KoreaSouth_CFW,M_KoreaSouth_ES_NS,M_KoreaSouth_Tot,M_Lebanon_E,M_Lebanon_OM_IE,M_Lebanon_OM_UIE,M_Lebanon_CFW,M_Lebanon_ES_NS,M_Lebanon_Tot,M_Malaysia_E,M_Malaysia_OM_IE,M_Malaysia_OM_UIE,M_Malaysia_CFW,M_Malaysia_ES_NS,M_Malaysia_Tot,M_Malta_E,M_Malta_OM_IE,M_Malta_OM_UIE,M_Malta_CFW,M_Malta_ES_NS,M_Malta_Tot,M_Netherlands_E,M_Netherlands_OM_IE,M_Netherlands_OM_UIE,M_Netherlands_CFW,M_Netherlands_ES_NS,M_Netherlands_Tot,M_NZ_E,M_NZ_OM_IE,M_NZ_OM_UIE,M_NZ_CFW,M_NZ_ES_NS,M_NZ_Tot,M_Pakistan_E,M_Pakistan_OM_IE,M_Pakistan_OM_UIE,M_Pakistan_CFW,M_Pakistan_ES_NS,M_Pakistan_Tot,M_Philippines_E,M_Philippines_OM_IE,M_Philippines_OM_UIE,M_Philippines_CFW,M_Philippines_ES_NS,M_Philippines_Tot,M_Poland_E,M_Poland_OM_IE,M_Poland_OM_UIE,M_Poland_CFW,M_Poland_ES_NS,M_Poland_Tot,M_Singapore_E,M_Singapore_OM_IE,M_Singapore_OM_UIE,M_Singapore_CFW,M_Singapore_ES_NS,M_Singapore_Tot,M_SthAfrica_E,M_SthAfrica_OM_IE,M_SthAfrica_OM_UIE,M_SthAfrica_CFW,M_SthAfrica_ES_NS,M_SthAfrica_Tot,M_SriLanka_E,M_SriLanka_OM_IE,M_SriLanka_OM_UIE,M_SriLanka_CFW,M_SriLanka_ES_NS,M_SriLanka_Tot,M_Thailand_E,M_Thailand_OM_IE,M_Thailand_OM_UIE,M_Thailand_CFW,M_Thailand_ES_NS,M_Thailand_Tot,M_Turkey_E,M_Turkey_OM_IE,M_Turkey_OM_UIE,M_Turkey_CFW,M_Turkey_ES_NS,M_Turkey_Tot,M_UK_E,M_UK_OM_IE,M_UK_OM_UIE,M_UK_CFW,M_UK_ES_NS,M_UK_Tot,M_USA_E,M_USA_OM_IE,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE
LGA10050,8093,825,795,107,85,9908,21,4,0,0,0,28,17,5,8,3,0,32,9,0,0,0,0,9,4,0,0,0,0,4,9,0,3,0,0,11,0,0,0,0,0,0,29,0,4,0,0,29,7,0,4,0,0,5,8,3,4,0,0,14,147,19,4,3,0,172,3,0,0,0,0,4,4,0,0,0,0,7,3,0,0,0,0,3,23,3,0,0,0,22,6,3,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,9,3,3,5,0,0,10,6,0,0,0,0,10,0,0,0,0,0,0,16,5,3,0,0,33,137,13,11,4,0,168,11,0,0,0,0,9,51,0,0,0,0,56,0,0,4,0,0,8,8,0,0,0,0,8,32,11,5,0,0,41,28,4,3,0,0,33,4,0,0,0,0,4,4,0,0,0,0,4,262,30,20,4,4,323,20,4,3,0,0,34,4,4
LGA10130,4084,419,669,177,49,5394,9,3,3,0,0,18,42,7,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,8,0,0,0,0,0,0,12,0,7,0,0,19,0,0,0,0,0,0,8,0,0,0,0,12,60,3,0,0,0,68,3,0,0,0,0,6,7,0,3,0,0,17,3,0,0,0,0,3,7,0,0,0,0,11,3,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,15,91,9,3,0,0,110,19,3,0,0,0,24,30,0,0,0,0,30,0,0,0,0,0,3,3,0,0,0,0,3,33,3,3,0,0,40,17,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,122,17,17,5,0,168,21,3,5,0,0,34,12,0
LGA10250,4513,617,915,133,80,6254,20,3,5,0,0,23,6,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,12,0,0,0,0,0,0,14,3,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,4,31,6,3,0,0,38,5,0,0,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,11,6,0,0,0,14,7,3,4,0,0,14,3,0,3,0,0,7,8,0,0,0,0,4,0,0,0,0,0,0,6,0,3,0,0,12,4,0,0,0,0,3,8,3,8,0,0,20,114,20,40,3,0,180,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,5,0,0,0,0,0,0,33,5,11,3,0,61,5,0,0,0,0,10,3,0,0,0,0,8,0,0,0,0,0,5,166,32,51,10,5,266,14,6,11,0,0,32,3,0
LGA10300,237,58,72,38,6,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0
LGA10470,5909,561,689,154,87,7400,17,0,0,0,0,18,22,0,6,4,0,36,0,0,0,0,0,0,5,0,6,0,0,9,11,0,0,0,0,9,0,0,0,0,0,0,8,0,4,0,0,18,0,0,0,0,0,3,3,0,0,0,0,7,52,9,6,0,0,69,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,3,11,3,3,0,0,14,4,0,3,0,0,11,3,0,0,0,0,3,9,0,0,0,0,11,0,0,5,0,0,6,4,0,0,0,0,8,0,0,3,0,0,7,12,0,3,0,0,15,91,16,4,0,0,114,7,0,0,0,0,10,33,0,0,0,0,37,3,0,0,0,0,3,3,0,0,0,0,3,25,3,0,0,0,29,13,4,0,0,0,21,14,0,0,0,0,16,0,0,0,0,0,0,144,12,27,10,5,193,11,0,3,0,0,18,11,3
LGA10550,3537,521,758,133,94,5044,9,0,0,0,0,17,0,3,4,0,0,9,0,0,0,0,0,3,3,0,0,0,0,3,5,0,3,0,0,3,0,0,0,0,0,0,23,7,3,3,0,35,3,0,0,3,0,3,0,0,0,0,0,0,15,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,6,6,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,8,0,0,0,0,0,0,15,3,3,0,0,19,58,10,11,0,0,81,0,0,0,0,0,0,11,0,0,0,3,16,0,0,0,0,0,0,6,0,0,0,0,6,9,4,3,3,0,19,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,165,16,64,4,4,249,13,8,7,0,0,17,3,0
LGA10600,1000,126,329,61,31,1549,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,23,3,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,24,9,3,101,4,0,3,0,0,5,0,0
LGA10650,746,176,206,94,30,1256,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,13,17,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,7,3,0,31,0,0,0,0,0,0,0,0
LGA10750,30687,2480,1621,214,330,35338,50,13,6,0,0,67,949,208,143,34,10,1335,132,18,8,3,4,166,175,67,42,3,6,285,844,132,79,15,9,1080,77,7,4,0,0,93,116,8,9,3,0,134,64,11,10,7,0,93,235,24,26,0,0,286,2831,487,400,56,38,3808,167,16,24,0,0,210,211,56,32,11,3,312,373,62,43,3,9,490,173,39,11,3,5,229,186,46,26,7,3,265,29,3,0,0,0,33,299,62,54,3,3,428,332,95,88,10,9,528,219,48,34,3,0,309,190,29,37,0,6,255,82,13,11,0,0,96,1817,81,52,12,23,1992,434,81,105,8,13,643,2160,98,110,13,21,2402,109,22,15,0,0,142,47,8,8,0,0,60,358,46,18,3,4,433,544,71,54,10,6,682,129,5,0,3,3,142,156,29,38,10,6,233,1633,148,115,13,15,1920,158,16,6,0,5,181,755,52
LGA10800,803,100,301,123,26,1357,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,16,5,0,0,0,0,5,0,0
