LGA_CODE_2016,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_M,Mnf_Food_pdt_F,Mnf_Food_pdt_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_lther_clthing_footw_M,Mnf_Tex_lther_clthing_footw_F,Mnf_Tex_lther_clthing_footw_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pulp_paper_cvertd_paper_M,Mnf_Pulp_paper_cvertd_paper_F,Mnf_Pulp_paper_cvertd_paper_P,Mnf_Print_inc_repdtn_RM_M,Mnf_Print_inc_repdtn_RM_F,Mnf_Print_inc_repdtn_RM_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Basic_chem_and_chem_p_m_M,Mnf_Basic_chem_and_chem_p_m_F,Mnf_Basic_chem_and_chem_p_m_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Prim_met_and_met_p_m_M,Mnf_Prim_met_and_met_p_m_F,Mnf_Prim_met_and_met_p_m_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
LGA10050,8,0,8,101,54,153,0,0,0,3,0,3,4,0,4,28,12,44,145,67,214,4,0,4,5,0,5,0,0,0,3,0,3,3,0,3,0,0,3,20,0,21,189,51,246,83,114,197,89,14,101,50,31,79,43,6,47,168,21,183,52,26,71,0,0,0,10,4,8,52,5,60,33,8,43,162,28,196,125,28,161,130,27,157,138,40,177,50,10,57,1374,408,1775,0,0,0,75,3,82,8,0,8,43,8,59,64,13,80,194,26,224,73,9,82,369,113,481,78,12,84,981,139,1119,1501,268,1768,13,13,27,132,46,183,122,30,155,49,15,67,83,25,104,26,29,53,28,10,43,457,169,629,45,40,83,177,57,234,40,54,95,328,535,864,581,1318,1904,0,0,8,1181,2003,3184,0,0,0,97,240,335,799,1089,1886,889,1336,2224,34,15,57,495,96,595,31,16,46,3,0,3,43,21,66,7,3
LGA10130,3,4,13,814,380,1197,3,0,3,3,0,3,0,0,0,53,16,74,882,402,1291,0,0,0,9,0,9,0,0,0,24,3,24,6,0,6,3,3,6,46,4,47,17,3,24,48,41,82,8,0,9,10,8,16,19,6,22,0,0,0,3,3,11,0,0,0,7,3,9,0,0,0,4,0,4,18,0,22,7,0,8,16,6,22,18,3,15,41,9,46,211,84,296,0,0,0,45,4,48,0,0,0,21,0,17,22,3,27,82,7,90,14,6,22,163,16,180,44,11,51,342,40,377,562,72,636,8,0,8,62,20,79,19,9,33,4,3,5,28,15,42,17,7,25,20,3,23,151,62,214,20,29,47,99,18,116,37,23,61,217,259,473,284,504,790,0,3,3,657,828,1490,5,0,5,79,126,202,385,442,831,471,570,1041,14,3,14,125,18,142,4,0,4,0,0,0,23,0,21,0,0
LGA10250,12,3,15,489,241,729,6,0,6,0,0,0,26,3,26,23,24,47,551,272,824,10,0,8,4,0,4,0,0,0,7,0,7,30,0,28,3,0,3,54,3,56,42,23,72,102,111,211,3,3,4,21,27,49,37,5,41,0,0,0,9,6,17,0,0,0,30,22,55,9,4,13,31,0,33,22,6,29,18,3,27,98,14,112,21,6,24,31,5,30,477,242,720,3,0,3,54,4,61,3,0,3,19,6,23,24,4,24,99,14,121,52,10,59,228,40,270,88,14,99,686,91,776,1059,151,1206,8,5,10,76,27,111,24,8,36,3,0,3,37,22,55,27,25,49,0,0,0,175,88,266,20,33,48,98,23,118,29,16,49,292,364,653,389,627,1018,7,8,14,832,1067,1901,0,0,0,108,175,279,451,621,1075,561,799,1360,10,10,23,217,34,252,0,0,0,0,0,0,11,6,13,0,0
LGA10300,0,0,0,171,59,232,0,0,0,10,0,10,0,0,0,9,3,16,190,69,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,4,10,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,7,24,0,0,0,10,0,9,0,0,0,4,0,4,0,0,0,16,0,14,4,0,4,7,3,7,7,0,8,20,0,20,29,3,38,0,0,0,4,0,4,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,11,0,11,0,3,3,0,0,0,10,12,21,8,14,16,12,10,28,0,0,0,29,37,69,0,0,0,10,22,33,22,29,45,30,53,81,3,0,0,25,9,28,0,0,0,0,0,0,0,0,0,0,0
LGA10470,6,3,5,341,162,505,0,0,0,50,11,57,0,0,0,42,20,65,439,193,634,7,3,8,4,0,4,0,0,0,13,0,16,8,3,16,6,0,6,43,10,48,78,23,107,478,273,756,12,3,14,9,9,20,64,16,79,3,0,6,26,12,34,3,0,3,8,0,8,11,4,13,50,8,54,70,16,82,34,0,31,13,3,22,49,16,56,24,7,32,922,395,1316,0,0,0,84,39,126,0,0,0,23,0,25,42,9,48,142,53,201,50,10,58,280,55,334,121,17,140,670,111,788,1122,193,1322,8,7,14,92,23,109,46,14,58,6,0,9,36,12,52,19,12,32,15,6,19,221,72,290,29,38,70,144,56,199,30,39,61,251,341,589,345,725,1071,0,0,3,794,1203,1994,0,0,4,85,152,237,453,669,1122,542,818,1360,22,13,37,299,53,351,23,3,29,0,0,0,7,3,7,0,0
LGA10550,3,0,7,418,182,603,55,18,73,60,7,73,46,6,48,22,7,34,608,225,837,3,0,3,0,0,0,0,0,0,5,0,5,3,0,3,3,0,3,15,0,15,25,3,29,490,286,779,3,0,3,7,13,13,64,10,74,0,0,0,8,10,14,0,0,0,0,0,0,0,0,3,16,0,16,26,7,29,27,0,27,22,4,22,12,4,14,16,0,18,706,342,1050,0,0,0,49,0,51,0,0,0,25,3,29,23,5,31,98,15,111,36,3,38,181,33,216,58,6,62,404,55,462,679,100,784,5,4,9,95,36,130,15,3,18,0,0,0,28,12,38,16,8,26,0,0,3,161,71,230,17,28,42,100,39,141,24,27,56,227,347,571,212,484,691,9,3,5,585,923,1514,3,0,5,152,235,388,444,543,987,596,787,1375,9,12,24,162,46,215,0,0,0,4,0,3,3,4,5,4,0
LGA10600,0,0,0,202,96,302,6,0,6,11,7,15,0,0,0,3,3,4,222,104,326,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,0,9,0,7,9,0,8,124,24,148,5,3,6,3,3,9,52,6,57,0,0,0,0,3,4,0,0,0,0,0,0,4,0,4,3,0,3,3,0,3,4,0,7,0,0,0,20,11,27,11,3,19,250,56,304,0,0,0,7,0,7,0,0,0,4,0,6,9,0,9,22,0,19,11,4,12,86,13,104,48,10,58,120,11,132,268,37,305,3,3,6,8,5,15,8,0,11,3,0,3,9,8,15,0,3,3,3,0,0,32,17,54,0,8,5,0,0,0,14,9,28,81,115,189,45,90,132,6,0,9,145,215,363,0,0,0,31,59,89,115,156,267,146,216,359,6,3,10,54,9,67,0,0,0,0,0,0,0,0,3,0,0
LGA10650,9,0,9,396,133,530,0,0,0,0,0,0,0,0,0,31,10,37,431,140,578,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,7,0,10,27,28,54,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,7,4,0,3,3,0,5,7,4,7,10,0,12,0,0,0,82,38,123,0,0,0,3,0,3,3,0,4,19,0,19,3,0,3,27,0,34,3,0,6,22,6,25,20,3,19,73,17,90,118,22,142,0,0,0,17,7,30,35,8,38,0,0,0,13,0,15,0,0,0,5,3,11,71,22,93,3,5,14,8,0,4,10,9,18,39,80,120,21,44,69,3,0,4,77,144,222,0,0,0,22,50,76,85,146,232,113,200,313,19,10,25,84,10,102,0,0,0,0,0,0,0,0,0,0,0
LGA10750,7,4,13,270,118,389,0,0,0,0,0,0,0,0,0,33,16,47,316,138,455,27,7,38,74,17,88,8,0,7,13,7,23,47,4,56,10,3,14,182,45,223,692,256,956,1595,1079,2671,292,85,381,63,100,165,289,57,345,101,54,158,452,259,714,19,12,27,226,129,357,533,201,740,575,197,776,687,82,772,619,130,748,210,45,259,1018,336,1356,375,108,480,7753,3140,10901,9,6,11,1151,326,1474,11,7,18,160,40,203,590,155,745,1914,538,2451,453,78,531,1619,348,1971,882,203,1087,4956,859,5812,7906,1488,9402,195,129,321,858,342,1198,1338,655,1993,401,92,496,1024,501,1526,770,557,1326,21,0,25,4602,2279,6877,212,154,367,858,252,1110,170,114,283,2759,2239,4993,2583,3653,6237,46,70,116,6628,6478,13107,7,3,14,86,123,212,2508,3138,5651,2604,3268,5871,354,122,476,4371,618,4986,154,28,182,13,3,18,15,11,29,5,3
LGA10800,3,0,3,508,195,707,0,0,0,0,0,3,0,0,0,26,11,33,542,205,740,5,0,7,0,0,0,0,0,0,250,37,289,12,0,11,8,0,8,272,44,309,3,0,3,3,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,10,0,10,3,0,3,42,0,41,0,0,0,71,21,90,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,9,0,9,0,0,3,15,5,15,21,4,29,45,12,60,81,25,108,0,0,0,7,4,15,9,3,11,0,0,0,0,0,0,0,3,3,5,3,9,22,13,35,3,5,5,14,8,24,9,17,22,29,48,76,15,55,70,0,0,0,68,128,198,0,0,0,7,33,40,31,78,106,37,113,154,3,3,6,42,15,61,4,0,4,0,0,0,0,0,0,0,0
