LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA10050,32,138,120,117,207,195,113,141,17,1073,41,90,55,69,163,146,48,103,190,903,970,3114,2598,3409,4962,3909,2389,3045,424,24820
LGA10130,18,55,38,36,99,63,49,61,6,432,16,45,24,28,53,41,27,38,91,360,496,1834,1356,1592,2772,1818,1046,1951,252,13113
LGA10250,18,73,67,70,105,93,39,69,9,534,22,76,53,69,87,65,24,57,138,591,486,2078,1898,2356,2837,2082,1047,1863,291,14940
LGA10300,0,0,3,6,7,7,4,3,0,23,3,3,0,4,8,7,0,3,8,41,28,72,85,113,133,127,58,200,25,844
LGA10470,10,96,62,63,152,120,64,112,4,688,36,61,43,61,99,85,23,76,135,609,676,2240,1724,1964,3664,2924,1439,2426,332,17376
LGA10550,9,53,43,42,81,77,40,64,5,426,16,45,35,44,52,46,22,53,111,427,533,1745,1391,1788,2095,1658,939,1558,245,11960
LGA10600,4,22,11,22,20,16,16,19,0,125,5,26,17,17,20,17,6,18,30,164,143,592,467,594,543,445,234,524,82,3625
LGA10650,3,15,13,12,11,12,16,28,0,108,5,11,0,11,21,17,10,11,33,117,124,355,282,322,364,381,196,611,80,2709
LGA10750,90,413,384,380,875,883,407,686,56,4177,142,459,485,509,1404,1319,446,748,1241,6765,2883,10285,9870,10573,23900,21844,9728,15561,2500,107142
LGA10800,0,15,7,9,28,18,7,21,0,101,3,6,3,6,7,14,3,21,42,102,93,268,223,258,304,386,205,780,78,2594
LGA10850,5,11,6,8,19,12,17,19,0,100,12,14,9,0,15,15,8,19,24,115,130,287,221,243,345,346,362,928,60,2918
LGA10900,20,127,95,99,127,117,56,87,6,736,27,118,62,51,67,99,27,76,99,631,596,3377,2707,2718,2654,2574,1262,2249,288,18417
LGA10950,0,0,7,3,4,7,4,6,0,32,0,3,9,4,5,7,0,3,19,47,42,102,95,125,156,174,152,418,39,1295
LGA11100,20,89,90,101,224,275,115,177,12,1103,56,148,185,151,389,472,166,255,483,2304,1722,3025,4228,4754,9594,11002,5173,7049,995,47543
LGA11150,0,4,0,8,6,3,0,4,0,35,3,5,4,7,5,10,0,11,16,56,31,68,58,106,238,190,84,242,27,1054
LGA11200,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,10,11,6,17,22,21,23,14,41,3,162
LGA11250,7,40,26,35,64,49,28,38,3,288,11,21,12,20,36,21,21,31,81,249,316,749,565,805,1433,1090,560,1176,169,6856
LGA11300,12,73,66,83,99,94,52,69,9,568,19,77,68,67,101,136,33,48,169,715,506,2193,2130,1874,3466,3397,1295,1792,347,16995
LGA11350,21,90,65,68,79,85,28,50,8,480,29,132,83,100,98,100,30,74,139,786,408,2203,1865,2215,1893,1885,787,1454,298,12998
LGA11400,3,11,13,11,17,29,16,25,0,124,3,20,11,5,12,29,8,26,39,150,160,415,371,456,549,703,462,1102,93,4309
LGA11450,25,157,101,108,179,208,126,158,17,1082,39,139,96,99,232,261,89,181,235,1369,715,3076,2557,2768,4409,4558,2177,3905,512,24684
LGA11500,35,238,150,161,384,330,196,277,28,1795,66,242,207,213,621,569,171,254,501,2842,1423,5638,4827,5230,10691,8956,4176,6052,1035,48022
LGA11520,41,171,162,155,395,364,164,248,24,1725,32,139,153,97,228,275,76,159,328,1481,953,3357,3700,3163,6366,7901,2909,4555,664,33558
LGA11570,87,539,452,402,807,853,379,545,64,4136,149,602,571,505,1370,1275,365,555,1214,6605,2484,10527,10361,9812,20705,19384,7982,11994,2389,95636
LGA11600,0,3,3,3,6,3,4,6,0,28,3,4,3,4,5,11,3,10,15,70,67,118,93,135,172,196,94,421,38,1342
