LGA_CODE_2016,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000mo_Mng,Pvte_3000mo_Pro,Pvte_3000mo_TecTW,Pvte_3000mo_CoPSW,Pvte_3000mo_ClAW,Pvte_3000mo_SWks,Pvte_3000mo_MaOpDv,Pvte_3000mo_Lab,Pvte_3000mo_IDNS,Pvte_3000mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000mo_Mng,NS_3000mo_Pro,NS_3000mo_TecTW,NS_3000mo_CoPSW,NS_3000mo_ClAW,NS_3000mo_SWks,NS_3000mo_MaOpDv,NS_3000mo_Lab,NS_3000mo_IDNS,NS_3000mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot
LGA10050,275,331,78,16,64,51,38,15,12,869,153,215,15,6,26,26,8,4,4,461,30,35,47,39,41,58,23,29,13,310,2278,3188,3014,2624,2558,3054,1364,2000,169,20254,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,3,3,15,0,0,0,3,0,4,0,4,9,14,0,0,0,3,0,0,0,0,12,22,0,0,0,0,0,3,3,0,9,14,0,0,0,0,0,0,0,0,14,22,0,0,0,0,3,0,0,0,9,10,7,3,0,3,0,0,3,5,15,29,0,0,7,0,0,0,0,0,7,13,0,3,0,0,3,0,0,0,3,15,0,3,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,3,0,5,9,0,0,0,0,6,46,69,12,24,16,9,11,10,7,26,139,257
LGA10130,139,167,25,3,33,13,13,7,6,398,74,103,8,3,15,15,3,4,3,218,47,24,22,17,13,16,8,29,12,190,1638,1540,1223,1182,1174,1320,419,1256,90,9835,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,3,6,6,3,0,0,0,3,0,0,0,3,10,0,0,3,0,0,0,0,0,5,14,3,0,3,0,0,0,0,0,6,13,3,0,0,3,0,0,0,0,10,13,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,12,0,10,10,5,4,0,12,66,115
LGA10250,140,212,28,11,29,25,16,10,9,479,126,141,9,0,13,26,3,14,3,335,22,25,25,21,17,21,8,20,6,171,1811,2136,1857,1676,1404,1668,671,1564,114,12912,0,0,0,0,6,0,0,0,5,13,0,0,3,0,0,0,0,0,9,8,0,0,0,0,0,0,0,3,7,14,3,3,5,4,0,0,0,0,7,23,0,3,3,0,0,0,0,0,7,14,0,4,0,3,0,0,0,0,13,21,4,0,0,3,0,3,0,6,11,27,3,0,3,0,0,0,0,0,5,11,0,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,3,0,0,29,34,11,16,21,9,9,7,0,19,107,200
LGA10300,16,3,0,0,0,0,4,0,0,20,15,0,0,0,0,0,0,3,0,17,11,0,0,3,0,0,0,3,3,16,196,34,83,56,62,31,65,145,12,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,15
LGA10470,200,219,92,8,40,25,29,32,10,654,103,105,19,4,21,16,8,9,0,290,33,10,35,24,22,24,15,28,13,214,1837,1954,2069,1722,1590,1839,832,1839,125,13805,3,0,0,0,0,0,0,0,6,16,0,0,4,0,0,0,0,0,12,15,0,0,4,3,0,0,0,0,11,16,0,3,0,0,0,0,0,0,7,12,3,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,4,6,12,0,0,0,0,3,0,0,5,10,19,0,0,0,3,0,0,0,0,5,15,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,0,3,23,41,16,6,20,11,5,4,0,18,100,181
LGA10550,91,101,41,13,17,15,15,0,3,295,43,77,10,7,8,8,5,10,0,168,27,10,26,14,14,23,6,40,6,173,1558,1329,1518,1227,1090,1359,599,1535,109,10318,0,0,0,0,0,0,0,0,4,7,0,0,4,0,3,0,0,3,3,11,0,0,3,0,3,0,0,0,3,11,0,0,3,0,0,0,0,4,4,16,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,0,0,5,10,16,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,16,11,4,15,8,8,6,3,17,66,137
LGA10600,22,35,22,0,9,4,6,4,3,105,20,27,9,0,0,0,0,3,0,66,11,8,10,7,4,7,3,10,3,57,547,417,458,375,290,294,211,428,31,3044,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,7,11,3,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,3,0,3,0,0,3,5,23,51
LGA10650,35,14,3,0,0,0,0,4,3,68,25,5,0,0,0,7,0,3,0,49,17,0,4,0,3,0,3,4,0,42,625,179,321,273,232,192,202,329,26,2379,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,3,3,7,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,8,4,3,7,0,0,6,4,5,21,46
LGA10750,2075,1495,733,53,401,329,522,171,53,5830,1448,669,150,24,147,152,108,51,22,2772,144,118,192,81,158,152,210,168,64,1290,11249,11605,12441,7314,12404,10618,15661,10604,1138,93032,0,3,3,0,5,0,3,0,33,45,3,4,3,0,0,7,0,5,26,46,3,3,0,8,3,8,0,10,46,84,4,3,3,10,10,10,7,12,58,119,3,6,17,14,5,3,11,10,54,119,4,9,17,11,13,7,21,20,68,178,11,8,22,13,10,8,22,20,70,188,6,7,21,11,11,4,26,26,83,203,8,12,21,9,12,9,15,10,77,167,7,8,4,0,3,3,13,7,34,83,7,10,3,4,3,0,6,3,22,56,3,12,7,0,3,3,3,0,13,36,9,13,3,0,0,0,3,0,10,40,0,3,3,0,0,0,3,0,12,21,3,14,19,10,19,12,16,23,201,322,69,111,154,103,88,69,151,162,803,1701
LGA10800,40,27,43,0,4,0,38,5,0,156,48,25,7,0,4,0,10,3,3,100,25,0,7,0,0,7,3,6,0,54,689,161,328,139,186,152,302,280,23,2264,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,10,0,0,0,0,0,0,8,29,45
