LGA_CODE_2016,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_15,TaTW_1000_1249_H_16_24,TaTW_1000_1249_H_25_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40,TaTW_1000_1249_H_41_48,TaTW_1000_1249_H_49mo,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_15,TaTW_1250_1499_H_16_24,TaTW_1250_1499_H_25_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40,TaTW_1250_1499_H_41_48,TaTW_1250_1499_H_49mo,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_15,TaTW_1500_1749_H_16_24,TaTW_1500_1749_H_25_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40,TaTW_1500_1749_H_41_48,TaTW_1500_1749_H_49mo,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_15,TaTW_1750_1999_H_16_24,TaTW_1750_1999_H_25_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40,TaTW_1750_1999_H_41_48,TaTW_1750_1999_H_49mo,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_15,TaTW_2000_2999_H_16_24,TaTW_2000_2999_H_25_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40,TaTW_2000_2999_H_41_48,TaTW_2000_2999_H_49mo,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000mo_H_0,TaTW_3000mo_H_1_15,TaTW_3000mo_H_16_24,TaTW_3000mo_H_25_34,TaTW_3000mo_H_35_39,TaTW_3000mo_H_40,TaTW_3000mo_H_41_48,TaTW_3000mo_H_49mo,TaTW_3000mo_H_NS,TaTW_3000mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_15,TaTW_PINS_H_16_24,TaTW_PINS_H_25_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40,TaTW_PINS_H_41_48,TaTW_PINS_H_49mo,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_15,TaTW_Tot_H_16_24,TaTW_Tot_H_25_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40,TaTW_Tot_H_41_48,TaTW_Tot_H_49mo,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_15,CoPSW_NNI_H_16_24,CoPSW_NNI_H_25_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40,CoPSW_NNI_H_41_48,CoPSW_NNI_H_49mo,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_15,CoPSW_1_149_H_16_24,CoPSW_1_149_H_25_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40,CoPSW_1_149_H_41_48,CoPSW_1_149_H_49mo,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_15,CoPSW_150_299_H_16_24,CoPSW_150_299_H_25_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40,CoPSW_150_299_H_41_48,CoPSW_150_299_H_49mo,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_15,CoPSW_300_399_H_16_24,CoPSW_300_399_H_25_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40,CoPSW_300_399_H_41_48,CoPSW_300_399_H_49mo,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_15,CoPSW_400_499_H_16_24,CoPSW_400_499_H_25_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40,CoPSW_400_499_H_41_48,CoPSW_400_499_H_49mo,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_15,CoPSW_500_649_H_16_24,CoPSW_500_649_H_25_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40,CoPSW_500_649_H_41_48,CoPSW_500_649_H_49mo,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_15,CoPSW_650_799_H_16_24,CoPSW_650_799_H_25_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40,CoPSW_650_799_H_41_48,CoPSW_650_799_H_49mo,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_15,CoPSW_800_999_H_16_24,CoPSW_800_999_H_25_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40,CoPSW_800_999_H_41_48,CoPSW_800_999_H_49mo,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_15,CoPSW_1000_1249_H_16_24,CoPSW_1000_1249_H_25_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40,CoPSW_1000_1249_H_41_48,CoPSW_1000_1249_H_49mo,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_15,CoPSW_1250_1499_H_16_24,CoPSW_1250_1499_H_25_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40,CoPSW_1250_1499_H_41_48,CoPSW_1250_1499_H_49mo,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_15,CoPSW_1500_1749_H_16_24,CoPSW_1500_1749_H_25_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40,CoPSW_1500_1749_H_41_48,CoPSW_1500_1749_H_49mo,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_15,CoPSW_1750_1999_H_16_24,CoPSW_1750_1999_H_25_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40,CoPSW_1750_1999_H_41_48,CoPSW_1750_1999_H_49mo,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot
LGA10050,12,4,13,19,146,204,114,86,3,597,13,0,4,13,56,98,82,62,5,340,13,0,3,5,43,44,52,51,4,212,5,0,0,3,25,28,21,42,0,122,0,0,0,3,10,17,24,40,0,87,0,3,0,0,0,3,3,8,0,15,0,0,6,0,12,16,5,7,10,55,81,137,164,252,778,853,480,474,50,3267,3,15,0,0,0,0,0,0,0,20,6,139,6,3,4,0,0,3,0,159,13,124,44,4,0,3,0,3,8,190,14,120,71,28,6,4,0,3,6,246,12,66,119,55,13,6,0,8,5,286,25,71,133,158,41,26,13,14,10,485,16,27,58,165,124,58,25,23,3,498,13,24,42,121,132,70,31,25,7,477,10,9,23,64,89,56,31,29,5,302,10,3,3,29,33,30,20,19,0,152,10,0,4,15,33,14,14,11,0,102,7,0,3,11,32,15,12,15,0,87
LGA10130,5,0,3,11,71,49,48,38,0,223,3,0,0,0,43,27,19,29,0,121,5,0,0,3,29,21,8,25,0,100,3,0,0,0,10,4,6,10,0,42,0,0,0,0,3,0,3,14,0,28,0,0,0,0,0,0,0,8,0,6,0,0,0,0,9,3,0,0,0,23,54,83,70,123,396,299,176,206,20,1433,0,0,0,0,0,0,0,0,3,6,5,71,6,0,0,0,0,0,9,93,6,75,30,10,0,0,0,0,3,136,9,58,33,18,5,3,3,5,4,136,8,52,43,31,13,4,0,5,0,155,5,25,49,67,21,18,5,10,3,212,7,17,29,60,54,16,9,13,3,208,4,10,20,37,45,16,8,14,0,152,5,3,3,33,39,25,13,22,0,152,0,4,4,10,23,21,0,6,0,76,3,0,3,4,21,7,6,11,0,71,0,0,0,3,14,3,3,4,0,33
LGA10250,4,4,4,24,84,79,41,65,3,312,0,4,3,12,45,40,34,33,0,170,0,0,4,3,24,29,15,26,0,98,0,0,0,0,10,14,14,19,0,59,0,0,0,0,4,16,3,20,0,41,0,0,0,0,3,0,0,3,0,10,0,0,0,3,0,4,0,4,5,23,41,123,166,215,517,432,197,276,34,1998,0,0,0,4,0,0,0,0,0,6,4,82,6,3,0,0,0,0,0,98,5,62,17,8,3,0,0,3,0,102,4,56,51,26,3,3,0,0,3,148,7,55,62,52,12,3,4,6,0,198,13,52,98,145,34,15,0,9,5,374,8,20,55,156,77,21,12,17,5,371,10,12,23,89,88,27,13,16,3,279,5,5,13,37,50,26,6,21,5,164,6,4,3,14,23,10,11,7,0,66,3,0,3,7,18,6,9,5,0,52,0,0,0,7,12,7,9,4,0,37
LGA10300,0,3,0,3,0,3,3,4,0,14,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,22,18,10,17,0,95,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,0,0,6,7,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,3,3,3,3,0,0,0,16,0,0,0,3,3,3,0,0,0,10,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,7
LGA10470,4,3,9,15,116,106,61,55,3,364,3,0,3,8,62,56,47,50,0,226,3,0,0,5,43,51,25,48,3,175,3,0,3,7,22,30,22,41,0,116,4,3,3,0,21,17,17,43,0,104,5,0,0,0,0,4,0,8,0,22,0,0,0,0,7,8,7,10,6,45,57,108,111,156,590,540,284,398,36,2288,0,3,3,0,0,3,3,0,0,18,10,121,6,0,0,0,0,0,5,138,16,129,30,7,3,0,0,0,6,194,16,81,44,19,4,4,0,0,7,172,12,58,84,40,6,9,3,10,4,222,15,52,78,96,33,22,4,15,6,322,11,21,47,102,76,30,18,10,0,311,17,10,19,83,81,57,17,19,4,308,7,3,21,44,59,62,13,15,0,223,4,3,6,19,33,30,21,15,0,124,6,3,8,7,51,43,13,16,5,153,5,3,3,3,50,23,12,13,0,115
LGA10550,9,3,3,8,61,56,37,35,0,227,3,0,0,5,30,36,27,26,0,133,0,0,0,4,20,19,19,25,0,87,0,0,0,0,12,22,12,11,0,52,0,0,0,4,9,11,19,14,3,53,0,0,0,0,3,0,0,3,0,10,0,5,3,3,4,4,0,3,3,33,41,134,134,159,360,337,186,248,25,1630,0,3,0,0,0,0,0,0,0,3,6,69,3,0,0,0,0,0,5,84,3,66,13,10,0,0,0,3,6,108,3,49,32,10,6,3,3,0,5,113,5,39,54,29,7,3,5,5,8,148,16,34,64,87,30,5,4,11,3,264,4,21,25,93,59,9,12,8,0,235,11,3,16,70,61,22,16,9,4,210,11,3,0,25,35,12,11,19,0,117,0,0,3,9,18,9,3,7,0,48,0,0,0,4,8,5,6,4,0,31,0,0,0,7,12,4,3,5,0,35
LGA10600,0,0,3,3,8,12,4,5,0,42,3,0,3,0,3,14,8,5,0,33,0,0,3,0,0,5,3,10,0,17,0,0,0,0,0,3,0,5,0,12,0,0,0,0,3,3,3,7,0,25,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,3,0,3,10,21,50,54,58,90,81,39,77,7,473,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,27,3,22,8,0,0,0,0,0,6,39,3,19,5,3,0,0,0,0,0,30,0,12,20,12,0,0,0,3,0,55,6,14,22,28,3,3,3,0,0,86,4,13,18,32,18,5,3,3,0,94,3,4,3,20,15,0,4,3,0,54,0,0,6,6,14,5,0,3,0,35,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,10,0,0,0,0,3,0,0,0,0,5
LGA10650,5,0,0,0,9,7,6,14,0,43,0,0,0,3,3,5,3,5,0,17,0,0,0,0,0,8,5,12,0,25,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,5,13,24,26,24,70,82,35,64,13,347,0,3,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,20,0,16,0,3,0,0,0,0,0,19,3,16,7,0,0,3,0,0,0,33,0,10,19,4,3,0,0,0,0,36,5,8,15,11,8,3,5,3,0,66,4,3,11,21,12,3,3,4,0,60,3,0,3,15,7,7,3,4,0,42,0,0,3,5,3,7,0,4,0,20,0,0,0,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,7
LGA10750,49,42,53,94,718,728,338,336,35,2392,23,17,33,36,387,521,283,313,12,1631,25,10,13,24,242,359,220,295,5,1186,23,5,6,22,143,186,134,241,12,764,10,9,12,14,103,153,170,336,3,820,3,0,6,4,22,24,26,79,3,169,5,9,8,14,44,48,10,37,42,222,250,590,763,871,3232,3421,1681,2128,255,13193,10,28,3,6,7,3,0,4,0,63,22,351,46,8,3,6,0,3,11,453,26,386,152,47,17,10,5,7,12,675,21,227,254,90,29,21,12,12,14,670,23,164,362,177,51,32,23,22,27,874,39,144,320,381,152,101,37,42,21,1229,44,80,174,438,363,197,58,70,30,1451,35,38,77,282,463,291,88,84,24,1379,31,18,56,135,357,263,129,131,17,1143,26,5,20,54,170,111,86,109,10,596,20,3,10,23,107,83,93,67,4,404,19,4,9,9,95,53,56,34,3,278
LGA10800,0,0,0,3,4,8,3,11,0,39,0,0,0,0,8,8,3,17,0,34,0,0,0,0,0,3,0,8,0,19,0,0,0,0,0,5,3,13,0,25,0,0,0,0,0,3,7,28,0,47,0,0,0,0,0,0,0,6,0,7,0,0,0,0,3,0,0,0,0,7,6,23,22,23,60,68,28,105,14,346,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,3,11,4,0,0,0,0,0,0,22,0,6,5,8,3,0,0,0,0,16,0,7,5,3,5,0,3,0,0,21,0,3,4,5,3,0,0,4,0,30,0,0,7,7,4,7,0,3,0,23,0,0,0,3,3,3,0,0,0,12,0,0,0,0,3,0,3,3,0,15,0,0,0,0,3,3,0,3,0,12,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3
