LGA_CODE_2016,CL_nfd_400_499_Mng,CL_nfd_400_499_Pro,CL_nfd_400_499_TecTW,CL_nfd_400_499_CoPSW,CL_nfd_400_499_ClAW,CL_nfd_400_499_SWks,CL_nfd_400_499_MaOpDv,CL_nfd_400_499_Lab,CL_nfd_400_499_IDNS,CL_nfd_400_499_Tot,CL_nfd_500_649_Mng,CL_nfd_500_649_Pro,CL_nfd_500_649_TecTW,CL_nfd_500_649_CoPSW,CL_nfd_500_649_ClAW,CL_nfd_500_649_SWks,CL_nfd_500_649_MaOpDv,CL_nfd_500_649_Lab,CL_nfd_500_649_IDNS,CL_nfd_500_649_Tot,CL_nfd_650_799_Mng,CL_nfd_650_799_Pro,CL_nfd_650_799_TecTW,CL_nfd_650_799_CoPSW,CL_nfd_650_799_ClAW,CL_nfd_650_799_SWks,CL_nfd_650_799_MaOpDv,CL_nfd_650_799_Lab,CL_nfd_650_799_IDNS,CL_nfd_650_799_Tot,CL_nfd_800_999_Mng,CL_nfd_800_999_Pro,CL_nfd_800_999_TecTW,CL_nfd_800_999_CoPSW,CL_nfd_800_999_ClAW,CL_nfd_800_999_SWks,CL_nfd_800_999_MaOpDv,CL_nfd_800_999_Lab,CL_nfd_800_999_IDNS,CL_nfd_800_999_Tot,CL_nfd_1000_1249_Mng,CL_nfd_1000_1249_Pro,CL_nfd_1000_1249_TecTW,CL_nfd_1000_1249_CoPSW,CL_nfd_1000_1249_ClAW,CL_nfd_1000_1249_SWks,CL_nfd_1000_1249_MaOpDv,CL_nfd_1000_1249_Lab,CL_nfd_1000_1249_IDNS,CL_nfd_1000_1249_Tot,CL_nfd_1250_1499_Mng,CL_nfd_1250_1499_Pro,CL_nfd_1250_1499_TecTW,CL_nfd_1250_1499_CoPSW,CL_nfd_1250_1499_ClAW,CL_nfd_1250_1499_SWks,CL_nfd_1250_1499_MaOpDv,CL_nfd_1250_1499_Lab,CL_nfd_1250_1499_IDNS,CL_nfd_1250_1499_Tot,CL_nfd_1500_1749_Mng,CL_nfd_1500_1749_Pro,CL_nfd_1500_1749_TecTW,CL_nfd_1500_1749_CoPSW,CL_nfd_1500_1749_ClAW,CL_nfd_1500_1749_SWks,CL_nfd_1500_1749_MaOpDv,CL_nfd_1500_1749_Lab,CL_nfd_1500_1749_IDNS,CL_nfd_1500_1749_Tot,CL_nfd_1750_1999_Mng,CL_nfd_1750_1999_Pro,CL_nfd_1750_1999_TecTW,CL_nfd_1750_1999_CoPSW,CL_nfd_1750_1999_ClAW,CL_nfd_1750_1999_SWks,CL_nfd_1750_1999_MaOpDv,CL_nfd_1750_1999_Lab,CL_nfd_1750_1999_IDNS,CL_nfd_1750_1999_Tot,CL_nfd_2000_2999_Mng,CL_nfd_2000_2999_Pro,CL_nfd_2000_2999_TecTW,CL_nfd_2000_2999_CoPSW,CL_nfd_2000_2999_ClAW,CL_nfd_2000_2999_SWks,CL_nfd_2000_2999_MaOpDv,CL_nfd_2000_2999_Lab,CL_nfd_2000_2999_IDNS,CL_nfd_2000_2999_Tot,CL_nfd_3000mo_Mng,CL_nfd_3000mo_Pro,CL_nfd_3000mo_TecTW,CL_nfd_3000mo_CoPSW,CL_nfd_3000mo_ClAW,CL_nfd_3000mo_SWks,CL_nfd_3000mo_MaOpDv,CL_nfd_3000mo_Lab,CL_nfd_3000mo_IDNS,CL_nfd_3000mo_Tot,CL_nfd_PINS_Mng,CL_nfd_PINS_Pro,CL_nfd_PINS_TecTW,CL_nfd_PINS_CoPSW,CL_nfd_PINS_ClAW,CL_nfd_PINS_SWks,CL_nfd_PINS_MaOpDv,CL_nfd_PINS_Lab,CL_nfd_PINS_IDNS,CL_nfd_PINS_Tot,CL_nfd_Tot_Mng,CL_nfd_Tot_Pro,CL_nfd_Tot_TecTW,CL_nfd_Tot_CoPSW,CL_nfd_Tot_ClAW,CL_nfd_Tot_SWks,CL_nfd_Tot_MaOpDv,CL_nfd_Tot_Lab,CL_nfd_Tot_IDNS,CL_nfd_Tot_Tot,CIII_IV_NNI_Mng,CIII_IV_NNI_Pro,CIII_IV_NNI_TecTW,CIII_IV_NNI_CoPSW,CIII_IV_NNI_ClAW,CIII_IV_NNI_SWks,CIII_IV_NNI_MaOpDv,CIII_IV_NNI_Lab,CIII_IV_NNI_IDNS,CIII_IV_NNI_Tot,CIII_IV_1_149_Mng,CIII_IV_1_149_Pro,CIII_IV_1_149_TecTW,CIII_IV_1_149_CoPSW,CIII_IV_1_149_ClAW,CIII_IV_1_149_SWks,CIII_IV_1_149_MaOpDv,CIII_IV_1_149_Lab,CIII_IV_1_149_IDNS,CIII_IV_1_149_Tot,CIII_IV_150_299_Mng,CIII_IV_150_299_Pro,CIII_IV_150_299_TecTW,CIII_IV_150_299_CoPSW,CIII_IV_150_299_ClAW,CIII_IV_150_299_SWks,CIII_IV_150_299_MaOpDv,CIII_IV_150_299_Lab,CIII_IV_150_299_IDNS,CIII_IV_150_299_Tot,CIII_IV_300_399_Mng,CIII_IV_300_399_Pro,CIII_IV_300_399_TecTW,CIII_IV_300_399_CoPSW,CIII_IV_300_399_ClAW,CIII_IV_300_399_SWks,CIII_IV_300_399_MaOpDv,CIII_IV_300_399_Lab,CIII_IV_300_399_IDNS,CIII_IV_300_399_Tot,CIII_IV_400_499_Mng,CIII_IV_400_499_Pro,CIII_IV_400_499_TecTW,CIII_IV_400_499_CoPSW,CIII_IV_400_499_ClAW,CIII_IV_400_499_SWks,CIII_IV_400_499_MaOpDv,CIII_IV_400_499_Lab,CIII_IV_400_499_IDNS,CIII_IV_400_499_Tot,CIII_IV_500_649_Mng,CIII_IV_500_649_Pro,CIII_IV_500_649_TecTW,CIII_IV_500_649_CoPSW,CIII_IV_500_649_ClAW,CIII_IV_500_649_SWks,CIII_IV_500_649_MaOpDv,CIII_IV_500_649_Lab,CIII_IV_500_649_IDNS,CIII_IV_500_649_Tot,CIII_IV_650_799_Mng,CIII_IV_650_799_Pro,CIII_IV_650_799_TecTW,CIII_IV_650_799_CoPSW,CIII_IV_650_799_ClAW,CIII_IV_650_799_SWks,CIII_IV_650_799_MaOpDv,CIII_IV_650_799_Lab,CIII_IV_650_799_IDNS,CIII_IV_650_799_Tot,CIII_IV_800_999_Mng,CIII_IV_800_999_Pro,CIII_IV_800_999_TecTW,CIII_IV_800_999_CoPSW,CIII_IV_800_999_ClAW,CIII_IV_800_999_SWks,CIII_IV_800_999_MaOpDv,CIII_IV_800_999_Lab,CIII_IV_800_999_IDNS,CIII_IV_800_999_Tot
LGA10050,3,0,0,10,11,7,3,10,0,44,8,5,4,20,18,14,3,10,3,76,4,5,10,18,25,8,3,6,0,83,7,3,9,22,40,10,5,6,0,104,4,6,3,14,23,8,12,9,0,79,8,0,9,4,19,3,3,0,0,47,6,3,0,3,4,3,3,0,0,29,3,6,0,3,3,4,3,0,0,18,4,0,0,0,3,0,0,0,0,15,4,0,0,0,0,3,0,0,0,8,0,0,3,0,6,4,0,0,0,17,59,43,34,112,162,77,49,56,3,595,4,0,3,3,8,3,0,0,6,23,8,7,8,13,12,13,3,11,0,61,3,4,17,39,21,25,3,32,0,152,9,7,45,56,44,50,11,31,3,252,9,14,81,96,66,56,15,36,9,377,28,34,154,164,113,64,22,41,10,634,58,39,275,172,169,99,69,82,5,966,76,49,425,142,190,81,85,84,15,1139
LGA10130,4,0,5,7,5,0,0,3,0,23,6,4,0,8,13,9,0,11,0,50,3,3,3,11,17,3,10,4,0,51,5,3,13,4,13,9,7,4,0,58,11,0,3,4,16,3,7,3,0,40,6,3,0,3,10,0,0,0,0,19,0,3,0,0,4,3,0,0,0,17,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,20,31,47,85,40,17,36,3,320,15,0,7,3,0,0,0,3,0,24,0,0,11,12,4,3,0,11,3,41,4,4,12,26,6,16,0,17,3,91,11,7,23,26,6,12,5,20,0,122,22,4,37,33,15,24,0,28,3,161,27,12,61,63,44,32,9,40,4,292,31,27,152,54,53,41,14,45,7,433,63,15,160,49,76,32,33,49,7,487
LGA10250,3,3,3,12,10,11,0,10,0,47,4,6,0,23,13,5,0,3,0,60,3,13,8,15,9,9,3,7,3,78,7,0,3,13,16,8,4,4,0,62,12,0,3,6,11,0,0,7,0,50,5,4,8,3,7,4,5,0,0,31,0,3,0,0,5,3,3,0,0,18,3,4,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,3,49,27,30,91,94,49,20,43,6,413,4,0,4,0,5,0,3,0,0,17,5,0,11,7,3,3,0,3,0,29,5,3,19,24,16,9,3,21,6,107,7,8,46,41,13,17,9,22,3,166,16,20,40,59,24,24,14,43,3,247,28,25,118,106,45,44,12,48,3,443,60,39,182,140,81,40,35,77,5,660,75,37,293,92,73,30,43,66,6,717
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,6,3,0,0,0,0,3,0,0,0,9,5,0,10,0,6,0,0,4,0,22,0,0,3,5,3,0,4,5,0,20,4,0,14,0,4,0,5,6,0,29
LGA10470,5,0,0,3,10,6,3,5,0,30,4,3,0,9,12,11,0,8,0,51,13,9,4,14,13,19,3,13,3,86,6,0,6,11,30,9,9,12,0,87,10,4,7,4,22,3,3,4,0,57,3,5,3,3,12,0,3,3,0,27,3,3,3,4,8,3,3,3,0,28,4,3,4,3,4,0,0,0,0,15,3,3,3,3,5,0,0,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,54,30,37,73,127,69,22,60,8,477,3,3,8,3,9,0,0,4,3,33,3,0,5,10,0,4,0,8,0,37,3,8,19,28,10,25,3,19,3,124,14,6,38,30,14,10,3,18,0,141,14,4,56,56,24,31,13,21,4,220,29,13,111,101,48,51,20,48,3,436,38,23,173,114,66,56,32,52,3,555,64,29,250,102,102,56,67,66,10,742
LGA10550,0,3,0,10,3,5,0,4,0,27,9,4,7,16,14,6,0,6,0,66,10,7,0,16,16,6,3,4,0,62,8,0,4,8,19,0,3,7,0,44,8,0,3,9,11,4,4,3,0,41,3,0,3,0,3,0,0,4,0,16,0,3,0,0,3,0,0,0,0,10,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,51,19,21,63,77,41,10,43,4,330,7,0,7,0,3,0,0,3,0,23,5,0,9,7,0,4,0,10,0,40,15,3,34,24,15,10,0,13,0,119,17,8,46,31,12,15,5,25,3,168,18,8,57,42,21,20,7,25,3,212,40,18,80,86,42,55,5,39,5,379,50,12,147,84,32,58,32,52,3,472,75,17,192,65,52,31,38,82,7,559
LGA10600,0,0,0,0,0,4,0,0,0,9,0,0,0,7,3,3,0,0,0,18,3,3,4,5,0,3,0,3,0,21,0,0,0,4,3,0,0,0,0,9,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,12,20,15,13,0,11,0,97,7,0,3,0,0,0,0,0,0,8,3,0,3,3,4,0,0,6,0,21,5,0,9,4,3,5,5,6,0,44,4,0,16,4,0,8,3,10,0,45,12,0,16,14,5,7,5,12,4,67,21,7,30,29,19,9,7,11,0,133,13,8,48,29,10,10,9,9,0,141,17,8,50,13,12,4,11,16,3,139
LGA10650,0,0,0,4,3,0,0,0,0,6,4,0,0,3,9,3,0,0,0,20,0,0,0,0,0,0,3,0,0,4,4,0,0,4,0,0,0,0,0,16,3,0,0,0,3,0,0,3,0,10,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,13,21,9,8,5,0,76,5,0,0,0,0,0,0,0,0,8,3,0,3,3,0,0,0,0,0,7,7,3,7,3,3,3,0,3,0,28,6,4,5,8,0,3,3,7,0,38,16,0,9,17,6,8,0,6,0,57,14,3,16,22,9,10,6,6,0,87,20,6,19,27,13,10,10,22,0,129,12,3,40,14,15,8,17,13,0,123
LGA10750,3,3,13,39,34,26,8,21,7,159,11,13,18,47,57,36,15,28,6,236,24,10,18,70,74,29,44,41,5,324,25,9,35,54,104,35,101,43,3,402,37,13,40,39,105,22,74,37,7,390,28,19,37,18,72,15,37,17,3,249,39,12,15,12,32,7,37,21,3,186,32,11,15,3,18,9,19,10,0,111,47,22,8,4,20,4,12,3,0,136,18,4,0,3,6,5,3,0,0,38,3,8,4,3,6,3,5,8,0,43,282,150,214,349,569,242,379,278,43,2504,11,8,28,8,8,3,18,13,3,95,8,6,31,34,23,29,15,28,3,179,9,16,82,96,42,67,26,50,11,403,26,21,131,118,75,77,26,59,8,535,32,28,208,188,86,83,55,110,12,807,84,61,390,283,169,135,130,153,15,1415,117,78,619,386,287,160,361,237,30,2273,186,112,1049,367,477,194,612,310,42,3353
LGA10800,3,0,0,0,0,0,0,0,0,9,4,0,0,3,0,0,0,0,0,11,0,3,0,0,0,4,0,0,0,14,3,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,3,0,0,17,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,3,6,11,7,3,12,3,0,77,10,0,0,0,0,0,0,0,0,14,3,0,3,0,4,0,0,0,0,13,4,0,4,6,0,3,0,8,0,22,7,0,5,4,3,0,0,6,0,29,12,0,10,6,7,0,0,4,0,41,18,6,17,6,5,10,3,4,0,73,7,3,21,7,7,3,8,8,0,62,26,3,28,3,5,3,7,7,0,87
