LGA_CODE_2016,CIII_IV_1000_1249_Mng,CIII_IV_1000_1249_Pro,CIII_IV_1000_1249_TecTW,CIII_IV_1000_1249_CoPSW,CIII_IV_1000_1249_ClAW,CIII_IV_1000_1249_SWks,CIII_IV_1000_1249_MaOpDv,CIII_IV_1000_1249_Lab,CIII_IV_1000_1249_IDNS,CIII_IV_1000_1249_Tot,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000mo_Mng,CIII_IV_3000mo_Pro,CIII_IV_3000mo_TecTW,CIII_IV_3000mo_CoPSW,CIII_IV_3000mo_ClAW,CIII_IV_3000mo_SWks,CIII_IV_3000mo_MaOpDv,CIII_IV_3000mo_Lab,CIII_IV_3000mo_IDNS,CIII_IV_3000mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
LGA10050,101,71,439,113,153,54,87,52,6,1074,95,35,249,40,90,37,53,19,7,621,106,29,161,27,31,18,37,25,0,430,50,16,89,13,11,5,19,3,3,210,50,18,51,10,17,9,19,3,0,171,23,4,10,3,0,5,3,0,0,50,8,4,32,12,12,12,8,14,5,107,636,323,2053,889,923,521,430,440,69,6289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,0,7,12,4,0,5,0,31,0,3,0,11,7,12,5,3,0,43,0,3,7,3,17,8,0,6,0,53,3,3,7,10,19,10,0,16,0,75,3,0,5,9,10,15,6,9,3,61,10,5,4,15,23,14,6,6,0,84,7,4,3,3,16,8,6,5,0,48,3,0,3,3,8,0,0,0,0,25,0,0,0,0,9,0,0,0,0,14,0,3,0,0,0,0,0,0,0,5
LGA10130,60,18,149,38,56,18,37,27,3,408,27,12,76,12,32,8,7,4,4,197,23,12,56,10,14,8,7,3,0,138,24,7,21,3,7,0,0,3,0,63,23,3,13,3,3,3,3,3,0,63,3,0,3,0,0,4,0,0,0,18,13,3,16,0,5,0,7,7,4,55,346,127,799,335,329,215,129,248,41,2581,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,4,0,14,0,0,0,3,3,4,0,3,0,15,0,3,3,7,3,3,0,0,0,17,4,0,4,4,5,6,0,9,0,31,3,3,4,11,10,3,3,5,0,42,3,4,3,0,6,4,0,0,0,18,0,4,3,5,7,0,3,5,0,26,3,0,0,0,3,4,0,0,0,10,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
LGA10250,71,34,238,57,54,23,52,42,0,574,42,18,113,19,25,8,23,16,0,273,39,8,71,6,8,17,9,6,0,177,19,8,45,3,9,3,5,5,0,104,14,5,27,3,11,12,3,3,0,72,16,0,10,0,0,3,3,4,0,35,11,4,13,5,3,4,3,4,5,52,431,213,1231,561,371,247,217,354,40,3673,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,3,5,0,10,3,0,0,3,0,3,0,6,0,13,0,3,4,7,7,8,0,14,0,39,3,4,3,11,10,8,3,5,0,48,5,0,3,0,13,4,0,5,0,32,3,0,5,4,15,4,0,3,0,35,4,0,0,3,10,6,0,8,0,27,0,0,0,0,3,0,3,0,0,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
LGA10300,10,0,8,3,0,0,3,3,0,28,3,0,0,0,0,0,3,3,0,9,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,34,3,42,15,14,4,13,32,4,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,82,45,270,66,108,39,52,63,9,729,65,28,162,52,70,17,40,31,3,464,60,26,121,58,32,8,22,43,4,376,50,12,76,48,8,8,12,18,3,236,73,15,83,16,6,10,11,13,8,229,19,3,11,0,0,5,5,6,0,53,3,0,17,8,4,0,5,5,5,56,521,219,1399,698,505,318,290,418,60,4425,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,11,0,0,0,3,3,6,0,9,0,24,5,0,3,6,3,5,0,0,0,25,0,0,0,3,6,9,0,3,0,31,0,9,6,10,12,7,0,11,0,56,4,0,3,4,12,6,0,7,0,36,8,3,3,6,24,3,4,7,0,66,4,0,0,3,12,6,3,3,0,35,6,3,3,0,9,0,0,7,0,25,3,0,0,0,3,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0
LGA10550,62,18,163,38,50,22,37,73,9,475,40,6,104,12,19,12,37,30,0,256,32,6,65,9,8,10,18,15,0,155,10,4,42,6,5,4,9,11,3,96,16,3,42,3,3,8,6,0,0,78,10,3,3,4,3,0,0,0,0,23,7,0,17,0,3,7,0,7,3,50,401,120,1020,395,275,248,202,397,41,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,3,0,0,0,6,0,12,0,0,4,3,6,0,0,4,0,21,4,0,0,4,3,6,0,4,0,21,10,0,3,6,4,5,3,0,0,34,3,3,5,3,10,12,4,9,0,40,5,0,3,7,4,5,4,8,0,34,3,3,3,5,15,0,3,4,0,26,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA10600,12,3,35,11,8,9,17,13,0,111,12,0,27,0,0,4,5,16,0,66,8,0,18,0,0,3,0,9,0,36,0,0,3,0,0,4,4,4,0,26,3,0,9,0,3,0,3,0,0,24,4,0,9,0,0,0,0,0,0,13,0,0,3,3,0,0,3,0,3,11,130,34,283,114,72,58,76,106,14,886,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,5,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,12,0,0,0,3,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10650,28,4,31,5,11,3,16,4,3,105,20,3,13,0,3,0,5,3,0,47,6,0,21,0,0,0,9,3,0,40,7,0,9,0,0,3,3,0,0,20,3,0,3,5,0,0,0,3,0,16,0,0,0,0,0,0,0,3,0,9,3,0,4,0,0,0,0,0,0,10,155,23,183,107,46,41,66,81,7,720,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10750,297,146,1417,258,526,188,689,295,58,3873,284,107,1073,120,335,140,415,172,41,2691,336,120,792,81,220,123,295,101,20,2082,254,93,516,32,96,70,203,68,20,1362,384,114,543,33,66,88,193,59,19,1496,148,25,101,7,14,28,27,15,0,366,24,13,114,17,29,23,36,29,42,320,2202,959,7096,2011,2453,1401,3113,1692,334,21257,3,0,0,0,4,0,0,0,0,6,0,0,0,9,8,6,0,10,0,36,3,4,8,7,9,21,4,18,0,67,0,3,5,14,15,25,0,15,0,78,10,3,12,10,12,19,4,21,0,83,3,8,13,24,27,32,11,19,0,140,8,4,9,27,44,21,48,25,3,198,12,10,16,23,60,21,60,28,3,236,21,8,3,18,73,13,45,10,6,202,11,5,6,3,35,12,25,5,0,106,10,6,3,5,26,8,7,3,5,66,7,4,3,3,6,3,7,4,0,35
LGA10800,27,0,30,6,18,6,14,13,0,114,14,0,17,3,4,4,17,6,0,65,7,0,9,0,3,0,20,3,0,54,9,0,21,0,0,0,8,0,0,38,8,3,36,0,0,0,21,0,0,63,8,0,3,0,0,0,3,0,0,12,7,0,4,0,0,0,0,3,0,16,153,20,210,43,55,35,109,68,5,704,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7,5,0,0,0,4,5,0,0,0,8,0,0,0,0,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
