LGA_CODE_2016,CI_II_2000_2999_Mng,CI_II_2000_2999_Pro,CI_II_2000_2999_TecTW,CI_II_2000_2999_CoPSW,CI_II_2000_2999_ClAW,CI_II_2000_2999_SWks,CI_II_2000_2999_MaOpDv,CI_II_2000_2999_Lab,CI_II_2000_2999_IDNS,CI_II_2000_2999_Tot,CI_II_3000mo_Mng,CI_II_3000mo_Pro,CI_II_3000mo_TecTW,CI_II_3000mo_CoPSW,CI_II_3000mo_ClAW,CI_II_3000mo_SWks,CI_II_3000mo_MaOpDv,CI_II_3000mo_Lab,CI_II_3000mo_IDNS,CI_II_3000mo_Tot,CI_II_PINS_Mng,CI_II_PINS_Pro,CI_II_PINS_TecTW,CI_II_PINS_CoPSW,CI_II_PINS_ClAW,CI_II_PINS_SWks,CI_II_PINS_MaOpDv,CI_II_PINS_Lab,CI_II_PINS_IDNS,CI_II_PINS_Tot,CI_II_Tot_Mng,CI_II_Tot_Pro,CI_II_Tot_TecTW,CI_II_Tot_CoPSW,CI_II_Tot_ClAW,CI_II_Tot_SWks,CI_II_Tot_MaOpDv,CI_II_Tot_Lab,CI_II_Tot_IDNS,CI_II_Tot_Tot,LE_IDNS_NNI_Mng,LE_IDNS_NNI_Pro,LE_IDNS_NNI_TecTW,LE_IDNS_NNI_CoPSW,LE_IDNS_NNI_ClAW,LE_IDNS_NNI_SWks,LE_IDNS_NNI_MaOpDv,LE_IDNS_NNI_Lab,LE_IDNS_NNI_IDNS,LE_IDNS_NNI_Tot,LE_IDNS_1_149_Mng,LE_IDNS_1_149_Pro,LE_IDNS_1_149_TecTW,LE_IDNS_1_149_CoPSW,LE_IDNS_1_149_ClAW,LE_IDNS_1_149_SWks,LE_IDNS_1_149_MaOpDv,LE_IDNS_1_149_Lab,LE_IDNS_1_149_IDNS,LE_IDNS_1_149_Tot,LE_IDNS_150_299_Mng,LE_IDNS_150_299_Pro,LE_IDNS_150_299_TecTW,LE_IDNS_150_299_CoPSW,LE_IDNS_150_299_ClAW,LE_IDNS_150_299_SWks,LE_IDNS_150_299_MaOpDv,LE_IDNS_150_299_Lab,LE_IDNS_150_299_IDNS,LE_IDNS_150_299_Tot,LE_IDNS_300_399_Mng,LE_IDNS_300_399_Pro,LE_IDNS_300_399_TecTW,LE_IDNS_300_399_CoPSW,LE_IDNS_300_399_ClAW,LE_IDNS_300_399_SWks,LE_IDNS_300_399_MaOpDv,LE_IDNS_300_399_Lab,LE_IDNS_300_399_IDNS,LE_IDNS_300_399_Tot,LE_IDNS_400_499_Mng,LE_IDNS_400_499_Pro,LE_IDNS_400_499_TecTW,LE_IDNS_400_499_CoPSW,LE_IDNS_400_499_ClAW,LE_IDNS_400_499_SWks,LE_IDNS_400_499_MaOpDv,LE_IDNS_400_499_Lab,LE_IDNS_400_499_IDNS,LE_IDNS_400_499_Tot,LE_IDNS_500_649_Mng,LE_IDNS_500_649_Pro,LE_IDNS_500_649_TecTW,LE_IDNS_500_649_CoPSW,LE_IDNS_500_649_ClAW,LE_IDNS_500_649_SWks,LE_IDNS_500_649_MaOpDv,LE_IDNS_500_649_Lab,LE_IDNS_500_649_IDNS,LE_IDNS_500_649_Tot,LE_IDNS_650_799_Mng,LE_IDNS_650_799_Pro,LE_IDNS_650_799_TecTW,LE_IDNS_650_799_CoPSW,LE_IDNS_650_799_ClAW,LE_IDNS_650_799_SWks,LE_IDNS_650_799_MaOpDv,LE_IDNS_650_799_Lab,LE_IDNS_650_799_IDNS,LE_IDNS_650_799_Tot,LE_IDNS_800_999_Mng,LE_IDNS_800_999_Pro,LE_IDNS_800_999_TecTW,LE_IDNS_800_999_CoPSW,LE_IDNS_800_999_ClAW,LE_IDNS_800_999_SWks,LE_IDNS_800_999_MaOpDv,LE_IDNS_800_999_Lab,LE_IDNS_800_999_IDNS,LE_IDNS_800_999_Tot,LE_IDNS_1000_1249_Mng,LE_IDNS_1000_1249_Pro,LE_IDNS_1000_1249_TecTW,LE_IDNS_1000_1249_CoPSW,LE_IDNS_1000_1249_ClAW,LE_IDNS_1000_1249_SWks,LE_IDNS_1000_1249_MaOpDv,LE_IDNS_1000_1249_Lab,LE_IDNS_1000_1249_IDNS,LE_IDNS_1000_1249_Tot,LE_IDNS_1250_1499_Mng,LE_IDNS_1250_1499_Pro,LE_IDNS_1250_1499_TecTW,LE_IDNS_1250_1499_CoPSW,LE_IDNS_1250_1499_ClAW,LE_IDNS_1250_1499_SWks,LE_IDNS_1250_1499_MaOpDv,LE_IDNS_1250_1499_Lab,LE_IDNS_1250_1499_IDNS,LE_IDNS_1250_1499_Tot,LE_IDNS_1500_1749_Mng,LE_IDNS_1500_1749_Pro,LE_IDNS_1500_1749_TecTW,LE_IDNS_1500_1749_CoPSW,LE_IDNS_1500_1749_ClAW,LE_IDNS_1500_1749_SWks,LE_IDNS_1500_1749_MaOpDv,LE_IDNS_1500_1749_Lab,LE_IDNS_1500_1749_IDNS,LE_IDNS_1500_1749_Tot,LE_IDNS_1750_1999_Mng,LE_IDNS_1750_1999_Pro,LE_IDNS_1750_1999_TecTW,LE_IDNS_1750_1999_CoPSW,LE_IDNS_1750_1999_ClAW,LE_IDNS_1750_1999_SWks,LE_IDNS_1750_1999_MaOpDv,LE_IDNS_1750_1999_Lab,LE_IDNS_1750_1999_IDNS,LE_IDNS_1750_1999_Tot,LE_IDNS_2000_2999_Mng,LE_IDNS_2000_2999_Pro,LE_IDNS_2000_2999_TecTW,LE_IDNS_2000_2999_CoPSW,LE_IDNS_2000_2999_ClAW,LE_IDNS_2000_2999_SWks,LE_IDNS_2000_2999_MaOpDv,LE_IDNS_2000_2999_Lab,LE_IDNS_2000_2999_IDNS,LE_IDNS_2000_2999_Tot,LE_IDNS_3000mo_Mng,LE_IDNS_3000mo_Pro,LE_IDNS_3000mo_TecTW,LE_IDNS_3000mo_CoPSW,LE_IDNS_3000mo_ClAW,LE_IDNS_3000mo_SWks,LE_IDNS_3000mo_MaOpDv,LE_IDNS_3000mo_Lab,LE_IDNS_3000mo_IDNS,LE_IDNS_3000mo_Tot,LE_IDNS_PINS_Mng,LE_IDNS_PINS_Pro,LE_IDNS_PINS_TecTW,LE_IDNS_PINS_CoPSW,LE_IDNS_PINS_ClAW,LE_IDNS_PINS_SWks,LE_IDNS_PINS_MaOpDv,LE_IDNS_PINS_Lab,LE_IDNS_PINS_IDNS,LE_IDNS_PINS_Tot,LE_IDNS_Tot_Mng,LE_IDNS_Tot_Pro,LE_IDNS_Tot_TecTW,LE_IDNS_Tot_CoPSW,LE_IDNS_Tot_ClAW,LE_IDNS_Tot_SWks,LE_IDNS_Tot_MaOpDv,LE_IDNS_Tot_Lab,LE_IDNS_Tot_IDNS,LE_IDNS_Tot_Tot
LGA10050,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,29,25,25,74,127,75,37,54,8,450,0,0,0,0,0,0,0,0,3,5,3,3,0,0,3,8,3,10,0,27,0,0,0,3,8,5,3,6,0,35,5,0,5,6,0,8,0,11,0,42,0,4,4,4,9,4,3,14,0,47,3,6,10,9,15,12,7,11,3,82,7,12,14,7,17,15,9,13,0,93,7,10,11,21,14,10,9,10,8,97,10,14,10,4,13,5,3,5,5,75,5,9,5,0,11,3,8,0,0,37,3,8,3,0,4,0,4,0,0,25,5,8,0,4,3,0,5,0,3,30,6,7,0,0,0,0,0,0,0,19,4,6,0,0,3,0,0,0,0,17,0,7,0,3,0,8,0,9,17,50,67,99,61,71,105,81,52,92,51,680
LGA10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,8,27,17,19,29,41,38,8,32,3,208,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,4,0,4,0,14,0,3,0,3,5,0,0,4,3,19,6,0,0,3,0,6,0,8,0,20,8,0,3,0,6,4,0,11,0,39,7,4,10,5,6,3,0,13,0,45,10,3,7,14,3,3,3,8,3,52,3,5,5,3,15,7,3,8,0,50,8,14,5,4,7,0,3,0,3,43,0,10,7,3,6,0,0,3,0,26,7,7,0,0,3,0,0,0,0,20,0,6,0,0,0,0,0,0,0,5,6,3,0,0,5,0,0,0,0,8,0,6,0,0,0,0,0,0,0,6,4,3,0,4,0,0,0,6,12,29,65,62,31,40,56,29,14,60,27,390
LGA10250,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,27,9,11,31,55,39,18,43,8,237,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,5,0,12,0,0,0,4,0,3,0,4,3,17,3,0,4,3,3,10,0,3,0,27,3,5,6,11,10,4,0,6,3,41,0,10,5,11,11,7,5,6,3,58,6,4,6,13,13,3,5,14,3,72,3,6,3,8,5,5,5,9,0,47,6,8,7,9,8,0,5,0,6,46,5,7,3,0,3,0,3,0,0,21,0,5,0,0,6,0,0,0,0,15,3,4,0,0,0,3,0,0,0,11,3,11,0,0,0,0,0,0,0,13,0,3,0,0,3,0,0,0,0,9,0,4,6,5,3,0,3,3,11,34,43,62,44,67,58,46,33,54,35,436
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,5,4,0,4,9,0,36
LGA10470,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,24,24,42,90,54,20,45,0,337,3,0,0,0,0,0,0,0,0,7,3,0,4,3,3,3,0,7,0,22,4,0,7,3,0,5,0,5,0,28,7,5,0,6,3,3,3,9,6,40,0,0,3,8,3,11,0,10,0,32,4,10,7,7,9,11,0,6,3,55,6,4,6,12,5,10,8,23,3,68,9,6,6,11,15,7,12,7,3,80,9,6,3,0,5,3,3,6,0,44,9,6,3,3,3,3,0,3,0,36,0,17,6,3,3,0,0,4,0,36,4,5,0,6,3,0,0,3,0,17,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,14,5,3,7,3,0,3,0,7,9,38,72,61,55,60,64,53,33,80,27,506
LGA10550,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,16,33,50,39,9,42,0,235,8,0,0,0,0,0,0,3,0,11,0,0,0,0,3,10,0,8,0,23,3,3,0,0,0,3,0,10,0,24,3,0,6,3,0,5,0,4,0,26,0,3,3,8,0,11,4,4,0,33,3,7,9,10,7,8,3,7,0,52,9,10,13,5,5,11,5,6,0,73,12,8,3,7,9,6,4,16,0,64,6,6,4,0,13,0,3,3,0,46,4,3,4,0,0,3,3,0,0,22,4,3,0,0,3,0,0,0,0,17,3,3,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,3,4,0,3,3,0,3,7,22,66,50,50,56,48,58,22,64,21,436
LGA10600,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,16,18,10,3,10,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,10,0,0,0,0,6,0,0,0,0,10,0,0,3,3,3,3,0,5,0,15,10,0,3,0,3,0,0,0,0,20,0,0,3,0,0,0,3,0,0,14,3,3,0,0,3,0,4,3,0,21,0,3,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,22,18,14,8,16,9,7,20,3,120
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,5,12,0,0,3,0,39,3,0,0,0,0,0,0,0,0,5,0,0,0,7,0,3,0,0,0,6,3,0,0,0,0,0,0,0,3,10,0,0,0,6,0,3,0,3,0,12,0,3,0,0,0,0,0,3,0,12,3,3,4,3,0,0,0,0,0,19,0,3,3,3,0,3,0,0,0,12,3,0,3,3,7,0,0,5,0,20,0,0,0,0,0,0,0,5,0,9,3,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,12,19,17,23,25,12,12,11,17,5,138
LGA10750,10,3,3,0,3,0,6,3,0,31,0,3,0,0,3,0,0,0,0,8,0,0,0,5,4,0,0,3,0,20,107,67,83,158,330,175,226,158,19,1316,3,3,0,3,0,6,3,4,3,26,3,4,3,18,7,12,0,8,9,66,6,12,8,12,11,29,12,22,8,119,11,7,9,19,9,25,14,26,11,132,8,16,20,21,17,26,16,31,14,161,16,16,23,53,46,35,34,58,18,296,32,28,38,46,68,38,100,84,22,448,30,35,52,34,78,36,144,71,29,512,46,55,58,44,83,28,97,43,30,475,26,40,16,9,49,11,54,15,9,246,26,34,25,15,24,11,28,8,9,184,23,35,16,3,17,0,16,8,5,121,44,37,11,5,17,7,19,4,7,155,22,24,7,0,3,4,7,4,3,72,14,15,15,14,17,16,20,22,76,214,303,359,303,288,453,290,561,406,260,3222
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,16,6,4,15,0,56,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,6,0,10,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,8,5,3,0,0,3,0,3,8,0,24,7,0,3,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,3,10,8,0,0,0,3,0,0,0,0,12,3,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,5,10,37,5,9,11,11,7,12,19,9,127
