SA2_MAINCODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101021007,5,8,3,46,20,0,13,18,6,60,32,15,20,11,4,78,32,8,38,6,0,91,56,9,29,21,0,120,77,4,26,12,0,114,75,11,21,8,3,120,78,10,28,18,3,133,36,6,17,4,3,71,24,13,14,6,3,56,29,3,9,0,3,41,27,4,15,3,3,52,0,8,7,0,0,25,13,6,3,9,4,27,531,88,258,137,35,1048
101021008,0,0,0,43,31,0,5,0,0,41,28,0,5,0,0,37,34,3,8,3,0,50,52,3,8,0,0,68,72,6,7,3,3,95,62,3,13,0,3,88,62,7,13,0,0,86,70,4,15,0,0,85,44,4,5,0,3,58,67,3,3,0,0,70,44,7,3,0,0,54,3,0,4,0,0,6,7,3,0,0,0,13,626,50,93,13,13,794
101021009,5,3,0,223,174,3,18,3,0,192,176,14,16,5,3,209,237,13,22,5,3,279,374,18,23,0,3,415,543,20,22,10,7,598,675,28,53,6,7,768,680,34,20,0,7,745,447,38,21,0,3,510,388,38,18,0,3,445,280,26,5,3,0,314,418,35,20,3,0,472,93,39,16,0,3,149,55,0,3,0,0,62,4767,295,257,49,36,5407
101021010,4,6,0,130,61,5,7,0,0,72,59,6,6,4,0,78,80,3,11,0,0,93,138,12,9,3,0,155,278,13,15,0,3,309,397,26,20,5,3,451,435,44,13,0,0,499,278,29,12,3,4,329,159,40,7,0,0,214,106,20,9,0,0,136,114,29,9,0,0,153,25,25,11,3,0,61,33,5,0,0,8,45,2296,259,124,33,20,2735
101021011,17,14,0,118,56,6,28,16,0,107,72,8,26,16,0,123,77,11,26,7,0,120,118,20,47,6,5,190,126,19,41,5,0,191,183,47,37,14,3,292,205,53,55,12,6,328,185,43,35,8,3,271,187,51,25,4,0,266,138,19,25,3,0,178,328,45,14,3,0,392,137,47,20,6,0,211,24,7,10,6,3,49,1923,368,414,139,31,2873
101021012,6,0,0,70,48,0,12,5,0,70,55,0,5,0,3,64,73,5,8,0,0,91,104,18,19,0,0,146,139,16,21,0,0,180,242,20,19,0,0,287,256,33,28,6,3,322,202,30,16,0,3,254,140,49,15,0,0,212,95,30,4,0,0,140,79,42,19,0,0,138,25,45,10,0,0,79,31,0,3,0,0,30,1553,302,191,22,12,2086
101031013,4,6,3,31,20,0,12,6,0,49,27,0,5,7,0,48,44,3,9,3,0,60,75,3,14,4,0,101,88,11,18,5,0,125,115,4,23,3,8,151,106,7,19,11,3,140,72,13,13,0,0,96,49,8,10,0,0,79,35,3,3,4,0,46,32,3,5,0,0,41,9,3,5,0,0,20,14,0,3,3,0,20,704,72,146,79,19,1023
101031014,6,7,0,142,107,8,27,7,0,144,120,8,10,6,3,150,186,8,27,4,3,229,316,10,43,9,3,389,402,18,34,3,9,470,421,21,34,3,6,493,339,28,24,3,0,400,215,21,17,3,0,256,166,21,5,3,3,197,147,15,8,0,0,169,159,8,12,0,0,184,60,18,12,3,0,92,43,8,10,0,3,66,2821,196,286,65,35,3403
101031015,4,3,3,21,18,0,7,17,4,44,20,4,23,10,0,55,23,3,13,16,0,60,35,7,34,13,0,92,25,5,22,10,0,65,49,3,19,4,0,86,36,14,20,7,3,75,26,11,11,5,0,52,15,4,12,3,0,42,9,3,9,3,3,20,16,6,12,6,0,37,7,9,6,5,0,23,3,0,3,3,0,10,291,74,196,115,21,695
101031016,7,11,9,141,118,4,26,7,0,151,202,8,18,4,0,234,244,10,32,16,3,308,559,23,57,10,4,655,660,18,57,11,0,753,575,46,49,8,7,687,449,56,61,8,4,571,243,18,28,7,0,300,151,42,27,7,0,226,109,13,15,8,0,145,121,23,20,0,0,158,22,24,15,3,0,75,57,9,10,0,5,82,3648,304,416,123,43,4538
