SA2_MAINCODE_2016,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_15,TaTW_1000_1249_H_16_24,TaTW_1000_1249_H_25_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40,TaTW_1000_1249_H_41_48,TaTW_1000_1249_H_49mo,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_15,TaTW_1250_1499_H_16_24,TaTW_1250_1499_H_25_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40,TaTW_1250_1499_H_41_48,TaTW_1250_1499_H_49mo,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_15,TaTW_1500_1749_H_16_24,TaTW_1500_1749_H_25_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40,TaTW_1500_1749_H_41_48,TaTW_1500_1749_H_49mo,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_15,TaTW_1750_1999_H_16_24,TaTW_1750_1999_H_25_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40,TaTW_1750_1999_H_41_48,TaTW_1750_1999_H_49mo,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_15,TaTW_2000_2999_H_16_24,TaTW_2000_2999_H_25_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40,TaTW_2000_2999_H_41_48,TaTW_2000_2999_H_49mo,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000mo_H_0,TaTW_3000mo_H_1_15,TaTW_3000mo_H_16_24,TaTW_3000mo_H_25_34,TaTW_3000mo_H_35_39,TaTW_3000mo_H_40,TaTW_3000mo_H_41_48,TaTW_3000mo_H_49mo,TaTW_3000mo_H_NS,TaTW_3000mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_15,TaTW_PINS_H_16_24,TaTW_PINS_H_25_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40,TaTW_PINS_H_41_48,TaTW_PINS_H_49mo,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_15,TaTW_Tot_H_16_24,TaTW_Tot_H_25_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40,TaTW_Tot_H_41_48,TaTW_Tot_H_49mo,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_15,CoPSW_NNI_H_16_24,CoPSW_NNI_H_25_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40,CoPSW_NNI_H_41_48,CoPSW_NNI_H_49mo,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_15,CoPSW_1_149_H_16_24,CoPSW_1_149_H_25_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40,CoPSW_1_149_H_41_48,CoPSW_1_149_H_49mo,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_15,CoPSW_150_299_H_16_24,CoPSW_150_299_H_25_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40,CoPSW_150_299_H_41_48,CoPSW_150_299_H_49mo,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_15,CoPSW_300_399_H_16_24,CoPSW_300_399_H_25_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40,CoPSW_300_399_H_41_48,CoPSW_300_399_H_49mo,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_15,CoPSW_400_499_H_16_24,CoPSW_400_499_H_25_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40,CoPSW_400_499_H_41_48,CoPSW_400_499_H_49mo,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_15,CoPSW_500_649_H_16_24,CoPSW_500_649_H_25_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40,CoPSW_500_649_H_41_48,CoPSW_500_649_H_49mo,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_15,CoPSW_650_799_H_16_24,CoPSW_650_799_H_25_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40,CoPSW_650_799_H_41_48,CoPSW_650_799_H_49mo,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_15,CoPSW_800_999_H_16_24,CoPSW_800_999_H_25_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40,CoPSW_800_999_H_41_48,CoPSW_800_999_H_49mo,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_15,CoPSW_1000_1249_H_16_24,CoPSW_1000_1249_H_25_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40,CoPSW_1000_1249_H_41_48,CoPSW_1000_1249_H_49mo,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_15,CoPSW_1250_1499_H_16_24,CoPSW_1250_1499_H_25_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40,CoPSW_1250_1499_H_41_48,CoPSW_1250_1499_H_49mo,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_15,CoPSW_1500_1749_H_16_24,CoPSW_1500_1749_H_25_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40,CoPSW_1500_1749_H_41_48,CoPSW_1500_1749_H_49mo,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_15,CoPSW_1750_1999_H_16_24,CoPSW_1750_1999_H_25_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40,CoPSW_1750_1999_H_41_48,CoPSW_1750_1999_H_49mo,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot
101021007,0,0,0,3,0,3,3,0,0,18,0,0,0,0,3,3,0,0,0,12,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,15,17,12,28,17,14,0,123,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,12,0,0,0,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101021008,0,0,0,0,3,3,0,0,0,7,0,0,0,3,0,7,3,0,0,18,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,8,12,14,23,15,18,0,99,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,12,0,6,3,3,0,0,0,0,0,13,0,7,3,0,0,0,0,0,0,10,0,4,8,0,0,0,0,0,0,13,0,7,3,5,0,7,0,0,0,19,0,0,4,11,7,4,3,0,0,21,0,0,0,6,6,0,0,5,0,22,0,0,0,3,9,0,0,0,0,12,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3
101021009,5,0,0,10,39,43,21,13,0,130,3,3,0,0,12,20,8,17,3,64,3,3,0,0,10,18,16,18,0,68,0,0,0,0,8,8,3,14,0,31,0,0,0,0,12,21,7,10,0,50,0,0,0,0,0,3,4,3,0,8,0,0,0,0,0,3,0,0,0,10,18,29,25,44,170,182,86,117,12,691,0,3,0,0,0,0,0,0,0,3,0,48,3,0,0,0,0,0,0,58,3,40,4,3,0,0,0,0,0,55,4,21,23,0,3,3,0,0,0,50,3,17,21,15,3,4,0,3,3,66,0,16,30,33,14,4,3,0,0,96,6,7,3,32,45,8,5,9,0,121,0,11,9,35,43,13,10,5,0,130,3,4,4,7,29,12,6,7,0,79,0,0,3,4,20,3,4,5,0,48,5,0,0,0,13,9,9,7,0,50,3,0,0,5,14,3,3,5,0,37
101021010,3,3,0,7,38,51,28,28,0,156,0,0,0,3,19,34,19,29,0,112,0,0,0,0,18,25,8,31,0,84,0,0,0,0,11,17,8,12,0,42,0,0,0,0,3,9,9,16,0,34,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,10,6,19,14,29,148,217,116,163,3,726,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,9,0,7,5,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,3,0,0,0,23,0,0,3,0,3,3,0,0,0,9,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101021011,3,3,0,6,22,24,13,23,0,84,0,0,0,3,16,13,9,14,0,52,3,0,0,0,11,20,8,16,0,50,0,0,0,0,6,0,3,7,0,18,3,0,0,0,4,3,9,16,0,38,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,3,0,10,10,32,21,29,78,102,66,103,13,462,0,3,0,0,0,0,0,0,0,5,4,31,0,0,0,0,0,0,0,31,0,16,7,0,0,0,0,0,0,28,0,15,4,3,3,0,0,0,0,31,0,8,3,3,0,0,0,0,0,10,0,0,5,9,3,0,0,0,0,18,0,3,0,8,5,0,0,0,0,16,0,0,0,6,5,4,0,4,0,24,0,0,0,3,0,0,13,3,0,26,0,0,3,0,3,5,14,6,0,34,0,0,0,0,5,8,9,3,0,30,0,0,0,0,3,3,4,3,0,21
101021012,0,0,0,0,18,35,20,15,3,95,0,3,0,0,14,34,30,18,0,104,3,0,0,4,8,22,14,16,0,73,0,0,0,0,3,21,3,11,0,48,0,0,0,0,6,9,3,14,0,35,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,3,10,12,9,21,29,104,198,92,117,8,578,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,11,3,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,7,5,5,0,3,7,0,0,0,0,20,0,0,3,0,10,0,3,0,0,23,0,0,3,3,11,8,0,0,0,28,0,0,0,0,3,6,3,3,0,22,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
101031013,0,0,0,0,0,3,4,5,0,12,0,0,0,0,0,3,0,3,0,13,0,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,7,8,18,18,13,24,4,103,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,4,4,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,4,8,0,0,0,0,0,18,0,0,3,10,3,3,0,0,0,15,0,0,0,7,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0
101031014,3,0,0,3,12,19,7,3,3,52,0,0,3,0,6,7,5,6,0,32,0,0,0,0,8,9,0,5,0,20,4,0,0,0,4,0,0,3,0,15,0,0,0,0,10,0,3,8,0,19,0,0,0,0,3,3,3,0,0,12,0,0,0,0,3,0,0,3,0,9,9,28,20,30,97,97,43,65,5,402,0,3,0,0,0,0,0,0,0,3,0,24,3,0,0,0,0,0,0,31,0,14,3,0,0,0,0,0,3,22,0,10,10,3,0,0,0,0,0,29,0,6,14,4,0,0,0,0,0,29,0,6,14,18,6,3,4,5,0,63,3,5,3,33,11,8,4,3,0,65,3,3,9,24,8,10,5,4,0,64,0,0,0,4,11,3,0,8,0,32,0,0,0,3,7,6,3,4,0,19,0,0,0,0,3,4,0,4,0,21,0,0,0,0,9,6,3,3,0,25
101031015,0,3,0,0,0,0,0,7,0,18,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,14,15,16,31,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,3,0,4,4,16,25,17,41,0,108,0,0,0,0,3,16,9,15,0,53,0,0,0,0,3,8,10,20,0,45,0,0,0,3,3,4,3,8,0,20,0,0,0,0,0,0,0,10,0,19,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,7,14,18,34,24,55,101,102,99,171,17,622,0,0,0,0,0,0,0,0,0,10,0,14,3,3,0,0,0,0,3,31,0,13,9,9,0,3,3,3,0,50,0,10,12,11,6,6,0,3,0,51,3,3,10,25,11,4,0,8,0,74,0,12,20,42,30,17,24,18,4,174,0,9,12,53,42,17,36,23,0,198,0,4,9,23,27,25,24,31,0,143,4,0,0,4,13,10,6,30,0,77,0,0,0,3,5,6,5,14,0,38,0,0,3,3,0,0,4,6,0,19,0,0,0,0,7,0,5,3,0,19
