SA3_CODE_2016,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_Turkey_E,F_Turkey_OM_IE,F_Turkey_OM_UIE,F_Turkey_CFW,F_Turkey_ES_NS,F_Turkey_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Zimbabwe_E,F_Zimbabwe_OM_IE,F_Zimbabwe_OM_UIE,F_Zimbabwe_CFW,F_Zimbabwe_ES_NS,F_Zimbabwe_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_FYROM_E,P_FYROM_OM_IE,P_FYROM_OM_UIE,P_FYROM_CFW,P_FYROM_ES_NS,P_FYROM_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Malta_E,P_Malta_OM_IE,P_Malta_OM_UIE,P_Malta_CFW,P_Malta_ES_NS,P_Malta_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot
10102,0,18,9,0,3,0,0,23,0,0,0,0,0,3,160,8,36,10,0,212,27,0,0,0,0,33,15,3,4,0,0,26,12,0,0,0,0,12,208,18,10,10,0,245,77,6,7,4,7,107,5143,357,531,201,58,6280,9232,1065,1037,310,106,11749,24,3,0,0,0,32,77,20,17,0,0,119,22,10,4,0,0,26,4,0,0,0,0,4,38,4,0,0,3,43,52,9,10,0,3,80,43,9,11,7,0,74,14,3,6,0,0,22,12,0,3,0,0,19,314,27,11,7,7,365,11,0,0,0,0,16,13,3,0,0,0,18,6,0,5,0,0,11,27,8,4,0,0,43,32,10,13,0,0,51,4,0,0,0,0,3,23,7,0,0,0,25,6,0,0,0,0,12,30,3,3,0,0,40,4,0,3,0,0,12,21,3,3,4,0,28,221,26,17,4,4,273,50,0,0,0,0,55
10103,0,3,14,0,4,3,0,20,3,0,0,0,0,3,129,11,29,7,4,179,15,0,3,0,0,22,3,0,0,0,0,4,0,0,0,0,0,0,111,6,8,4,0,131,92,10,14,8,0,131,3780,259,401,181,47,4671,6294,542,866,310,99,8107,36,0,3,0,0,37,22,0,0,3,0,24,7,0,0,0,0,4,4,0,0,0,0,4,6,0,3,0,0,12,0,0,0,0,0,0,24,8,7,0,0,46,0,0,0,0,0,7,29,0,4,0,0,33,22,0,0,0,0,23,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,12,6,5,3,3,0,21,13,3,0,0,0,12,15,0,0,0,0,18,0,0,5,0,0,3,5,0,3,0,0,10,0,0,0,0,0,3,18,3,3,0,0,25,140,10,13,6,0,164,0,0,0,0,0,4
10104,0,4,19,5,4,0,3,31,4,0,0,0,0,4,379,26,59,19,8,484,37,7,4,3,0,47,9,0,9,0,0,25,9,0,0,0,0,10,157,5,24,3,0,201,248,11,35,8,8,315,10211,577,1176,355,161,12488,15786,1474,2537,523,296,20615,41,3,7,0,0,59,19,3,16,4,0,44,7,0,3,0,0,7,10,3,0,0,0,12,16,0,3,0,0,18,0,0,0,0,0,3,71,12,21,6,6,115,6,0,8,4,0,15,16,3,3,0,0,15,62,3,6,0,0,75,4,0,0,0,0,8,5,0,3,0,0,9,4,0,0,0,0,4,25,3,10,0,3,41,20,3,8,0,3,31,8,0,0,0,0,12,10,3,3,0,0,18,3,0,0,0,0,8,22,3,6,3,0,36,9,3,3,0,0,12,42,3,12,4,3,69,281,24,60,9,5,372,0,0,0,0,0,4
10105,0,11,13,0,0,0,0,8,8,0,0,0,0,8,134,8,15,5,4,171,14,0,0,3,0,22,22,0,6,0,0,31,9,0,0,0,0,9,151,6,8,3,3,169,97,7,13,9,7,126,5367,206,401,175,71,6217,8103,591,943,323,114,10073,5,0,0,0,0,10,105,20,16,3,0,144,3,0,4,0,0,16,15,4,0,0,0,25,39,0,3,3,0,44,18,0,0,0,0,18,22,0,6,3,0,35,6,0,0,0,0,8,21,0,7,0,0,25,150,15,5,0,0,176,13,0,3,0,0,17,23,3,4,0,0,28,33,0,4,0,0,37,19,0,3,0,0,30,19,7,3,3,0,29,9,0,0,0,0,12,76,7,4,0,0,81,31,0,3,4,0,36,29,0,0,0,0,34,4,0,0,5,0,11,12,0,0,0,0,18,148,12,15,4,0,184,23,6,3,0,0,34
10106,0,19,6,0,0,0,0,6,4,0,0,0,0,5,95,7,16,15,0,132,5,0,4,0,0,18,16,0,3,0,0,14,0,0,0,0,0,0,101,5,9,8,4,124,59,3,15,6,4,77,3210,238,526,277,52,4300,4976,626,1141,459,92,7289,9,3,0,0,0,9,56,15,7,4,3,85,10,0,0,0,0,8,7,0,0,0,0,8,19,0,0,0,0,21,9,0,0,0,0,8,15,3,5,3,0,31,5,0,0,0,0,7,16,0,0,0,0,18,87,11,0,0,3,103,14,0,3,0,0,18,14,0,0,0,0,14,10,0,0,0,0,11,23,0,5,0,0,28,18,0,0,5,0,21,0,0,0,0,0,4,23,3,3,0,0,27,24,3,8,3,0,37,8,0,3,0,0,15,8,0,0,5,0,14,10,3,8,0,0,21,96,6,12,10,5,125,14,4,3,0,0,13
10201,0,35,109,6,16,4,3,142,3,0,4,0,0,7,1449,106,167,35,23,1782,107,3,14,0,3,128,59,3,11,3,0,75,40,3,0,0,0,45,526,46,69,25,4,667,361,21,34,8,17,444,27498,1456,2266,500,286,32007,39146,3111,3926,611,473,47256,129,15,22,3,0,173,235,74,64,12,3,390,23,3,3,0,0,38,43,10,8,4,0,66,85,9,6,3,0,107,10,0,0,0,0,13,104,22,37,7,3,163,16,3,11,3,0,27,77,11,11,0,0,101,416,54,17,9,9,505,88,5,12,0,0,106,30,3,5,0,0,41,21,3,3,0,0,24,145,17,20,3,3,193,55,18,19,6,0,105,62,3,14,0,0,79,124,24,32,13,7,196,26,14,12,0,0,56,96,21,25,0,0,141,29,6,8,4,0,54,66,10,17,3,0,103,1061,145,133,28,7,1382,40,0,0,3,0,49
10202,0,26,65,5,14,4,0,88,0,0,0,0,0,4,902,46,79,20,12,1058,55,3,4,0,0,61,42,4,6,0,3,64,28,0,0,0,0,32,334,26,40,16,3,421,328,9,18,19,22,395,21324,999,1428,372,254,24372,32637,2379,2846,481,402,38738,58,6,4,0,0,71,163,45,45,11,5,265,22,3,4,0,0,31,20,8,3,0,0,34,69,3,3,0,0,73,11,0,3,0,0,17,65,8,17,3,0,93,17,3,0,0,0,20,25,11,3,3,0,46,298,48,26,3,3,374,50,0,0,0,0,47,23,3,4,0,0,34,5,5,3,0,0,8,102,8,12,3,0,136,37,6,12,6,0,55,23,0,4,0,0,28,57,15,4,0,0,78,33,10,8,3,0,52,73,5,10,0,3,96,39,6,6,0,0,47,53,10,10,0,0,79,766,82,69,14,9,946,21,3,6,0,0,34
10301,0,15,23,0,0,0,0,27,0,0,0,0,0,0,218,10,14,7,3,257,27,0,3,3,0,29,8,0,0,0,0,13,7,0,0,0,0,11,103,5,17,3,0,124,131,13,22,0,8,179,8508,365,616,235,116,9838,14360,947,1353,423,204,17281,36,0,0,0,3,36,46,4,7,4,0,65,6,0,0,0,0,6,7,0,5,0,0,16,14,0,4,0,0,21,4,0,0,0,0,4,31,3,9,4,0,43,3,0,3,4,0,10,11,0,0,0,0,9,110,16,10,3,0,132,3,0,3,0,0,7,13,0,0,0,0,15,0,0,0,0,0,5,29,5,3,0,0,42,10,0,4,0,0,20,9,0,3,0,0,10,14,0,0,0,0,16,6,0,5,3,0,9,20,0,0,0,0,26,10,0,3,0,0,9,20,3,8,3,0,36,236,18,17,5,3,288,13,0,0,0,0,11
10302,0,6,6,3,0,0,0,10,0,0,0,0,0,0,135,11,30,8,3,184,6,0,0,0,0,16,4,0,4,0,0,11,5,0,0,0,0,5,46,3,10,3,3,63,164,18,23,23,14,241,7792,372,1117,539,160,9970,13838,1064,2942,1125,340,19309,15,0,0,0,0,23,33,3,23,7,0,72,3,0,0,0,0,4,9,0,3,0,0,12,20,0,3,0,3,20,0,0,0,0,0,0,18,0,4,0,0,24,3,0,3,0,0,3,8,0,11,0,0,15,77,11,3,0,0,98,7,0,0,0,0,8,8,0,0,0,0,8,4,7,0,0,0,7,17,0,0,0,0,24,5,7,4,3,0,15,0,0,0,0,0,0,9,0,0,0,0,9,5,3,0,0,3,15,12,0,0,0,0,18,3,0,0,4,0,3,16,0,0,3,0,18,141,4,26,6,6,179,5,4,0,0,0,8
10303,0,8,13,0,0,3,0,16,0,0,0,0,0,0,176,11,30,14,4,235,16,0,3,0,0,22,5,3,3,3,0,21,3,0,0,0,0,3,58,5,10,3,0,73,160,12,28,11,10,221,6565,350,668,287,117,7998,12550,802,1349,511,204,15417,16,3,0,0,0,23,24,9,19,4,0,52,6,3,0,0,0,12,0,0,3,0,0,3,15,0,0,0,0,14,0,0,0,0,0,0,21,3,3,3,5,34,3,0,0,0,0,6,3,0,3,0,0,9,59,10,4,0,0,72,3,0,0,0,0,3,0,0,0,0,0,6,0,8,0,0,0,7,24,3,3,0,0,33,13,3,7,0,5,29,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,18,4,0,0,0,20,0,0,0,0,0,0,11,0,11,3,0,31,182,9,22,16,0,229,0,0,0,0,0,0
