SA3_CODE_2016,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20more_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20more_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20more_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20more_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20more_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20more_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20more_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20more_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20more_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20more_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20more_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20more_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20more_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20more_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20more_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20more_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20more_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20more_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20more_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20more_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20more_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20more_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20more_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20more_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20more_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20more_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20more_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20more_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20more_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20more_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
10102,91,300,57,3,455,103,97,7,4,207,113,185,11,3,303,18,12,0,0,30,52,115,12,8,179,17,35,0,3,57,24,34,0,0,61,16,38,0,3,55,5,8,4,0,21,427,828,90,24,1370,178,111,5,7,300,224,29,4,6,259,251,89,0,8,347,94,12,3,0,107,59,28,3,0,93,30,11,0,0,43,37,17,0,0,56,91,16,0,5,116,12,0,0,0,15,978,318,11,22,1333,269,412,60,8,750,324,129,8,12,468,361,272,11,12,649,106,29,3,0,137,106,140,10,4,270,48,51,0,3,101,66,49,0,0,118,109,52,0,9,173,19,10,3,0,36,1412,1143,105,43,2707
10103,50,202,24,3,285,26,55,0,0,85,25,44,3,0,71,8,12,3,0,16,20,47,6,0,70,10,39,6,0,53,8,19,3,0,36,4,19,5,0,22,3,3,0,0,4,146,437,55,10,649,233,242,0,14,480,68,24,3,4,101,144,57,0,7,209,42,7,0,0,55,16,16,0,0,32,26,14,0,0,48,29,3,0,0,35,50,15,0,3,72,17,5,0,0,18,622,393,6,30,1050,283,445,24,15,763,90,75,6,6,180,164,104,3,6,280,47,21,3,0,69,38,66,5,0,107,30,56,13,0,101,42,26,3,0,71,51,34,5,3,99,19,5,0,0,27,764,827,61,41,1696
10104,91,457,55,11,609,114,149,9,0,268,101,150,3,3,263,29,39,3,0,68,55,147,12,4,216,36,93,10,5,140,31,35,4,0,74,30,37,0,0,67,11,15,0,0,27,489,1113,101,21,1729,410,371,8,19,811,349,91,12,10,458,601,243,7,18,860,150,37,0,3,188,123,61,0,4,195,92,46,0,7,147,52,17,0,3,77,226,57,0,11,294,20,14,0,4,37,2035,938,26,75,3076,500,823,61,27,1416,465,232,25,10,727,698,397,9,22,1121,181,76,3,3,262,182,210,13,3,403,134,134,14,7,289,87,52,3,9,145,263,89,3,11,365,30,30,0,4,62,2529,2054,127,100,4799
10105,61,188,25,5,286,42,76,7,0,120,39,60,9,0,103,4,9,0,0,19,27,45,0,0,72,12,41,0,0,58,28,17,0,0,49,9,13,3,4,22,4,6,0,0,10,232,457,42,9,738,207,167,3,20,399,122,51,0,3,179,171,78,0,5,258,63,11,0,3,80,42,21,0,0,63,19,7,0,0,35,35,18,0,0,50,72,14,0,0,86,18,7,0,0,17,737,375,5,30,1153,265,357,29,23,683,163,129,7,3,301,206,144,8,4,362,65,20,0,3,94,69,62,0,0,135,37,50,0,0,88,57,38,0,0,93,78,25,3,3,112,19,8,0,0,32,970,829,50,42,1892
10106,66,212,20,4,302,55,72,5,0,134,24,64,3,3,97,7,3,0,0,11,16,62,9,0,87,9,35,4,0,48,21,15,0,0,32,9,12,0,0,29,6,10,0,0,15,216,479,35,13,751,296,268,0,18,581,105,30,5,0,145,149,74,3,3,232,52,11,3,0,69,42,31,0,0,71,24,21,0,0,43,52,11,0,4,61,68,22,0,0,94,15,4,0,0,19,795,478,16,27,1316,357,475,20,23,883,160,106,14,0,273,179,144,3,3,332,60,12,3,0,80,59,92,7,4,159,42,53,4,0,93,68,21,0,4,92,77,37,3,4,116,23,11,0,0,37,1011,953,52,43,2059
10201,290,855,182,6,1334,427,555,23,4,1009,248,382,15,5,649,54,56,5,0,116,194,340,18,4,562,114,155,18,9,291,47,51,0,4,102,79,56,12,0,146,27,46,0,3,73,1476,2489,275,33,4281,400,281,11,13,705,1081,301,17,12,1405,1039,303,0,17,1358,393,40,3,8,443,299,89,3,4,394,163,46,0,3,216,108,19,0,3,127,420,77,4,0,505,64,10,0,3,82,3968,1175,41,54,5231,685,1144,194,15,2039,1508,854,35,19,2415,1290,689,14,19,2011,450,95,10,8,564,491,431,26,11,953,281,198,18,6,502,152,71,0,4,233,500,136,16,3,650,89,57,3,8,152,5444,3669,318,87,9513
10202,151,618,109,3,880,194,316,25,3,533,207,312,8,6,537,40,48,3,0,91,147,266,18,11,443,77,150,12,5,240,53,60,0,0,113,71,72,3,0,142,23,23,7,0,50,952,1870,180,36,3040,231,188,3,9,430,517,125,11,4,656,785,262,0,15,1060,274,32,0,4,315,223,88,0,0,315,117,39,0,0,159,131,27,0,3,163,353,74,0,10,435,39,10,0,0,55,2677,841,12,46,3583,382,808,108,13,1307,708,443,32,6,1182,995,568,10,22,1599,312,81,3,3,404,375,355,18,17,760,193,193,12,3,407,187,88,0,8,276,425,147,3,11,578,57,38,7,4,100,3633,2713,196,84,6619
10301,54,285,59,5,400,60,105,15,0,178,66,90,6,4,171,3,14,0,0,23,39,102,7,0,154,14,38,10,0,67,24,20,4,3,49,20,29,0,0,54,3,5,0,0,8,280,697,103,16,1099,252,199,4,5,463,176,56,4,4,241,271,114,0,6,392,85,21,0,0,111,58,23,0,0,83,49,25,0,3,78,45,12,0,0,60,98,29,0,0,128,17,3,0,0,21,1047,493,8,18,1573,302,485,65,9,863,230,159,15,4,417,340,208,6,10,561,93,36,0,0,126,98,120,8,4,237,62,69,10,3,144,70,30,4,6,112,110,65,0,0,174,21,7,0,0,28,1333,1186,109,39,2668
10302,130,376,43,13,560,28,94,9,0,137,49,101,5,3,159,8,10,0,0,18,31,100,9,0,141,13,58,11,3,90,27,29,0,0,60,6,22,0,0,32,8,3,0,0,16,301,802,83,22,1200,1002,796,0,52,1856,137,53,0,6,197,306,132,0,16,457,97,24,0,3,116,61,61,0,3,126,51,32,0,4,89,99,37,0,6,141,128,54,0,4,188,26,7,0,3,38,1906,1205,10,85,3203,1131,1171,46,64,2411,165,146,11,7,334,355,236,5,16,610,100,36,0,3,137,90,165,4,3,268,62,95,15,4,179,121,69,0,5,199,138,76,0,4,214,37,9,0,3,55,2212,2001,88,110,4407
10303,79,236,42,6,367,57,78,9,3,149,58,75,5,0,136,11,14,0,0,25,26,95,8,5,134,9,32,0,0,46,25,31,3,3,61,10,19,3,0,31,6,5,0,0,15,280,589,70,19,953,300,223,3,24,541,140,52,0,5,195,245,108,0,8,357,71,26,0,0,101,55,30,0,5,90,49,21,0,0,65,44,14,0,3,65,117,25,0,0,148,18,12,0,0,27,1038,502,7,44,1584,379,454,40,29,906,198,132,8,5,347,301,180,5,7,491,83,40,0,3,126,84,130,8,7,226,59,52,0,0,113,69,45,3,5,124,130,46,3,0,175,20,16,0,0,39,1317,1088,72,60,2539
