SA3_CODE_2016,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000mo_Mng,SG_3000mo_Pro,SG_3000mo_TecTW,SG_3000mo_CoPSW,SG_3000mo_ClAW,SG_3000mo_SWks,SG_3000mo_MaOpDv,SG_3000mo_Lab,SG_3000mo_IDNS,SG_3000mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot
10102,0,10,0,10,0,0,0,3,0,27,0,18,4,18,8,0,0,0,0,44,0,26,3,18,17,0,0,3,0,79,0,44,5,29,34,0,0,10,3,120,0,83,4,24,38,0,3,5,5,158,5,111,5,20,27,3,0,0,0,180,5,130,3,35,17,0,0,0,3,199,13,137,0,34,16,0,0,0,3,214,63,98,9,53,12,0,0,0,3,232,18,9,0,3,0,0,0,0,0,39,0,6,0,3,0,0,0,0,0,13,111,689,29,273,186,3,10,34,16,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,3,0,4,3,9,0,3,7,3,26,0,5,11,0,14,0,11,9,3,55
10103,0,3,0,3,3,0,0,4,0,17,0,13,3,12,14,0,0,3,3,44,0,20,0,19,16,3,0,13,0,68,0,34,7,20,15,0,3,8,0,92,0,45,3,17,24,0,7,5,0,101,3,64,4,20,15,0,3,8,0,121,3,43,5,21,13,0,3,3,0,91,3,86,10,37,3,0,0,0,0,132,45,56,14,27,4,0,0,0,0,143,22,11,3,3,3,0,0,0,0,41,0,3,0,3,0,0,0,3,0,13,81,380,59,184,119,3,12,52,4,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,4,11,0,0,3,0,21,3,0,3,5,14,0,3,10,0,34,3,6,3,4,15,0,12,16,3,58
10104,0,21,4,11,14,0,0,0,0,61,3,46,4,39,25,0,3,13,0,132,3,79,3,51,37,0,4,20,4,197,4,107,17,59,52,0,3,30,0,281,7,157,3,46,58,0,4,8,5,300,10,179,7,23,28,0,10,8,0,255,9,205,16,32,16,0,7,3,0,288,8,203,10,69,8,0,0,3,0,306,69,113,10,73,3,0,0,0,0,261,13,21,0,3,0,0,0,0,0,46,0,13,0,3,0,0,0,0,0,17,131,1167,70,466,256,4,34,91,13,2236,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,6,3,0,3,0,4,0,0,0,0,11,0,0,3,3,15,0,0,5,0,29,0,10,8,14,21,0,0,3,0,58,3,8,4,6,15,0,3,17,0,60,7,12,17,13,34,0,23,22,3,136
10105,0,5,0,14,4,0,0,3,0,26,0,23,0,30,16,0,0,9,0,75,0,34,3,16,35,0,0,18,0,115,3,51,10,48,42,0,3,21,0,180,9,121,5,44,61,0,3,15,3,259,5,139,5,34,32,0,8,7,0,232,9,145,9,33,5,0,3,3,0,201,21,135,7,44,13,0,3,3,0,230,44,92,4,72,8,0,3,0,0,238,12,28,0,0,0,0,0,0,0,42,0,9,0,3,0,0,0,0,0,22,110,798,53,365,226,5,33,67,8,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,9,0,0,0,3,3,0,0,0,0,6,0,3,0,3,8,0,0,4,0,23,0,0,6,0,11,0,4,3,0,26,3,0,4,0,13,0,10,9,0,41
10106,0,4,0,4,8,0,0,3,0,19,0,11,0,4,9,0,0,0,0,30,0,15,0,7,16,0,0,5,0,46,0,23,0,13,13,0,4,7,0,60,0,37,0,11,21,0,3,5,0,79,5,48,5,6,8,0,5,4,0,82,4,56,0,18,3,0,0,0,0,80,3,58,0,19,4,0,0,3,0,90,21,41,0,22,0,0,0,0,0,89,3,9,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,43,314,12,114,77,0,19,28,3,612,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,7,0,8,5,0,35,3,0,10,3,13,0,17,12,0,58
10201,0,49,4,58,31,0,3,8,0,149,8,120,9,100,119,0,3,23,0,389,6,195,20,130,113,0,7,42,5,520,12,336,15,169,197,0,12,52,10,796,19,530,22,149,201,3,14,28,6,971,26,625,16,138,118,7,17,10,8,962,37,645,21,211,93,3,13,16,11,1045,58,666,18,128,64,0,14,8,12,966,186,443,38,120,61,0,14,3,0,867,55,130,0,6,5,0,0,0,0,204,0,32,3,13,8,0,3,0,3,65,417,3811,192,1293,1043,18,101,226,56,7156,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,7,0,5,0,11,4,0,0,3,0,16,0,0,0,17,0,0,0,0,0,21,0,4,0,12,8,0,0,0,0,24,3,4,3,18,16,0,3,7,0,51,0,10,15,11,22,0,8,10,4,82,5,19,28,17,36,0,38,27,4,171
10202,0,23,0,42,23,0,3,14,0,101,3,85,6,85,53,0,3,18,0,258,0,109,6,98,75,0,0,18,0,316,3,185,31,147,139,0,8,21,4,532,5,358,34,117,125,4,5,11,10,673,18,368,42,88,72,3,11,12,0,610,16,400,59,129,56,7,11,5,0,692,28,391,42,113,17,0,8,3,4,611,131,250,40,94,28,0,3,0,0,542,40,49,18,3,5,0,0,0,0,111,0,12,0,12,8,0,0,0,0,34,244,2291,281,995,624,18,53,119,26,4655,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,4,4,0,0,0,0,7,0,9,4,3,13,0,0,3,0,30,0,8,6,6,19,0,0,9,0,46,0,3,5,0,21,0,8,3,0,47,0,13,18,5,28,0,17,30,0,113
10301,0,13,0,24,6,0,0,3,0,47,0,23,3,30,13,0,3,6,0,87,0,43,3,46,24,0,5,11,4,141,0,70,3,72,46,0,3,12,3,216,4,112,5,73,76,0,6,11,0,301,3,151,16,78,67,3,0,5,3,325,12,155,12,130,36,4,0,0,7,355,28,184,11,103,14,0,0,0,0,339,75,130,6,92,13,3,0,0,0,327,23,23,0,3,3,0,0,0,0,55,0,8,0,4,5,0,0,0,0,15,156,933,65,674,301,10,15,71,19,2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,11,0,0,0,0,4,0,4,0,0,10,0,3,0,3,6,0,0,6,0,21,3,5,4,3,8,0,5,9,0,32,5,15,14,4,17,0,37,15,0,114
10302,0,16,0,23,7,0,0,4,0,56,0,44,3,38,23,0,0,12,0,123,0,46,4,47,40,0,0,18,0,163,0,89,6,58,58,0,3,17,7,235,5,144,12,43,42,3,0,17,3,265,4,158,3,29,31,0,4,4,0,243,9,174,11,34,16,0,0,0,0,248,13,165,0,45,4,0,0,0,0,238,60,93,4,58,12,0,3,0,0,227,9,5,0,10,0,0,0,3,0,32,0,5,3,3,0,0,0,0,0,15,113,966,57,435,243,4,10,85,11,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,7,0,3,0,0,6,0,0,3,0,16,3,0,3,3,14,0,7,10,0,39,3,6,6,3,11,0,19,29,3,78,3,13,27,3,34,0,48,48,0,182
10303,0,19,0,20,20,0,0,3,0,60,3,28,4,37,18,0,0,12,0,96,3,43,7,45,33,0,0,13,0,136,0,56,4,42,66,0,3,13,0,199,8,122,11,51,78,0,7,9,3,289,5,112,9,30,74,0,8,7,8,257,5,118,17,52,36,0,4,3,4,250,18,145,7,79,21,0,11,5,0,292,64,81,28,66,9,0,13,3,0,262,20,5,23,3,0,0,0,0,0,54,0,7,0,0,3,0,0,0,0,14,118,756,111,460,363,10,51,90,21,1984,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,9,0,0,5,8,9,0,3,3,0,31,3,8,0,3,15,0,17,14,0,53,3,3,18,3,29,0,27,22,0,102
