SA3_CODE_2016,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_Inc_LR_Mng,M1_Tram_Inc_LR_Pro,M1_Tram_Inc_LR_TecTW,M1_Tram_Inc_LR_CoPSW,M1_Tram_Inc_LR_ClAW,M1_Tram_Inc_LR_SWks,M1_Tram_Inc_LR_MaOpDv,M1_Tram_Inc_LR_Lab,M1_Tram_Inc_LR_IDNS,M1_Tram_Inc_LR_Tot,M1_Taxi_Mng,M1_Taxi_Pro,M1_Taxi_TecTW,M1_Taxi_CoPSW,M1_Taxi_ClAW,M1_Taxi_SWks,M1_Taxi_MaOpDv,M1_Taxi_Lab,M1_Taxi_IDNS,M1_Taxi_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_Inc_LR_Mng,M2_TrnTrm_Inc_LR_Pro,M2_TrnTrm_Inc_LR_TecTW,M2_TrnTrm_Inc_LR_CoPSW,M2_TrnTrm_Inc_LR_ClAW,M2_TrnTrm_Inc_LR_SWks,M2_TrnTrm_Inc_LR_MaOpDv,M2_TrnTrm_Inc_LR_Lab,M2_TrnTrm_Inc_LR_IDNS,M2_TrnTrm_Inc_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
10102,0,0,0,0,0,0,0,0,0,7,6,9,5,11,12,17,9,5,0,75,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,0,0,4,3,3,6,3,0,27,1503,1601,2175,1013,1394,792,828,866,160,10336,50,78,100,128,75,152,50,147,12,783,48,0,51,0,4,3,70,29,3,211,10,4,19,9,9,7,6,3,0,73,8,19,6,3,3,3,3,3,0,54,26,13,10,11,18,3,3,14,3,104,111,91,68,107,69,95,29,80,6,643,1766,1812,2444,1287,1589,1066,1002,1163,193,12325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
10103,5,4,0,6,5,9,14,0,3,41,0,0,0,4,4,3,21,8,0,43,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,8,811,803,798,712,649,548,391,587,69,5350,32,44,66,134,40,87,48,136,10,607,35,3,9,0,3,0,34,8,3,93,10,0,3,0,3,3,4,4,0,28,10,17,5,9,3,3,0,0,0,53,69,4,20,28,6,9,8,16,0,169,197,85,135,271,72,90,45,201,16,1109,1171,964,1051,1163,785,756,562,961,97,7506,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,31,4,7,32,4,0,100,0,3,0,8,0,7,24,0,0,44,0,0,0,0,0,0,0,0,0,0,7,11,8,47,4,14,61,5,0,154
10104,0,0,0,0,0,0,0,0,0,3,4,7,5,11,9,28,8,12,6,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,12,1845,2755,2459,2130,2021,1803,904,1848,163,15925,79,105,147,151,99,238,42,225,19,1097,48,0,66,0,5,13,108,50,3,288,28,10,23,11,10,12,13,14,0,114,21,30,19,19,9,6,3,28,3,136,66,23,18,6,11,12,5,16,0,155,251,126,119,142,77,132,17,154,7,1043,2329,3064,2855,2474,2241,2243,1108,2351,205,18869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
10105,12,23,15,14,13,9,4,20,8,115,7,22,6,19,14,14,10,14,4,101,0,3,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,3,0,5,3,0,0,9,4,0,32,939,1619,1226,1079,1094,752,646,840,102,8281,39,60,89,63,51,141,48,181,8,680,38,3,31,0,3,3,37,16,3,135,17,0,10,9,0,3,3,13,0,50,0,8,4,6,0,3,5,7,0,39,31,5,11,3,9,0,6,7,0,69,103,106,56,71,38,59,13,65,13,513,1189,1848,1448,1264,1220,994,774,1152,137,10028,0,15,6,4,3,9,0,12,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,24,7,3,3,9,11,9,0,74
10106,5,23,3,8,5,11,3,9,3,84,3,16,4,4,13,8,12,8,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,15,860,893,859,588,739,505,360,600,82,5482,31,31,43,33,22,48,17,88,9,330,54,0,33,0,0,0,53,22,3,168,20,4,9,0,3,0,3,8,0,50,3,6,3,0,0,5,8,4,0,31,25,7,4,7,0,0,3,15,3,71,171,66,43,50,37,34,18,72,9,511,1170,1064,999,698,833,617,474,833,112,6804,0,11,3,8,9,6,0,7,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,3,8,8,6,0,5,3,50
10201,43,186,23,49,66,75,18,46,10,518,36,80,61,114,68,185,26,160,12,747,7,3,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,4,5,5,11,4,5,9,8,5,49,4475,8501,5742,5247,5575,4193,2212,3566,484,39986,169,290,364,359,241,542,91,579,42,2677,44,0,155,3,8,18,114,73,8,417,21,38,54,37,41,19,29,38,3,276,16,55,29,26,12,11,9,42,3,201,43,40,33,14,31,13,16,26,18,219,158,223,140,221,134,167,44,191,20,1294,5014,9420,6605,6076,6173,5221,2558,4720,606,46396,17,47,26,26,13,25,4,28,4,192,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,61,12,16,35,14,0,10,3,181,8,14,6,5,10,3,0,4,0,38,0,12,3,3,4,0,0,0,0,18,61,134,43,50,58,43,5,43,4,435
10202,22,58,41,26,29,31,9,24,0,228,20,36,42,88,27,155,20,98,4,495,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,4,3,3,0,26,3554,5882,4947,4129,4302,3651,2418,3196,424,32488,117,171,312,298,187,532,108,536,27,2292,32,3,146,6,16,18,172,91,13,493,10,11,50,29,33,13,25,31,0,200,22,34,30,16,19,14,15,19,4,169,25,25,19,21,24,4,21,22,5,171,110,99,107,141,62,124,47,155,16,862,3909,6319,5703,4748,4696,4540,2838,4177,500,37427,6,9,15,15,11,14,0,19,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,6,12,8,8,3,3,0,65,0,0,6,3,4,3,0,9,0,22,0,0,0,0,0,0,0,4,0,17,13,35,29,32,24,30,3,35,7,192
10301,0,8,0,0,0,0,0,0,3,16,3,4,4,6,7,8,0,21,0,63,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,4,6,4,0,36,1678,2687,2002,1805,1722,1240,1011,1432,167,13743,55,115,131,116,89,207,46,248,8,1019,60,4,42,3,5,0,70,31,3,215,14,8,9,8,7,4,6,6,0,66,10,27,13,4,3,3,5,19,0,95,39,14,18,3,7,3,3,15,0,100,125,132,93,142,77,82,25,111,5,787,1993,2999,2315,2100,1922,1564,1179,1876,189,16138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,11
10302,0,0,0,0,0,0,0,3,0,4,0,17,19,6,8,3,76,5,0,126,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,3,6,11,3,4,46,1997,2149,1958,1403,1566,1166,1100,1654,163,13154,95,112,178,92,75,196,114,245,14,1113,111,0,56,0,0,4,103,33,4,315,53,7,15,0,3,4,4,13,0,98,8,26,9,5,0,3,7,17,0,73,102,12,16,14,10,3,16,15,8,195,383,160,118,142,94,124,52,179,17,1257,2747,2473,2369,1665,1753,1520,1493,2161,203,16387,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9
10303,3,9,3,0,4,0,0,7,0,25,4,3,3,0,0,0,11,15,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,0,27,1196,1726,2177,1239,1431,896,1624,1187,136,11607,38,68,136,76,61,137,149,201,16,890,59,0,53,0,4,5,62,23,7,206,25,5,12,4,3,9,3,11,0,75,4,10,10,3,3,0,6,8,3,56,28,5,6,37,3,0,8,6,3,106,179,85,98,130,69,112,40,134,4,851,1538,1915,2496,1495,1582,1165,1906,1604,178,13879,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,15
