SA4_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
101,296,373,38,54,765,40746,25146,2532,1484,69907
102,116,259,27,52,453,57355,41635,3721,1886,104601
103,442,492,57,104,1089,51686,26583,3175,1750,83186
104,113,188,14,50,362,26277,19792,1812,960,48847
105,289,261,29,60,639,29654,12786,1700,1068,45204
106,213,331,26,61,626,60328,33427,3588,1850,99196
107,103,208,30,49,387,56328,39027,3575,1696,100628
108,216,283,40,79,615,36473,27483,2790,1565,68308
109,185,237,43,43,512,29078,16931,2025,1043,49077
110,459,428,77,93,1053,45732,23457,2738,1689,73620
111,136,366,28,60,592,91679,56128,5833,2460,156101
112,275,375,34,92,776,44551,35466,2792,1819,84622
113,274,342,33,80,729,43395,20589,2449,1501,67936
114,132,269,17,40,463,28338,20741,1827,1057,51975
115,138,303,28,32,505,51295,30447,2249,1612,85609
116,69,147,14,31,261,71696,31083,2901,2531,108208
117,532,860,79,112,1580,428658,123600,17247,9973,579482
118,206,527,27,47,796,54032,34694,2529,1777,93033
119,227,436,40,34,733,90383,51530,4174,3556,149640
120,166,343,26,32,565,67120,35545,3024,2199,107890
121,320,977,54,62,1414,138423,63123,5726,3392,210668
122,169,504,31,41,740,50092,34375,2349,1408,88217
123,66,147,18,24,253,48641,25934,2341,1648,78570
124,127,272,15,24,438,60775,36313,3171,1950,102208
125,204,357,33,43,636,151550,57505,6279,4892,220226
126,101,298,21,38,451,68521,27165,2671,1733,100093
127,138,214,35,35,420,77221,36813,3116,3072,120230
128,88,235,21,21,364,36851,27415,1980,1213,67454
197,0,0,0,0,0,52,18,9,0,90
199,130,389,76,91,688,81622,51876,6077,3790,143362
201,135,207,34,31,411,32629,23374,2452,1155,59603
202,158,243,25,32,458,33632,23441,2528,1099,60709
203,151,309,33,47,540,59664,42664,4125,1932,108389
204,317,361,62,68,812,38912,23909,2784,1446,67050
205,374,543,70,94,1077,54060,37240,4431,2063,97786
206,737,1226,118,213,2296,473519,180615,21563,11723,687418
207,179,651,47,51,924,81284,56092,4348,2406,144126
208,243,655,37,60,992,86036,60434,4244,2695,153409
209,154,380,39,47,619,81293,57990,4812,2994,147092
210,155,235,26,47,454,89205,43240,4146,3062,139656
211,220,596,68,72,955,100941,66840,5483,3184,176445
212,337,673,53,119,1178,189249,94198,8387,5837,297667
213,168,295,42,48,557,133621,73923,6408,4835,218781
214,140,348,35,36,556,48362,37078,3035,1693,90174
215,309,327,49,81,768,35521,20350,2463,1390,59720
216,193,248,36,60,534,31929,18185,2372,1226,53711
217,240,246,28,37,556,28455,17803,2084,1050,49392
297,0,0,0,0,0,110,24,22,9,155
299,139,351,60,61,612,68404,42345,5166,3122,119037
301,98,162,13,23,298,49475,27275,2341,1330,80416
302,129,205,24,36,399,76915,36033,3888,1893,118730
303,120,327,21,45,512,98811,49464,4809,2607,155691
304,64,203,9,23,299,32969,24676,2104,932,60680
305,232,466,30,75,807,217492,79437,10535,4346,311812
306,255,334,42,51,679,60632,33309,3366,2038,99348
307,424,357,32,71,886,36681,15806,2201,1238,55924
308,199,228,23,50,500,59869,27534,3729,1714,92845
309,300,697,47,96,1141,144611,88449,6983,4418,244461
310,150,197,28,51,423,69453,33349,3453,2077,108330
311,83,172,12,28,296,56887,32499,2863,1912,94157
312,183,160,19,52,412,49517,21053,2930,1542,75048
313,85,158,14,28,276,36085,25550,2192,1264,65099
314,33,85,3,15,133,28255,19464,1448,826,49984
315,169,82,14,26,292,26719,7465,1576,997,36755
316,153,368,29,63,617,70760,51467,3946,2147,128313
317,98,151,13,36,302,39215,21548,2319,1022,64098
318,172,240,21,54,482,62547,30250,3680,1733,98214
319,344,340,41,92,819,52400,34276,3201,1962,91831
397,0,0,0,0,0,150,14,24,11,202
399,90,225,52,47,410,57917,33813,4788,2400,98920
401,257,614,55,69,995,127566,76085,8019,2981,214651
402,130,214,31,35,411,73630,45844,4271,2111,125856
403,108,347,31,47,531,50166,43853,3817,1430,99265
404,133,278,24,42,468,78554,37995,3945,1900,122391
405,192,239,41,63,532,23153,15340,1662,794,40942
406,97,101,17,26,235,22634,11377,1731,781,36522
407,286,464,47,74,873,38982,25694,2886,1270,68823
497,0,0,0,0,0,41,11,14,0,64
499,40,99,19,24,185,17962,13830,1811,699,34306
501,159,291,33,41,528,41049,25309,3235,1349,70945
502,29,118,9,14,167,13437,11440,990,472,26336
503,213,602,34,46,898,151406,65576,8766,3198,228947
504,84,242,26,16,365,54492,30602,2758,1533,89384
505,135,456,39,36,665,88879,64107,5057,2638,160681
506,207,467,42,28,747,127021,64973,6774,3529,202292
507,146,390,37,41,612,90984,55005,5501,2485,153980
509,327,437,58,82,900,34305,18142,2628,1129,56206
510,60,65,3,11,144,51313,9903,4841,1492,67549
511,104,124,14,20,260,37048,12816,2959,1126,53941
597,4,0,0,0,4,1315,74,169,31,1595
599,51,125,37,22,229,30815,18821,3494,1251,54378
601,92,293,27,49,462,57235,37844,4087,1488,100657
602,107,223,25,19,373,30186,20486,2243,932,53845
603,42,67,11,16,141,4821,3789,404,245,9257
604,94,165,13,36,310,23939,15696,1972,803,42413
697,0,0,0,0,0,43,10,5,0,55
699,12,28,4,7,54,4823,3544,518,250,9132
701,77,90,9,15,195,53117,14526,3166,1571,72381
702,62,47,6,7,130,24218,6734,1581,1071,33604
797,0,0,0,0,0,74,6,9,3,91
799,10,3,4,0,20,2411,819,334,109,3674
801,168,395,46,54,665,148727,59241,9400,3273,220639
897,0,0,0,0,0,0,0,0,0,0
899,9,20,4,4,32,4093,2246,317,157,6817
901,8,17,0,3,35,1801,645,168,75,2692
997,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,56,24,31,6,118
