SA4_CODE_2016,OM_UIE_75ov_HW_0,OM_UIE_75ov_HW_1_15,OM_UIE_75ov_HW_16_24,OM_UIE_75ov_HW_25_34,OM_UIE_75ov_HW_35_39,OM_UIE_75ov_HW_40,OM_UIE_75ov_HW_41_48,OM_UIE_75ov_HW_49mor,OM_UIE_75ov_HW_NS,OM_UIE_75ov_Tot,OM_UIE_Tot_HW_0,OM_UIE_Tot_HW_1_15,OM_UIE_Tot_HW_16_24,OM_UIE_Tot_HW_25_34,OM_UIE_Tot_HW_35_39,OM_UIE_Tot_HW_40,OM_UIE_Tot_HW_41_48,OM_UIE_Tot_HW_49mor,OM_UIE_Tot_HW_NS,OM_UIE_Tot_Tot,CFW_15_19_HW_0,CFW_15_19_HW_1_15,CFW_15_19_HW_16_24,CFW_15_19_HW_25_34,CFW_15_19_HW_35_39,CFW_15_19_HW_40,CFW_15_19_HW_41_48,CFW_15_19_HW_49mor,CFW_15_19_HW_NS,CFW_15_19_Tot,CFW_20_24_HW_0,CFW_20_24_HW_1_15,CFW_20_24_HW_16_24,CFW_20_24_HW_25_34,CFW_20_24_HW_35_39,CFW_20_24_HW_40,CFW_20_24_HW_41_48,CFW_20_24_HW_49mor,CFW_20_24_HW_NS,CFW_20_24_Tot,CFW_25_29_HW_0,CFW_25_29_HW_1_15,CFW_25_29_HW_16_24,CFW_25_29_HW_25_34,CFW_25_29_HW_35_39,CFW_25_29_HW_40,CFW_25_29_HW_41_48,CFW_25_29_HW_49mor,CFW_25_29_HW_NS,CFW_25_29_Tot,CFW_30_34_HW_0,CFW_30_34_HW_1_15,CFW_30_34_HW_16_24,CFW_30_34_HW_25_34,CFW_30_34_HW_35_39,CFW_30_34_HW_40,CFW_30_34_HW_41_48,CFW_30_34_HW_49mor,CFW_30_34_HW_NS,CFW_30_34_Tot,CFW_35_39_HW_0,CFW_35_39_HW_1_15,CFW_35_39_HW_16_24,CFW_35_39_HW_25_34,CFW_35_39_HW_35_39,CFW_35_39_HW_40,CFW_35_39_HW_41_48,CFW_35_39_HW_49mor,CFW_35_39_HW_NS,CFW_35_39_Tot,CFW_40_44_HW_0,CFW_40_44_HW_1_15,CFW_40_44_HW_16_24,CFW_40_44_HW_25_34,CFW_40_44_HW_35_39,CFW_40_44_HW_40,CFW_40_44_HW_41_48,CFW_40_44_HW_49mor,CFW_40_44_HW_NS,CFW_40_44_Tot,CFW_45_49_HW_0,CFW_45_49_HW_1_15,CFW_45_49_HW_16_24,CFW_45_49_HW_25_34,CFW_45_49_HW_35_39,CFW_45_49_HW_40,CFW_45_49_HW_41_48,CFW_45_49_HW_49mor,CFW_45_49_HW_NS,CFW_45_49_Tot,CFW_50_54_HW_0,CFW_50_54_HW_1_15,CFW_50_54_HW_16_24,CFW_50_54_HW_25_34,CFW_50_54_HW_35_39,CFW_50_54_HW_40,CFW_50_54_HW_41_48,CFW_50_54_HW_49mor,CFW_50_54_HW_NS,CFW_50_54_Tot,CFW_55_59_HW_0,CFW_55_59_HW_1_15,CFW_55_59_HW_16_24,CFW_55_59_HW_25_34,CFW_55_59_HW_35_39,CFW_55_59_HW_40,CFW_55_59_HW_41_48,CFW_55_59_HW_49mor,CFW_55_59_HW_NS,CFW_55_59_Tot,CFW_60_64_HW_0,CFW_60_64_HW_1_15,CFW_60_64_HW_16_24,CFW_60_64_HW_25_34,CFW_60_64_HW_35_39,CFW_60_64_HW_40,CFW_60_64_HW_41_48,CFW_60_64_HW_49mor,CFW_60_64_HW_NS,CFW_60_64_Tot,CFW_65_69_HW_0,CFW_65_69_HW_1_15,CFW_65_69_HW_16_24,CFW_65_69_HW_25_34,CFW_65_69_HW_35_39,CFW_65_69_HW_40,CFW_65_69_HW_41_48,CFW_65_69_HW_49mor,CFW_65_69_HW_NS,CFW_65_69_Tot,CFW_70_74_HW_0,CFW_70_74_HW_1_15,CFW_70_74_HW_16_24,CFW_70_74_HW_25_34,CFW_70_74_HW_35_39,CFW_70_74_HW_40,CFW_70_74_HW_41_48,CFW_70_74_HW_49mor,CFW_70_74_HW_NS,CFW_70_74_Tot,CFW_75ov_HW_0,CFW_75ov_HW_1_15,CFW_75ov_HW_16_24,CFW_75ov_HW_25_34,CFW_75ov_HW_35_39,CFW_75ov_HW_40,CFW_75ov_HW_41_48,CFW_75ov_HW_49mor,CFW_75ov_HW_NS,CFW_75ov_Tot,CFW_Tot_HW_0,CFW_Tot_HW_1_15,CFW_Tot_HW_16_24,CFW_Tot_HW_25_34,CFW_Tot_HW_35_39,CFW_Tot_HW_40,CFW_Tot_HW_41_48,CFW_Tot_HW_49mor,CFW_Tot_HW_NS,CFW_Tot_Tot,ET_NS_15_19_HW_0,ET_NS_15_19_HW_1_15,ET_NS_15_19_HW_16_24,ET_NS_15_19_HW_25_34,ET_NS_15_19_HW_35_39,ET_NS_15_19_HW_40,ET_NS_15_19_HW_41_48,ET_NS_15_19_HW_49mor,ET_NS_15_19_HW_NS,ET_NS_15_19_Tot,ET_NS_20_24_HW_0,ET_NS_20_24_HW_1_15,ET_NS_20_24_HW_16_24,ET_NS_20_24_HW_25_34,ET_NS_20_24_HW_35_39,ET_NS_20_24_HW_40,ET_NS_20_24_HW_41_48,ET_NS_20_24_HW_49mor,ET_NS_20_24_HW_NS,ET_NS_20_24_Tot,ET_NS_25_29_HW_0,ET_NS_25_29_HW_1_15,ET_NS_25_29_HW_16_24,ET_NS_25_29_HW_25_34,ET_NS_25_29_HW_35_39,ET_NS_25_29_HW_40,ET_NS_25_29_HW_41_48,ET_NS_25_29_HW_49mor,ET_NS_25_29_HW_NS,ET_NS_25_29_Tot,ET_NS_30_34_HW_0,ET_NS_30_34_HW_1_15,ET_NS_30_34_HW_16_24,ET_NS_30_34_HW_25_34,ET_NS_30_34_HW_35_39,ET_NS_30_34_HW_40,ET_NS_30_34_HW_41_48,ET_NS_30_34_HW_49mor,ET_NS_30_34_HW_NS,ET_NS_30_34_Tot
101,16,56,38,29,11,33,14,63,8,262,263,1126,711,972,581,1285,584,2259,141,7921,0,33,6,3,0,0,0,0,6,49,0,9,6,0,5,0,0,4,4,31,0,18,10,5,6,3,0,6,0,52,3,22,13,5,11,7,5,18,3,74,5,43,7,11,5,15,4,37,8,126,3,44,17,10,4,17,10,40,10,166,9,39,19,25,5,23,10,42,3,172,3,39,14,22,11,20,13,87,5,224,12,40,26,30,20,35,13,97,13,288,16,69,37,32,11,32,10,98,12,328,19,71,45,49,14,27,9,91,11,325,16,67,40,30,16,33,18,63,12,283,15,39,24,40,16,32,5,37,14,215,100,533,272,264,120,244,98,624,96,2343,3,32,3,4,7,5,0,0,6,67,7,3,5,9,12,3,0,0,8,48,0,4,4,7,11,6,6,4,16,50,4,9,6,6,4,7,4,4,16,57
102,6,37,20,13,3,6,3,10,6,102,226,1678,1069,1229,716,1410,610,1741,133,8816,0,18,3,0,3,0,0,0,3,30,0,18,7,4,0,0,0,5,3,45,7,25,4,6,0,9,3,5,4,53,0,36,12,6,3,4,3,20,9,96,6,56,18,14,5,12,7,25,5,142,3,37,30,20,9,17,8,26,12,156,3,46,24,32,13,20,7,21,14,180,7,36,24,18,4,27,13,44,5,174,13,46,25,24,14,28,6,35,4,207,11,57,24,10,10,18,0,30,3,170,5,46,22,6,7,8,5,10,7,116,8,33,23,11,3,3,0,8,13,104,3,20,9,6,9,9,3,8,5,64,61,473,221,150,85,154,45,243,84,1517,3,38,14,10,10,3,0,0,15,95,8,13,8,7,14,14,0,3,26,102,6,16,12,7,14,9,3,6,10,83,3,6,5,14,10,13,0,4,14,69
103,14,54,46,58,20,43,17,106,18,378,243,928,752,897,565,1305,661,2968,131,8456,7,43,0,8,0,5,0,0,10,82,0,11,3,3,4,3,4,9,0,36,4,20,6,8,4,6,4,17,4,76,4,37,18,13,14,14,4,35,11,143,9,36,13,12,8,14,6,51,5,147,5,34,16,13,10,25,7,73,9,191,6,26,16,22,14,26,3,82,3,204,3,36,27,19,16,36,16,119,9,280,13,42,18,24,8,40,11,137,10,311,12,65,37,48,21,50,25,148,10,412,15,64,40,43,22,50,25,151,22,437,13,64,39,35,12,34,24,82,22,333,19,71,45,53,15,38,12,60,52,361,107,556,279,309,146,339,134,966,169,3012,11,24,5,5,10,4,3,8,21,87,7,5,7,11,15,12,10,6,25,95,3,3,5,7,12,12,3,10,7,71,9,10,4,11,7,13,3,10,13,91
104,0,20,18,14,5,7,3,22,7,106,167,835,550,662,414,785,378,1239,103,5141,0,21,3,0,0,4,0,0,4,32,3,8,0,0,0,5,3,3,0,25,3,17,5,3,7,4,0,4,3,44,10,10,5,4,8,3,0,18,3,55,3,13,5,10,3,11,8,27,9,90,5,16,10,18,3,15,5,32,7,103,5,32,15,18,4,13,4,27,5,122,3,30,17,14,10,12,6,43,4,134,4,33,18,21,13,19,5,61,10,178,5,45,20,18,8,19,9,50,8,180,7,54,18,15,3,14,9,26,8,152,7,17,11,14,0,7,3,16,8,79,5,22,10,7,4,10,0,12,3,85,58,307,154,143,58,129,53,317,69,1280,3,21,0,4,4,3,0,0,13,47,3,4,0,4,12,8,0,0,13,50,3,3,3,11,10,3,3,0,15,49,3,4,3,3,4,3,0,4,5,28
105,13,26,22,36,5,42,9,58,3,212,136,421,310,409,257,727,345,2013,72,4692,0,19,5,0,3,0,0,3,4,39,3,9,5,3,0,3,0,14,3,44,0,10,3,3,0,0,0,22,0,49,3,23,4,7,0,6,0,35,4,83,0,14,8,9,3,3,0,40,5,94,3,13,10,9,3,10,4,62,11,127,3,18,10,15,7,16,11,100,8,180,3,20,7,10,7,25,12,113,13,211,8,22,7,20,12,37,16,136,10,262,12,30,15,16,5,18,10,113,11,237,4,34,22,14,7,22,12,80,17,211,8,30,16,21,6,18,5,57,12,179,7,36,17,21,4,28,12,50,28,199,58,265,128,157,64,191,95,837,111,1914,5,8,3,3,3,0,0,3,10,34,9,4,7,3,6,4,4,3,11,45,3,4,0,6,5,9,9,3,14,56,6,3,3,0,9,4,0,12,4,50
106,6,37,32,22,8,12,5,28,9,161,181,1101,681,867,481,969,400,1596,110,6383,4,21,3,3,0,0,0,3,10,45,0,17,0,7,0,3,0,6,6,37,9,18,9,10,0,9,3,8,3,72,0,34,12,8,3,14,0,18,3,89,5,29,8,16,0,15,3,32,3,103,5,35,14,13,11,11,0,44,10,147,4,41,19,8,11,19,8,38,3,154,8,35,22,17,12,19,11,51,13,188,8,42,23,21,3,36,12,66,11,215,6,46,38,29,9,22,7,56,11,218,4,61,35,21,13,17,13,52,9,225,6,46,32,22,3,20,3,41,6,174,6,26,35,26,0,24,14,23,14,162,69,456,259,195,71,195,77,424,90,1828,8,31,5,3,8,4,0,8,12,83,3,11,11,6,12,12,4,13,24,88,4,3,4,8,12,3,3,10,22,64,6,4,4,7,8,4,7,7,12,62
107,6,23,10,5,0,9,0,9,3,73,187,1281,892,1002,638,1181,476,1469,95,7223,0,35,3,3,0,0,0,0,0,46,3,19,6,4,3,3,0,3,0,38,4,10,6,5,8,6,0,4,6,54,0,30,13,9,8,12,5,8,3,79,8,25,13,7,12,6,7,23,10,106,0,29,13,22,9,9,8,23,8,120,0,22,16,14,8,19,8,30,5,124,9,40,22,15,3,18,0,40,4,150,3,35,13,12,7,24,3,32,10,131,12,42,17,13,3,18,4,19,9,133,3,30,16,11,3,10,3,15,5,104,3,34,10,7,3,4,0,10,6,69,9,19,10,7,0,4,0,11,6,71,45,385,155,119,64,131,46,211,77,1236,5,33,7,0,8,6,0,0,18,88,11,21,9,9,11,9,0,5,17,80,7,10,7,6,8,9,3,10,14,81,3,3,5,12,9,10,3,11,23,79
108,11,50,10,18,11,26,9,38,7,176,254,1167,764,965,598,1212,532,1858,133,7478,8,19,0,0,0,0,0,0,7,32,3,17,3,0,3,0,0,0,3,28,3,19,4,6,0,3,0,13,3,59,3,37,5,4,0,3,3,17,8,82,3,22,13,8,4,9,0,18,3,88,0,27,17,8,6,21,12,40,0,136,10,36,15,17,10,14,9,46,8,160,13,29,23,18,6,28,8,68,11,200,5,51,16,32,13,23,7,62,9,218,4,69,32,24,10,35,13,72,14,284,10,64,31,35,13,24,4,63,14,266,6,47,28,16,14,12,7,29,15,172,14,40,18,19,9,12,5,33,22,171,95,487,215,188,90,185,73,460,110,1898,3,46,10,6,12,3,3,0,26,109,7,9,5,9,4,7,7,3,11,66,3,0,4,3,8,6,11,8,18,65,5,3,0,6,10,3,3,5,19,63
109,3,25,15,16,10,13,9,29,10,130,158,468,362,471,325,695,341,1582,76,4476,4,36,0,8,0,0,0,0,6,55,0,13,4,3,3,10,0,6,7,39,0,10,3,3,3,0,0,11,3,31,3,22,6,5,7,8,0,28,3,77,3,36,3,18,3,11,3,45,4,116,3,18,10,13,7,15,6,50,5,121,3,21,11,16,6,18,10,72,11,160,5,19,3,11,3,29,7,89,7,175,11,28,18,20,6,20,10,97,7,223,11,48,28,20,10,20,7,92,9,240,10,28,14,16,6,14,8,70,9,183,7,34,16,11,7,16,13,49,10,157,21,28,23,22,8,10,4,44,16,179,87,330,153,158,71,173,64,643,91,1765,3,23,3,0,3,3,0,0,11,43,3,4,3,5,7,7,0,3,14,45,0,3,0,3,7,10,4,10,8,39,8,3,3,0,7,8,4,7,14,47
110,20,47,36,42,19,37,20,96,10,318,228,834,614,806,519,1127,605,3097,140,7957,9,29,10,4,0,5,0,5,3,69,0,10,3,3,0,4,3,15,3,45,4,10,9,8,4,7,3,20,3,56,0,26,10,7,3,7,0,48,7,112,3,32,6,13,14,21,8,44,5,143,3,38,17,12,6,24,6,96,7,214,7,27,7,16,3,22,15,122,13,244,3,35,20,21,11,43,17,160,15,325,8,44,27,41,10,54,12,182,28,410,15,49,34,38,16,51,22,199,21,452,21,66,50,43,19,53,26,146,19,442,9,62,40,44,17,34,10,115,26,354,34,64,38,42,18,45,11,94,44,389,124,500,276,301,117,371,144,1233,197,3264,3,29,14,3,4,3,3,0,29,86,7,11,10,9,10,14,3,3,20,75,3,3,3,12,13,17,7,13,15,79,9,3,5,4,7,7,0,14,19,70
