SA4_CODE_2016,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
101,720,6,3,0,12,743,1947,36,72,0,3,2067,2291,106,134,9,15,2559,2151,210,238,17,12,2630,1893,295,249,23,22,2484,2064,400,339,37,26,2874,2102,423,452,33,30,3045,2066,467,481,79,46,3142,1847,399,453,108,29,2838,1007,298,399,98,26,1827,330,160,244,80,32,837,62,56,118,83,5,325,25,32,100,59,8,219,18509,2891,3281,635,263,25579,1207,0,4,29,11,1251,825,3,24,11,7,871,511,20,44,8,4,578,408,21,51,8,7,500,289,27,80,6,3,404,375,38,124,18,9,563,371,40,113,17,5,554,420,55,146,28,10,658,530,82,191,42,11,853,553,101,214,53,20,939,294,92,183,77,14,660,122,55,109,61,8,355,60,26,86,72,7,252,5966,556,1372,423,126,8441,749,86,146,50,37,1069,569,52,84,49,99,858,25785,3592,4888,1158,522,35940,382,3,0,0,4,392,1272,9,29,8,12,1329,1432,24
102,875,4,3,0,10,893,2597,36,92,3,22,2746,3039,144,228,13,23,3448,3146,331,278,16,18,3796,2889,423,351,24,14,3699,3077,578,407,32,29,4117,3073,627,449,31,27,4207,3072,629,445,41,45,4218,2689,487,416,50,25,3672,1480,351,303,30,21,2184,415,187,151,21,17,784,67,70,50,10,3,202,28,24,28,22,3,97,26435,3882,3185,287,258,34055,2186,6,18,11,26,2244,1708,10,49,15,19,1801,781,16,87,4,20,898,547,34,99,10,10,696,446,52,117,18,16,653,432,57,161,16,12,674,466,74,200,25,10,775,506,86,210,28,10,839,577,115,255,30,10,981,603,125,230,35,8,994,383,121,177,34,7,729,166,80,91,42,3,373,73,30,52,19,0,173,8858,815,1733,290,139,11838,1042,83,114,31,40,1311,677,80,84,41,143,1026,37017,4872,5118,646,574,48229,527,0,3,0,5,534,2028,4,34,3,13,2077,2471,32
103,941,3,3,3,11,967,2445,31,74,13,29,2594,3033,109,193,20,33,3389,3009,221,271,43,27,3567,2762,276,351,47,28,3467,2884,368,398,73,40,3765,2919,391,458,76,39,3884,2790,399,492,106,44,3837,2536,341,570,126,34,3607,1355,261,517,152,25,2310,415,167,320,165,19,1092,89,71,172,106,13,445,40,38,142,81,21,323,25218,2681,3959,1014,364,33238,1129,0,11,31,17,1196,770,0,28,7,8,816,480,7,29,8,10,536,388,15,44,7,10,461,303,17,44,5,6,374,291,28,62,25,10,411,318,28,101,26,5,476,383,35,96,26,11,552,426,35,142,35,16,646,485,56,146,59,18,755,309,54,138,67,15,587,171,34,119,77,12,419,66,20,98,116,12,318,5529,333,1051,484,145,7544,1011,66,140,50,42,1304,630,39,88,79,138,967,32380,3114,5235,1627,690,43053,383,0,0,3,7,393,1587,8,40,3,13,1646,1774,34
104,353,0,8,3,3,369,1091,8,33,8,14,1154,1267,36,78,9,9,1404,1327,89,129,17,11,1575,1297,129,178,29,20,1659,1488,212,222,33,18,1975,1468,238,244,32,20,2000,1452,260,270,39,19,2044,1297,208,275,53,21,1860,782,176,246,46,12,1258,205,70,133,35,6,447,37,37,45,17,5,143,12,24,34,22,4,91,12065,1497,1903,350,164,15981,921,0,5,18,10,954,591,3,14,8,4,625,397,3,20,8,8,435,349,6,38,3,6,401,297,14,53,3,3,371,310,33,95,15,7,453,318,34,94,15,6,472,393,40,104,21,9,576,498,49,156,24,11,740,491,44,156,46,14,748,231,56,119,43,3,449,97,18,50,20,0,191,45,8,40,30,6,123,4947,308,940,260,82,6544,551,36,88,25,24,716,330,28,62,33,83,540,17891,1866,3000,665,355,23777,188,0,0,0,0,191,692,8,18,8,6,723,850,11
105,463,0,8,11,6,483,1350,17,58,9,13,1448,1730,51,133,22,17,1957,1636,106,165,26,24,1959,1413,129,198,36,25,1795,1412,188,241,48,26,1907,1468,195,254,79,24,2025,1441,243,303,98,38,2122,1360,205,338,129,24,2058,791,129,313,91,16,1343,292,88,204,85,20,693,42,44,102,61,8,260,34,23,85,64,3,217,13429,1430,2390,757,255,18264,510,0,3,13,9,541,339,0,5,11,8,368,263,6,16,6,4,291,194,4,35,6,3,242,166,3,27,3,4,207,176,17,32,9,3,227,202,13,33,14,3,267,216,15,43,9,4,293,240,15,65,19,7,337,237,24,76,22,8,374,170,13,79,26,11,300,84,16,34,39,0,179,37,10,55,46,10,161,2819,148,507,221,74,3777,541,48,79,30,30,725,375,22,51,67,101,614,17164,1648,3033,1075,462,23377,207,0,0,0,0,209,961,6,24,8,6,997,1360,11
106,1069,4,3,3,15,1098,3231,24,58,7,28,3348,4472,117,127,6,18,4739,4537,250,189,15,16,5009,4211,298,181,22,30,4747,4248,411,274,34,32,5000,4114,445,264,40,40,4894,3837,425,323,42,43,4669,3241,378,352,62,30,4056,1626,304,270,60,24,2286,410,185,147,61,11,814,64,69,81,42,3,267,35,35,49,44,7,169,35105,2942,2309,433,292,41084,1832,0,11,23,19,1882,1227,6,32,14,14,1288,695,11,32,12,5,764,514,19,71,6,6,614,462,29,55,8,10,565,449,40,68,8,0,575,458,47,97,19,9,624,480,49,124,13,10,680,548,71,147,33,12,805,556,100,163,43,5,862,347,68,125,57,10,604,143,45,82,55,4,323,70,27,52,57,5,214,7779,516,1057,343,110,9811,1384,65,89,43,29,1605,775,52,60,44,139,1070,45045,3573,3514,867,570,53567,454,0,3,0,6,460,1838,10,35,3,13,1902,2229,25
107,844,3,8,0,11,859,2604,39,86,3,16,2747,3168,156,152,11,25,3508,3354,327,269,20,22,3999,3244,471,291,19,24,4039,3390,535,366,16,27,4335,3378,541,334,29,37,4317,3318,536,371,30,36,4294,2929,395,308,37,26,3692,1413,269,210,32,17,1939,345,152,118,22,12,647,80,56,33,16,0,184,29,22,18,19,0,85,28092,3495,2565,249,247,34651,1941,0,13,23,23,2011,2166,13,58,16,20,2267,983,23,78,13,10,1112,582,30,86,12,4,715,483,55,121,10,4,671,451,61,144,10,7,673,423,58,107,20,7,617,513,77,174,21,12,803,541,76,173,31,8,828,575,106,169,34,11,892,326,76,140,27,10,577,125,46,61,29,0,266,60,29,32,25,0,142,9175,650,1352,260,131,11574,1134,74,90,17,36,1349,723,68,61,36,116,997,39121,4286,4069,566,526,48575,415,0,0,0,4,417,2027,13,46,3,11,2102,2460,41
108,532,0,6,0,14,552,1425,15,39,3,13,1494,1666,51,120,6,19,1871,1720,123,159,12,18,2037,1696,197,227,16,25,2160,1987,277,366,37,32,2696,2062,301,395,43,26,2828,2018,340,432,65,42,2894,1847,328,470,57,25,2732,1027,240,368,84,23,1746,265,142,205,80,12,698,38,62,96,39,5,240,21,23,68,44,9,164,16315,2095,2958,489,266,22123,1254,0,8,11,19,1294,691,3,21,6,16,735,489,7,42,10,3,549,416,17,66,15,7,520,388,15,82,12,6,504,396,35,111,15,7,566,489,38,136,23,11,695,612,47,161,19,21,849,615,65,218,31,12,946,617,86,262,59,13,1035,356,73,173,61,12,687,131,39,88,48,8,313,50,26,55,48,7,182,6500,451,1423,361,141,8883,936,51,127,48,31,1187,533,42,83,46,141,856,24290,2641,4596,945,575,33045,230,0,0,0,4,233,974,3,22,0,3,1004,1117,9
109,504,4,3,4,4,516,1414,21,46,18,12,1512,1558,78,110,8,16,1772,1579,123,142,27,15,1887,1396,203,176,32,16,1828,1526,251,234,47,21,2079,1560,298,273,63,34,2223,1534,320,286,84,22,2245,1392,332,306,89,30,2152,936,203,262,89,23,1519,255,107,155,66,10,598,47,43,72,54,6,221,13,23,49,42,3,129,13717,2010,2119,628,217,18689,753,0,10,23,9,791,464,3,11,9,4,492,312,8,23,4,3,349,217,12,23,6,0,258,205,9,29,8,3,260,193,11,33,6,3,255,217,30,44,14,5,297,229,25,57,4,8,328,266,47,74,19,5,412,337,51,95,33,7,521,240,45,77,31,9,405,108,27,40,29,0,205,49,16,35,50,4,155,3585,280,551,243,55,4725,564,58,89,41,32,782,380,28,53,51,81,591,18242,2374,2816,963,381,24777,220,3,0,3,3,233,862,6,13,0,4,884,1002,17
110,766,0,4,4,6,788,2115,26,61,16,23,2240,2581,100,156,13,37,2883,2494,148,242,43,26,2952,2225,213,289,43,24,2797,2329,306,386,81,29,3135,2368,338,434,95,34,3274,2297,391,542,131,32,3394,2032,359,537,150,45,3124,1257,295,489,182,49,2271,405,159,320,158,29,1072,73,71,198,113,6,460,35,42,134,121,14,349,20980,2455,3794,1153,356,28739,1126,0,6,29,21,1184,676,10,13,16,11,722,453,5,20,3,7,491,383,6,41,9,5,445,327,12,47,8,3,390,305,23,81,6,4,414,370,15,67,19,5,477,412,34,110,22,11,585,430,31,130,34,10,642,446,43,151,37,13,687,282,39,133,68,8,541,132,38,104,71,13,351,60,27,75,97,6,269,5408,281,979,410,130,7205,818,56,128,56,27,1096,567,39,94,86,143,920,27773,2833,4997,1708,651,37957,349,0,0,6,8,361,1333,8,20,3,6,1370,1660,17
