SA4_CODE_2016,SOLSEWVW_Min_96_00,SOLSEWVW_Min_01_05,SOLSEWVW_Min_06_10,SOLSEWVW_Min_11_15,SOLSEWVW_Min_2016,SOLSEWVW_Min_NS,SOLSEWVW_Min_Tot,SOLSEWVW_Mnf_Bf_91,SOLSEWVW_Mnf_91_95,SOLSEWVW_Mnf_96_00,SOLSEWVW_Mnf_01_05,SOLSEWVW_Mnf_06_10,SOLSEWVW_Mnf_11_15,SOLSEWVW_Mnf_2016,SOLSEWVW_Mnf_NS,SOLSEWVW_Mnf_Tot,SOLSEWVW_EGWWS_Bf_91,SOLSEWVW_EGWWS_91_95,SOLSEWVW_EGWWS_96_00,SOLSEWVW_EGWWS_01_05,SOLSEWVW_EGWWS_06_10,SOLSEWVW_EGWWS_11_15,SOLSEWVW_EGWWS_2016,SOLSEWVW_EGWWS_NS,SOLSEWVW_EGWWS_Tot,SOLSEWVW_Const_Bf_91,SOLSEWVW_Const_91_95,SOLSEWVW_Const_96_00,SOLSEWVW_Const_01_05,SOLSEWVW_Const_06_10,SOLSEWVW_Const_11_15,SOLSEWVW_Const_2016,SOLSEWVW_Const_NS,SOLSEWVW_Const_Tot,SOLSEWVW_WST_Bf_91,SOLSEWVW_WST_91_95,SOLSEWVW_WST_96_00,SOLSEWVW_WST_01_05,SOLSEWVW_WST_06_10,SOLSEWVW_WST_11_15,SOLSEWVW_WST_2016,SOLSEWVW_WST_NS,SOLSEWVW_WST_Tot,SOLSEWVW_RetT_Bf_91,SOLSEWVW_RetT_91_95,SOLSEWVW_RetT_96_00,SOLSEWVW_RetT_01_05,SOLSEWVW_RetT_06_10,SOLSEWVW_RetT_11_15,SOLSEWVW_RetT_2016,SOLSEWVW_RetT_NS,SOLSEWVW_RetT_Tot,SOLSEWVW_AcFd_Bf_91,SOLSEWVW_AcFd_91_95,SOLSEWVW_AcFd_96_00,SOLSEWVW_AcFd_01_05,SOLSEWVW_AcFd_06_10,SOLSEWVW_AcFd_11_15,SOLSEWVW_AcFd_2016,SOLSEWVW_AcFd_NS,SOLSEWVW_AcFd_Tot,SOLSEWVW_TPW_Bf_91,SOLSEWVW_TPW_91_95,SOLSEWVW_TPW_96_00,SOLSEWVW_TPW_01_05,SOLSEWVW_TPW_06_10,SOLSEWVW_TPW_11_15,SOLSEWVW_TPW_2016,SOLSEWVW_TPW_NS,SOLSEWVW_TPW_Tot,SOLSEWVW_IMT_Bf_91,SOLSEWVW_IMT_91_95,SOLSEWVW_IMT_96_00,SOLSEWVW_IMT_01_05,SOLSEWVW_IMT_06_10,SOLSEWVW_IMT_11_15,SOLSEWVW_IMT_2016,SOLSEWVW_IMT_NS,SOLSEWVW_IMT_Tot,SOLSEWVW_FinIns_Bf_91,SOLSEWVW_FinIns_91_95,SOLSEWVW_FinIns_96_00,SOLSEWVW_FinIns_01_05,SOLSEWVW_FinIns_06_10,SOLSEWVW_FinIns_11_15,SOLSEWVW_FinIns_2016,SOLSEWVW_FinIns_NS,SOLSEWVW_FinIns_Tot,SOLSEWVW_RHRE_Bf_91,SOLSEWVW_RHRE_91_95,SOLSEWVW_RHRE_96_00,SOLSEWVW_RHRE_01_05,SOLSEWVW_RHRE_06_10,SOLSEWVW_RHRE_11_15,SOLSEWVW_RHRE_2016,SOLSEWVW_RHRE_NS,SOLSEWVW_RHRE_Tot,SOLSEWVW_ProSTS_Bf_91,SOLSEWVW_ProSTS_91_95,SOLSEWVW_ProSTS_96_00,SOLSEWVW_ProSTS_01_05,SOLSEWVW_ProSTS_06_10,SOLSEWVW_ProSTS_11_15,SOLSEWVW_ProSTS_2016,SOLSEWVW_ProSTS_NS,SOLSEWVW_ProSTS_Tot,SOLSEWVW_AdSup_Bf_91,SOLSEWVW_AdSup_91_95,SOLSEWVW_AdSup_96_00,SOLSEWVW_AdSup_01_05,SOLSEWVW_AdSup_06_10,SOLSEWVW_AdSup_11_15,SOLSEWVW_AdSup_2016,SOLSEWVW_AdSup_NS,SOLSEWVW_AdSup_Tot,SOLSEWVW_PubAS_Bf_91,SOLSEWVW_PubAS_91_95,SOLSEWVW_PubAS_96_00,SOLSEWVW_PubAS_01_05,SOLSEWVW_PubAS_06_10,SOLSEWVW_PubAS_11_15,SOLSEWVW_PubAS_2016,SOLSEWVW_PubAS_NS,SOLSEWVW_PubAS_Tot,SOLSEWVW_EdTrn_Bf_91,SOLSEWVW_EdTrn_91_95,SOLSEWVW_EdTrn_96_00,SOLSEWVW_EdTrn_01_05,SOLSEWVW_EdTrn_06_10,SOLSEWVW_EdTrn_11_15,SOLSEWVW_EdTrn_2016,SOLSEWVW_EdTrn_NS,SOLSEWVW_EdTrn_Tot,SOLSEWVW_HC_SA_Bf_91,SOLSEWVW_HC_SA_91_95,SOLSEWVW_HC_SA_96_00,SOLSEWVW_HC_SA_01_05,SOLSEWVW_HC_SA_06_10,SOLSEWVW_HC_SA_11_15,SOLSEWVW_HC_SA_2016,SOLSEWVW_HC_SA_NS,SOLSEWVW_HC_SA_Tot,SOLSEWVW_ArtsR_Bf_91,SOLSEWVW_ArtsR_91_95,SOLSEWVW_ArtsR_96_00,SOLSEWVW_ArtsR_01_05,SOLSEWVW_ArtsR_06_10,SOLSEWVW_ArtsR_11_15,SOLSEWVW_ArtsR_2016,SOLSEWVW_ArtsR_NS,SOLSEWVW_ArtsR_Tot,SOLSEWVW_OthSvs_Bf_91,SOLSEWVW_OthSvs_91_95,SOLSEWVW_OthSvs_96_00,SOLSEWVW_OthSvs_01_05,SOLSEWVW_OthSvs_06_10,SOLSEWVW_OthSvs_11_15,SOLSEWVW_OthSvs_2016,SOLSEWVW_OthSvs_NS,SOLSEWVW_OthSvs_Tot,SOLSEWVW_IDNS_Bf_91,SOLSEWVW_IDNS_91_95,SOLSEWVW_IDNS_96_00,SOLSEWVW_IDNS_01_05,SOLSEWVW_IDNS_06_10,SOLSEWVW_IDNS_11_15,SOLSEWVW_IDNS_2016,SOLSEWVW_IDNS_NS,SOLSEWVW_IDNS_Tot,SOLSEWVW_Tot_Bf_91,SOLSEWVW_Tot_91_95,SOLSEWVW_Tot_96_00,SOLSEWVW_Tot_01_05,SOLSEWVW_Tot_06_10,SOLSEWVW_Tot_11_15,SOLSEWVW_Tot_2016,SOLSEWVW_Tot_NS,SOLSEWVW_Tot_Tot,SOLSE_NWNA_AGFF_Bf_91,SOLSE_NWNA_AGFF_91_95,SOLSE_NWNA_AGFF_96_00,SOLSE_NWNA_AGFF_01_05,SOLSE_NWNA_AGFF_06_10,SOLSE_NWNA_AGFF_11_15,SOLSE_NWNA_AGFF_2016,SOLSE_NWNA_AGFF_NS,SOLSE_NWNA_AGFF_Tot,SOLSE_NWNA_Min_Bf_91,SOLSE_NWNA_Min_91_95,SOLSE_NWNA_Min_96_00,SOLSE_NWNA_Min_01_05,SOLSE_NWNA_Min_06_10,SOLSE_NWNA_Min_11_15,SOLSE_NWNA_Min_2016,SOLSE_NWNA_Min_NS,SOLSE_NWNA_Min_Tot,SOLSE_NWNA_Mnf_Bf_91,SOLSE_NWNA_Mnf_91_95,SOLSE_NWNA_Mnf_96_00,SOLSE_NWNA_Mnf_01_05
101,3,0,0,3,0,0,10,116,17,20,34,63,65,9,5,321,9,4,0,8,8,5,0,0,31,110,23,20,18,46,49,5,4,279,19,3,5,0,21,24,3,0,70,91,18,34,53,118,93,12,8,432,109,34,34,52,179,160,17,23,609,50,13,17,16,42,23,0,0,164,3,3,0,3,3,8,0,0,19,9,0,7,7,9,4,0,0,45,12,0,6,7,0,6,0,0,36,46,11,16,26,43,28,4,0,172,29,13,10,8,21,43,4,6,128,56,29,25,36,46,17,0,3,207,68,32,27,33,23,26,6,3,222,162,41,73,130,286,224,11,18,952,10,3,0,3,3,14,0,3,37,33,13,16,12,44,38,4,0,159,56,25,24,30,47,41,4,13,233,1022,284,338,478,1014,887,80,90,4190,0,0,0,0,3,8,3,0,14,0,0,0,0,0,0,0,0,3,14,3,0,4
102,0,4,4,4,0,0,12,120,43,64,52,83,69,4,3,433,3,3,0,4,3,0,0,3,21,69,21,30,26,34,35,7,8,233,23,3,10,15,27,9,0,0,90,136,54,61,64,106,76,6,9,517,151,33,89,86,203,161,12,20,749,65,9,17,11,35,11,0,3,147,11,3,6,5,4,8,0,0,47,25,7,4,12,8,3,0,0,59,19,4,4,6,13,6,0,0,52,60,22,33,48,53,24,0,0,245,66,13,28,24,37,38,0,3,214,55,21,21,30,32,20,0,3,178,81,27,26,35,22,17,0,0,209,326,114,142,207,394,355,16,29,1591,11,3,0,9,8,12,0,0,41,46,22,23,19,48,33,3,3,189,67,17,20,25,48,38,4,17,228,1367,421,580,685,1160,928,50,112,5306,3,0,0,0,4,6,8,0,22,0,0,0,0,0,0,0,0,0,6,3,5,0
103,10,15,36,22,0,0,105,47,9,23,27,44,64,3,3,217,11,0,3,4,3,3,0,0,20,29,3,0,10,12,22,3,0,87,8,4,3,3,3,16,0,0,32,35,10,13,24,100,37,3,3,233,53,21,27,34,124,78,0,11,346,5,0,3,0,16,7,0,0,32,3,3,0,3,3,5,0,0,13,3,3,0,3,0,0,0,0,14,3,0,0,0,0,0,0,0,5,17,7,9,5,17,29,0,3,86,23,4,9,9,19,15,0,0,81,23,11,12,14,33,15,0,3,103,20,15,16,22,31,22,0,0,125,81,23,51,112,239,229,12,7,752,4,0,0,7,3,0,0,0,12,17,0,3,7,25,23,0,0,75,30,3,3,9,30,27,0,3,103,451,128,204,319,753,645,31,40,2576,0,0,0,3,3,6,0,0,13,0,0,0,0,0,0,0,0,3,0,5,0,0
104,0,0,0,0,0,0,0,8,0,0,5,10,8,0,0,33,0,0,0,0,0,0,0,0,3,16,3,5,3,22,19,0,0,69,3,0,3,3,10,4,0,0,19,26,6,16,17,28,23,6,3,124,36,18,20,21,76,59,3,9,248,13,0,4,0,19,9,0,0,50,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,8,3,0,3,3,0,0,0,15,11,4,7,12,23,7,0,3,73,13,0,6,5,10,7,0,0,39,23,5,8,3,10,3,0,4,50,24,6,4,6,25,15,0,3,87,79,20,45,76,122,63,0,10,411,5,0,0,0,0,0,0,0,5,16,0,3,6,16,12,0,0,60,16,5,3,10,23,27,4,3,92,421,105,144,209,533,431,28,54,1921,11,3,6,4,47,130,15,28,243,0,0,0,0,0,0,0,0,0,0,0,0,0
105,4,3,26,22,0,0,63,7,4,8,7,92,74,16,3,217,4,0,0,0,3,0,0,0,12,3,5,7,0,10,11,0,3,39,4,0,0,6,15,14,0,0,40,19,0,3,24,117,71,4,4,244,38,11,5,25,96,73,14,5,266,5,0,3,0,11,7,0,0,28,0,0,0,0,3,3,0,0,8,3,0,0,0,4,6,0,0,11,0,3,0,0,3,0,0,0,11,16,3,4,7,20,8,0,0,61,5,0,7,4,12,11,0,0,37,23,7,11,11,27,7,0,0,86,27,10,7,19,17,4,0,0,84,48,24,29,62,179,173,4,7,528,0,0,0,0,3,3,0,0,8,6,5,4,0,15,17,0,0,56,10,4,0,4,22,22,0,0,67,244,83,88,195,700,546,46,37,1935,3,0,0,0,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0
106,12,31,38,21,0,0,120,49,12,17,32,79,91,4,0,282,4,0,3,8,24,11,0,0,42,42,8,10,14,23,36,4,6,144,8,4,0,3,18,6,0,0,49,55,12,22,32,105,64,0,4,292,106,29,37,39,103,98,11,11,435,20,11,7,7,17,13,0,3,79,3,0,3,8,3,4,0,0,19,0,0,0,4,6,3,0,0,16,3,3,3,0,3,10,0,0,24,33,3,15,23,28,24,3,3,132,20,3,11,6,24,28,0,7,97,31,19,16,37,47,8,0,0,166,39,9,7,19,22,12,0,3,111,78,38,50,90,226,147,6,10,637,7,0,0,0,0,3,0,0,16,28,7,3,12,36,21,0,3,118,36,8,8,17,39,31,0,4,143,585,173,245,384,878,645,32,66,2996,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,5,0,5
107,7,8,8,3,0,3,55,258,47,39,48,61,40,4,9,511,8,0,0,0,9,3,0,0,23,240,50,78,55,51,71,3,16,559,59,14,8,14,35,31,3,5,167,322,83,79,108,167,180,12,16,971,219,57,72,99,193,287,50,29,1004,181,23,42,29,45,32,3,5,359,29,5,8,7,8,19,3,0,74,91,18,24,24,33,18,0,3,214,44,3,14,4,10,12,0,6,93,138,44,48,67,101,91,6,11,502,169,27,39,35,55,70,0,11,415,156,34,32,36,33,19,0,10,312,305,95,125,134,198,218,14,11,1097,566,147,160,217,408,382,11,38,1925,17,3,3,10,9,16,0,0,65,122,34,35,33,46,48,3,8,332,154,33,51,66,97,105,8,30,549,3131,734,850,1001,1556,1656,129,204,9260,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,30,8,5,7
108,0,0,0,0,0,0,3,17,12,15,3,13,26,4,0,91,7,0,6,11,8,3,0,0,37,29,0,14,15,18,26,0,3,109,8,4,3,3,11,4,0,0,28,33,10,15,19,50,32,0,0,159,59,13,29,29,74,66,3,9,278,15,4,5,0,3,3,0,0,23,0,0,0,0,3,0,0,0,8,7,3,0,4,0,0,0,0,19,3,0,0,3,0,0,0,0,8,14,3,10,11,12,14,0,3,69,13,5,5,7,14,6,0,0,52,14,3,3,3,11,0,0,0,32,34,12,7,26,14,13,0,7,102,124,37,50,100,185,189,3,10,699,7,0,0,3,0,0,0,0,12,10,0,0,4,14,11,0,0,45,11,0,7,13,8,14,0,3,61,424,105,174,253,448,428,20,42,1897,0,0,0,0,0,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,7
109,0,0,0,0,0,0,0,35,4,8,8,64,72,7,3,198,0,0,0,3,3,4,0,0,7,9,0,3,0,6,14,0,3,32,7,3,0,0,5,10,7,0,36,19,6,10,13,67,30,6,3,156,47,13,9,27,121,84,7,3,316,15,0,8,3,20,4,0,0,50,0,0,0,0,3,0,0,0,5,0,0,3,3,7,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,4,13,6,0,0,41,5,0,4,3,19,9,3,5,53,23,6,3,10,20,8,0,0,60,23,3,8,15,15,17,3,0,78,55,17,29,63,198,111,0,4,479,0,0,3,0,4,0,0,0,18,9,3,5,0,24,25,3,0,70,13,3,3,4,31,24,0,3,78,288,65,106,170,655,463,48,30,1825,0,0,0,3,4,14,4,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3,4,9,15,0,0,38,29,7,12,15,90,165,13,18,339,0,0,0,0,0,0,0,0,5,7,0,3,0,17,13,0,0,47,7,0,3,3,27,47,9,0,92,28,6,16,16,83,73,4,3,227,55,21,20,40,77,70,14,5,300,5,5,3,0,18,14,0,0,42,0,0,0,0,0,6,0,0,9,3,0,5,0,0,3,0,0,13,0,0,0,0,0,3,0,0,4,9,3,7,9,19,35,3,0,88,12,3,4,3,18,28,0,0,67,18,10,6,13,22,20,0,3,84,39,15,28,36,62,66,3,3,258,59,33,45,72,179,223,3,9,627,3,0,0,0,0,0,0,0,10,12,0,3,4,24,13,0,3,62,14,5,8,4,24,39,3,10,104,318,123,173,254,709,937,80,75,2660,3,0,0,3,3,29,6,32,77,0,0,0,0,0,3,0,0,3,0,0,0,3
