SA4_CODE_2016,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20more_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20more_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20more_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20more_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20more_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20more_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20more_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20more_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20more_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20more_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20more_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20more_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20more_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20more_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20more_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20more_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20more_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20more_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20more_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20more_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20more_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20more_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20more_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20more_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20more_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20more_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20more_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20more_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20more_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20more_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20more_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20more_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20more_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20more_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20more_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20more_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20more_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20more_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20more_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20more_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
101,135,254,8,0,401,3,15,0,0,16,63,235,33,7,340,12,15,3,0,29,310,649,51,15,1026,20,89,9,8,125,81,366,44,11,504,56,325,49,0,428,110,174,28,5,319,26,27,0,0,46,39,44,0,0,83,49,146,17,3,213,241,299,25,6,576,60,114,10,14,197,23,17,6,0,42,34,48,3,0,89,66,158,19,0,242,22,41,4,3,69,82,180,4,4,266,92,122,8,3,226,1516,3315,326,73,5230,923,621,5,53,1601,0,0,0,0,0,229,89,10,7,332,11,6,0,0,23,904,330,5,28,1267,55,30,3,3,87,284,267,12,18,578,222,340,8,14,586,185,98,0,3,281,44,9,0,0,55,39,6,0,0,42,42,27,0,0,69,457,128,9,13,608,319,65,0,5,394,25,10,0,5,39,207,32,0,9,245,421,94,11,4,530,160,28,0,3,192,421,245,0,13,672
102,16,65,4,3,81,7,17,3,0,32,90,313,64,5,473,10,31,4,0,40,491,812,55,14,1367,53,134,11,0,202,138,434,65,7,647,49,277,74,3,402,137,143,21,8,304,58,66,11,0,126,119,127,3,0,256,98,217,17,6,339,420,510,32,7,974,148,168,18,4,345,25,43,8,0,79,74,87,11,3,169,148,381,45,4,572,33,70,5,0,107,128,264,9,0,402,174,215,10,5,405,2437,4361,461,68,7324,169,58,0,3,233,9,0,0,0,9,271,104,0,6,387,15,3,0,0,21,1268,421,0,25,1712,69,33,0,0,98,324,228,8,9,571,158,191,0,3,357,245,46,3,3,304,102,8,0,0,112,67,22,0,0,99,78,14,0,0,93,849,159,5,3,1021,606,108,0,5,713,32,0,3,0,35,341,58,3,3,409,682,226,14,5,923,229,30,0,5,263,790,253,3,18,1060
103,250,366,40,18,667,39,43,10,0,91,40,251,44,3,338,4,20,3,0,27,183,465,36,14,695,25,118,18,7,169,45,322,55,7,434,24,225,50,5,311,105,164,24,10,294,17,19,4,0,39,42,52,0,0,97,28,73,16,5,112,136,260,27,7,424,51,100,13,3,172,5,16,3,0,29,15,17,0,0,32,72,178,11,0,262,8,14,5,0,24,59,181,13,0,252,56,78,14,7,154,1205,2958,377,90,4631,1720,1042,3,95,2862,25,3,0,0,26,172,94,4,3,273,20,8,0,0,27,645,333,0,25,1006,40,31,0,0,74,258,237,4,13,510,166,266,6,8,442,232,87,0,14,330,31,3,0,0,37,35,16,0,0,50,58,22,0,3,79,371,118,17,8,506,261,68,0,3,332,16,11,4,0,31,167,32,0,0,199,383,111,7,3,503,119,20,0,6,145,520,242,0,24,783
104,42,81,17,4,141,9,3,0,0,17,16,113,14,0,144,3,8,0,0,16,122,263,21,3,410,16,45,3,0,62,44,230,35,0,316,29,170,38,3,247,48,74,12,4,145,22,26,4,0,46,31,47,4,0,76,39,90,8,0,140,137,154,21,0,309,38,58,3,0,102,6,7,3,0,12,17,39,6,0,59,46,182,14,3,247,9,8,7,0,20,38,109,0,0,149,56,64,7,6,131,778,1775,210,32,2797,464,194,22,17,699,3,0,0,0,3,179,89,0,3,275,12,0,0,0,11,591,155,3,20,760,30,25,0,4,60,215,161,3,13,393,130,198,3,3,334,109,50,3,3,164,25,0,0,0,25,30,7,0,0,43,53,22,0,0,77,316,91,8,3,417,221,38,0,9,273,14,8,0,0,17,144,22,0,0,169,444,90,3,0,538,99,11,3,3,119,391,144,0,9,544
105,177,303,8,16,507,9,21,3,0,29,16,75,13,0,105,5,3,3,0,15,71,210,22,3,311,16,58,13,0,82,33,200,31,4,267,21,129,23,3,177,52,63,11,0,128,5,12,0,0,16,18,40,0,0,50,16,51,0,0,62,42,116,13,3,174,22,61,4,0,85,3,8,4,0,9,6,9,3,0,16,39,66,16,0,124,0,8,0,0,10,31,93,3,0,125,30,48,6,0,87,613,1575,168,36,2387,1051,764,9,55,1883,30,3,0,0,30,79,45,3,7,129,3,0,0,0,8,334,140,0,7,487,22,27,0,0,41,134,116,13,6,264,103,153,7,3,265,137,49,0,10,197,8,0,0,0,8,13,6,0,3,15,16,12,0,0,23,148,59,0,0,206,105,36,0,7,143,8,3,0,0,17,66,9,0,3,77,193,43,6,9,256,52,15,0,3,70,286,127,0,11,428
106,95,149,18,10,270,73,75,29,0,185,71,213,49,3,337,13,28,0,0,35,268,547,43,18,880,30,80,12,4,120,82,343,54,0,479,35,247,67,3,354,122,209,35,5,377,15,26,0,0,43,55,52,3,3,114,42,119,9,0,168,200,347,34,3,589,77,141,15,3,242,16,17,11,0,39,35,34,5,0,65,115,211,24,0,349,23,28,8,0,62,84,244,14,0,340,82,140,16,6,245,1532,3240,459,66,5295,546,231,0,26,796,26,3,0,0,26,190,68,0,0,253,9,0,0,0,13,719,252,0,15,996,36,20,0,0,60,200,225,11,3,437,144,212,3,9,364,183,66,0,0,251,20,5,0,0,26,36,3,0,0,42,53,27,0,0,78,403,112,9,9,535,379,85,3,5,468,27,3,0,0,36,235,46,0,6,284,462,94,12,9,576,110,29,0,5,144,559,179,0,16,751
107,24,40,0,0,64,19,16,4,0,41,66,203,39,4,309,4,13,0,0,19,330,717,63,16,1125,30,125,29,0,186,101,391,65,8,554,34,278,68,4,378,143,156,27,9,333,32,38,0,0,72,68,114,6,0,185,61,156,25,4,241,332,396,53,9,788,94,166,20,0,280,17,25,6,0,44,58,85,14,0,154,149,360,41,5,555,28,54,4,0,85,108,233,12,7,359,113,161,17,10,298,1798,3719,493,61,6073,108,48,0,3,155,3,3,0,0,4,167,91,0,3,264,13,3,0,0,18,902,279,0,9,1195,30,23,0,0,58,310,211,21,9,552,148,235,3,3,388,212,57,3,9,281,69,3,0,0,75,45,13,0,0,61,58,11,0,0,70,655,171,24,8,849,379,65,0,3,448,35,7,0,0,37,354,65,4,4,430,675,184,4,13,880,194,29,0,3,231,661,249,0,12,929
108,72,120,6,3,206,8,6,3,0,12,27,143,37,0,205,5,11,0,0,19,202,396,30,13,636,19,76,16,0,106,57,342,43,7,443,41,239,58,5,339,78,124,22,3,223,17,18,3,0,36,56,43,3,3,112,38,165,9,3,214,165,236,19,3,422,56,103,7,7,176,6,14,0,0,28,21,29,7,0,57,92,261,24,5,380,14,28,0,0,43,41,128,4,4,182,64,101,6,3,178,1088,2568,296,63,4018,791,239,0,35,1067,0,0,0,0,0,228,84,0,7,316,11,3,0,0,9,966,291,3,27,1287,32,23,0,0,57,279,283,9,15,581,171,271,6,3,458,207,81,0,4,295,30,0,0,0,32,38,7,0,0,51,41,29,0,4,72,454,145,9,8,609,392,91,6,10,492,22,9,0,0,30,203,30,0,0,237,453,169,10,10,640,113,25,0,0,144,564,241,0,15,816
109,271,488,22,20,804,3,5,3,0,10,34,135,36,4,209,9,4,0,0,9,95,314,15,9,426,21,80,13,0,122,30,215,36,3,285,54,165,32,10,255,78,122,21,6,227,8,15,3,0,22,23,44,0,0,70,29,46,3,0,79,75,146,10,7,231,33,60,10,0,105,6,14,3,0,24,14,14,7,0,33,55,117,16,3,190,10,19,0,0,26,53,129,8,0,193,47,82,9,0,134,952,2203,238,62,3456,782,488,8,33,1307,4,0,0,0,5,94,69,0,0,161,3,4,0,0,9,430,154,3,6,593,37,23,0,0,57,137,124,4,3,273,107,170,3,3,284,98,43,4,3,148,14,0,0,0,16,19,9,0,0,25,27,14,0,0,34,208,77,13,4,300,134,39,0,3,177,12,0,3,0,18,91,9,0,0,103,251,60,13,7,324,42,12,0,0,48,284,143,0,10,433
110,263,628,29,31,954,10,11,3,0,29,45,113,27,8,190,8,17,0,0,26,115,387,30,10,536,18,122,6,0,153,45,306,38,8,391,42,177,35,9,256,83,144,22,4,259,13,8,0,0,22,34,51,4,3,93,38,97,11,4,151,93,197,34,4,328,39,81,4,0,133,5,14,0,0,21,23,22,3,0,45,61,157,12,0,229,11,11,0,0,24,35,148,3,3,191,51,79,9,9,143,1034,2778,267,94,4172,1904,987,4,83,2979,12,0,0,0,16,188,86,3,3,286,4,5,0,0,9,615,279,4,17,914,42,19,0,4,70,199,228,13,11,454,92,234,6,4,341,202,102,3,3,314,23,9,0,0,31,32,9,0,3,47,30,24,0,0,54,272,120,31,7,430,200,80,0,11,296,17,9,3,0,32,197,21,6,0,218,386,87,0,11,487,77,22,0,0,96,407,223,0,13,641
