SA4_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
101,228,71,3,5,308,5170,2502,66,188,7921
102,339,55,3,4,406,6646,2019,50,98,8816
103,196,45,0,3,245,5421,2783,48,206,8456
104,151,48,0,11,215,3637,1352,51,99,5141
105,107,33,0,7,153,2892,1630,38,125,4692
106,202,40,0,7,250,4541,1693,49,103,6383
107,227,46,3,10,288,5251,1810,73,83,7223
108,207,51,0,12,267,5211,2077,48,138,7478
109,117,36,0,6,157,2879,1477,44,71,4476
110,192,56,0,11,262,5097,2600,71,186,7957
111,286,43,5,4,336,6690,2077,123,94,8985
112,401,75,3,10,484,8040,2528,78,198,10845
113,144,41,0,10,195,3892,2000,57,149,6105
114,214,26,0,8,250,4115,1440,46,106,5708
115,266,40,0,9,318,4938,1330,55,66,6389
116,243,38,3,5,286,4638,1077,49,57,5825
117,905,159,17,23,1104,14613,3879,1671,188,20352
118,383,40,3,7,434,6978,1609,75,84,8739
119,497,80,3,7,586,9387,2551,65,112,12116
120,353,55,0,5,411,6704,1510,60,80,8354
121,516,83,9,12,621,10238,2352,126,95,12810
122,397,48,4,3,450,7308,1624,56,76,9053
123,206,32,0,7,241,3802,1129,30,57,5018
124,324,59,0,8,392,5929,1810,43,84,7862
125,508,90,3,12,615,7629,2070,89,102,9890
126,190,34,3,5,233,3588,846,52,32,4520
127,340,65,3,7,417,5668,1846,55,93,7664
128,195,41,5,5,238,4188,1235,43,53,5522
197,0,0,0,0,0,16,3,0,0,16
199,1157,123,3,35,1321,36349,4957,45,606,41955
201,151,25,0,5,187,3230,1088,61,85,4463
202,199,39,0,3,245,3529,1190,35,102,4865
203,303,54,0,5,368,5756,1712,63,113,7651
204,210,36,4,12,256,4720,1699,36,142,6599
205,299,66,4,10,376,6900,2771,52,209,9931
206,1285,247,27,30,1588,21704,5524,1328,299,28858
207,435,75,3,13,530,7553,1811,127,76,9567
208,578,85,3,15,682,9895,2324,93,106,12411
