SA4_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
101,73,380,256,281,497,539,269,426,45,2761,100,316,198,246,387,446,177,363,660,2892,2532,8737,7325,9086,12670,10946,6098,11037,1484,69907
102,123,652,542,592,905,734,421,554,57,4579,142,490,363,344,724,710,227,481,827,4312,3721,14632,13123,13883,19715,17614,7878,12150,1886,104601
103,67,390,311,300,602,612,339,634,33,3285,133,283,201,225,441,449,187,392,737,3045,3175,9231,8049,9300,14907,13644,7900,15232,1750,83186
104,55,272,170,248,415,347,161,276,23,1964,73,224,177,165,271,227,87,159,422,1803,1812,6772,5759,7263,9487,7027,3571,6196,960,48847
105,51,170,158,168,401,345,172,299,17,1786,80,127,90,114,221,235,114,210,489,1674,1700,4248,3727,4804,8790,7637,3968,9250,1068,45204
106,121,506,412,439,858,805,465,821,37,4475,106,417,270,305,582,593,219,443,811,3747,3588,12011,10377,11042,17824,16224,10497,15786,1850,99196
107,134,582,483,485,845,826,370,571,38,4334,132,397,343,318,608,679,218,405,788,3900,3575,14228,12376,12423,19388,16881,8132,11929,1696,100628
108,69,374,302,286,534,497,234,374,39,2712,109,299,166,224,330,286,132,230,711,2484,2790,9343,8100,10034,12654,10035,4993,8796,1565,68308
109,49,225,194,188,318,320,195,283,25,1798,107,190,118,159,307,308,100,229,444,1954,2025,5952,4852,6127,8796,7874,4350,8061,1043,49077
110,82,337,238,253,611,558,294,476,42,2891,119,282,189,208,438,443,172,353,719,2927,2738,8122,6751,8582,13831,11806,6292,13804,1689,73620
111,169,765,619,674,1370,1173,657,784,52,6273,176,533,369,432,913,957,343,580,1126,5433,5833,19038,17855,19228,30864,28497,13726,18590,2460,156101
112,71,478,373,386,571,592,256,459,34,3230,163,470,317,375,461,493,174,379,869,3704,2792,11841,10462,13162,15425,12567,5934,10629,1819,84622
113,42,260,204,243,517,509,280,368,22,2443,105,240,178,170,426,460,167,301,611,2652,2449,7126,6147,7315,13560,11897,6269,11670,1501,67936
114,63,262,247,267,395,308,189,308,31,2067,83,278,198,188,288,274,117,220,482,2126,1827,7626,6265,6857,9095,7977,4396,6867,1057,51975
115,69,454,416,386,573,718,320,539,35,3514,114,462,398,332,661,852,260,541,833,4443,2249,11536,9826,9083,14001,17136,7071,13094,1612,85609
116,90,429,394,387,888,895,415,692,57,4231,142,477,486,516,1433,1342,456,760,1254,6865,2901,10427,9981,10673,24076,22067,9826,15722,2531,108208
117,353,1089,1399,1386,3263,3084,1428,1904,153,14047,590,1652,2179,1477,3671,5171,1680,2878,5297,24601,17247,32309,48767,42521,114541,144675,65380,104063,9973,579482
118,79,559,566,447,596,678,314,479,54,3761,102,483,432,357,444,660,207,512,849,4041,2529,12413,12127,10151,15237,17533,7803,13451,1777,93033
119,127,865,749,651,1233,1285,607,876,98,6502,218,895,861,702,1703,1689,470,765,1776,9069,4174,17491,17866,16173,30379,29799,11965,18237,3556,149640
120,88,494,475,485,930,875,426,604,63,4420,137,513,573,426,811,1013,271,550,1109,5395,3024,12026,12430,11094,20713,22845,9119,14440,2199,107890
121,173,946,859,761,1364,1439,806,1103,83,7523,221,906,903,677,1387,2090,688,1333,1772,9972,5726,22185,22262,18674,34946,49172,20672,33637,3392,210668
122,87,593,452,458,651,796,373,548,43,3995,115,552,471,411,660,963,315,661,654,4791,2349,12717,11508,10149,13702,16593,7395,12395,1408,88217
123,68,420,286,286,600,585,349,478,48,3125,123,396,333,323,883,884,278,462,776,4456,2341,9452,7934,8546,16278,14311,6998,11057,1648,78570
124,83,532,404,430,651,771,427,605,61,3972,143,522,358,388,905,874,282,586,895,4942,3171,13061,11427,11833,19771,18398,8826,13778,1950,102208
125,152,757,713,613,1841,1708,759,1091,90,7717,282,991,1010,888,2734,2537,802,1176,2640,13037,6279,18359,19806,19345,54750,49202,19632,27963,4892,220226
126,65,369,350,314,610,586,277,404,38,3013,101,349,323,293,717,935,290,540,938,4488,2671,9571,9512,8081,20720,23536,9612,14655,1733,100093
127,82,583,429,423,964,966,431,659,66,4598,179,788,625,573,1695,1502,442,737,1618,8163,3116,12983,11992,11838,26034,24165,10285,16738,3072,120230
128,72,453,372,376,553,646,309,432,26,3238,87,339,316,281,500,556,183,379,570,3213,1980,10364,9024,8025,11024,11791,5311,8733,1213,67454
197,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,10,9,6,5,5,3,9,7,34,0,90
199,195,1161,676,691,669,969,349,796,80,5577,521,953,752,691,957,1448,379,951,1622,8274,6077,19722,15762,16389,17452,30717,11319,22127,3790,143362
201,76,322,217,262,427,348,209,249,33,2137,91,257,156,166,329,299,126,236,502,2162,2452,8507,6956,7914,10584,9386,5211,7443,1155,59603
202,76,305,203,293,423,364,233,317,19,2226,95,267,167,210,339,328,140,262,466,2268,2528,8525,6866,8056,10885,9577,5360,7810,1099,60709
203,112,618,451,497,779,751,319,458,56,4041,163,460,329,363,575,673,232,440,859,4092,4125,15947,12987,13731,18684,18753,9099,13121,1932,108389
204,63,290,220,254,435,466,227,357,31,2354,138,304,216,206,353,399,149,305,617,2697,2784,8195,7150,8563,11020,11256,6224,10412,1446,67050
205,111,537,384,411,681,713,306,535,38,3720,183,431,308,305,523,587,204,449,959,3937,4431,14023,10988,12224,16038,15102,8281,14644,2063,97786
206,490,1856,2089,2186,4492,3651,1896,2336,198,19201,720,2230,2205,1777,3950,4904,1608,3091,5923,26408,21563,55008,62691,62921,136026,162024,72102,103362,11723,687418
207,130,897,701,747,1225,1001,623,752,55,6129,183,768,537,468,823,989,304,588,1193,5848,4348,21630,17505,16958,24598,26186,12303,18197,2406,144126
208,133,1042,818,741,1235,1160,547,775,88,6535,201,915,712,678,1441,1556,496,887,1342,8216,4244,23340,18669,18426,27310,26793,12968,18967,2695,153409
209,133,883,592,649,1080,969,443,659,70,5481,190,816,543,606,1296,1266,378,703,1419,7222,4812,22035,17649,18314,27022,25868,11638,16773,2994,147092
210,109,619,540,548,1124,1090,505,686,67,5289,217,738,616,630,1744,1495,532,747,1474,8186,4146,14729,13426,15090,30014,27777,13436,17976,3062,139656
211,200,1064,905,855,1508,1489,705,1088,86,7899,302,1002,721,820,1939,1785,676,1083,1558,9891,5483,26196,19999,20644,33002,30897,15396,21648,3184,176445
212,236,1329,1093,1062,2536,2312,1067,1488,121,11244,426,1463,1267,1324,3682,3464,1199,1828,2960,17615,8387,33111,29145,31942,62882,59107,28495,38767,5837,297667
213,200,1079,815,853,1746,1576,708,1005,94,8075,323,1129,959,968,2370,2334,709,1179,2354,12336,6408,26925,22707,24284,44504,41398,19344,28369,4835,218781
214,85,572,407,490,653,656,337,476,43,3723,133,525,399,396,701,752,259,487,791,4449,3035,14113,10708,12257,14791,15046,7496,11036,1693,90174
215,61,262,207,230,453,433,169,290,33,2130,105,245,185,203,351,392,116,286,609,2483,2463,7227,5895,7227,10388,10377,5069,9685,1390,59720
216,73,280,193,225,473,442,218,283,25,2224,115,213,140,146,357,357,141,277,580,2318,2372,6299,5322,6569,9329,9089,5072,8441,1226,53711
217,39,273,150,186,331,312,142,234,23,1698,74,187,143,161,316,293,102,237,459,1970,2084,6591,5254,5951,7903,7839,4300,8416,1050,49392
297,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,3,17,22,8,9,3,11,15,13,76,9,155
299,176,872,489,558,481,708,281,528,49,4134,487,873,597,557,838,1141,311,727,1315,6842,5166,16553,12058,13727,15286,26497,9591,17030,3122,119037
301,72,457,374,409,678,620,303,477,32,3430,101,382,287,337,720,742,274,576,626,4041,2341,9919,7752,9600,15490,14062,7459,12458,1330,80416
302,110,482,380,512,985,859,464,609,48,4438,124,378,322,338,976,931,347,617,821,4845,3888,11588,10770,13672,25885,21867,11980,17186,1893,118730
303,170,696,668,781,1652,1476,780,985,73,7270,184,642,586,594,1505,1394,498,878,1274,7555,4809,16344,15289,17832,32908,29095,14806,22003,2607,155691
304,69,374,274,323,442,332,212,312,23,2363,54,278,155,190,228,312,93,229,389,1934,2104,10859,6747,7065,9905,9534,5241,8282,932,60680
