SA4_CODE_2016,F_M2_TrnFer_15_24,F_M2_TrnFer_25_34,F_M2_TrnFer_35_44,F_M2_TrnFer_45_54,F_M2_TrnFer_55_64,F_M2_TrnFer_65_74,F_M2_TrnFer_75ov,F_M2_TrnFer_Tot,F_M2_TrnTrm_Inc_LR_15_24,F_M2_TrnTrm_Inc_LR_25_34,F_M2_TrnTrm_Inc_LR_35_44,F_M2_TrnTrm_Inc_LR_45_54,F_M2_TrnTrm_Inc_LR_55_64,F_M2_TrnTrm_Inc_LR_65_74,F_M2_TrnTrm_Inc_LR_75ov,F_M2_TrnTrm_Inc_LR_Tot,F_M2_TrnCarAsDriv_15_24,F_M2_TrnCarAsDriv_25_34,F_M2_TrnCarAsDriv_35_44,F_M2_TrnCarAsDriv_45_54,F_M2_TrnCarAsDriv_55_64,F_M2_TrnCarAsDriv_65_74,F_M2_TrnCarAsDriv_75ov,F_M2_TrnCarAsDriv_Tot,F_M2_TrnCarAsPas_15_24,F_M2_TrnCarAsPas_25_34,F_M2_TrnCarAsPas_35_44,F_M2_TrnCarAsPas_45_54,F_M2_TrnCarAsPas_55_64,F_M2_TrnCarAsPas_65_74,F_M2_TrnCarAsPas_75ov,F_M2_TrnCarAsPas_Tot,F_M2_TrnOth_15_24,F_M2_TrnOth_25_34,F_M2_TrnOth_35_44,F_M2_TrnOth_45_54,F_M2_TrnOth_55_64,F_M2_TrnOth_65_74,F_M2_TrnOth_75ov,F_M2_TrnOth_Tot,F_M2_Train_and_Tot_15_24,F_M2_Train_and_Tot_25_34,F_M2_Train_and_Tot_35_44,F_M2_Train_and_Tot_45_54,F_M2_Train_and_Tot_55_64,F_M2_Train_and_Tot_65_74,F_M2_Train_and_Tot_75ov,F_M2_Train_and_Tot_Tot,F_M2_BusFer_15_24,F_M2_BusFer_25_34,F_M2_BusFer_35_44,F_M2_BusFer_45_54,F_M2_BusFer_55_64,F_M2_BusFer_65_74,F_M2_BusFer_75ov,F_M2_BusFer_Tot,F_M2_BusTrm_Inc_LR_15_24,F_M2_BusTrm_Inc_LR_25_34,F_M2_BusTrm_Inc_LR_35_44,F_M2_BusTrm_Inc_LR_45_54,F_M2_BusTrm_Inc_LR_55_64,F_M2_BusTrm_Inc_LR_65_74,F_M2_BusTrm_Inc_LR_75ov,F_M2_BusTrm_Inc_LR_Tot,F_M2_BusCarAsDriv_15_24,F_M2_BusCarAsDriv_25_34,F_M2_BusCarAsDriv_35_44,F_M2_BusCarAsDriv_45_54,F_M2_BusCarAsDriv_55_64,F_M2_BusCarAsDriv_65_74,F_M2_BusCarAsDriv_75ov,F_M2_BusCarAsDriv_Tot,F_M2_BusCarAsPas_15_24,F_M2_BusCarAsPas_25_34,F_M2_BusCarAsPas_35_44,F_M2_BusCarAsPas_45_54,F_M2_BusCarAsPas_55_64,F_M2_BusCarAsPas_65_74,F_M2_BusCarAsPas_75ov,F_M2_BusCarAsPas_Tot,F_M2_BusOth_15_24,F_M2_BusOth_25_34,F_M2_BusOth_35_44,F_M2_BusOth_45_54,F_M2_BusOth_55_64,F_M2_BusOth_65_74,F_M2_BusOth_75ov,F_M2_BusOth_Tot,F_M2_BusTot_15_24,F_M2_BusTot_25_34,F_M2_BusTot_35_44,F_M2_BusTot_45_54,F_M2_BusTot_55_64,F_M2_BusTot_65_74,F_M2_BusTot_75ov,F_M2_BusTot_Tot,F_M2_Other_M2_15_24,F_M2_Other_M2_25_34,F_M2_Other_M2_35_44,F_M2_Other_M2_45_54,F_M2_Other_M2_55_64,F_M2_Other_M2_65_74,F_M2_Other_M2_75ov,F_M2_Other_M2_Tot,F_M2_Tot_M2_15_24,F_M2_Tot_M2_25_34,F_M2_Tot_M2_35_44,F_M2_Tot_M2_45_54,F_M2_Tot_M2_55_64,F_M2_Tot_M2_65_74,F_M2_Tot_M2_75ov,F_M2_Tot_M2_Tot,F_M3_Trn_and_2_oth_Ms_15_24,F_M3_Trn_and_2_oth_Ms_25_34,F_M3_Trn_and_2_oth_Ms_35_44,F_M3_Trn_and_2_oth_Ms_45_54,F_M3_Trn_and_2_oth_Ms_55_64,F_M3_Trn_and_2_oth_Ms_65_74,F_M3_Trn_and_2_oth_Ms_75ov,F_M3_Trn_and_2_oth_Ms_Tot,F_M3_Bus2othMs_ex_tn_15_24,F_M3_Bus2othMs_ex_tn_25_34,F_M3_Bus2othMs_ex_tn_35_44,F_M3_Bus2othMs_ex_tn_45_54,F_M3_Bus2othMs_ex_tn_55_64,F_M3_Bus2othMs_ex_tn_65_74,F_M3_Bus2othMs_ex_tn_75ov,F_M3_Bus2othMs_ex_tn_Tot,F_M3_Other_M3_15_24,F_M3_Other_M3_25_34,F_M3_Other_M3_35_44,F_M3_Other_M3_45_54,F_M3_Other_M3_55_64,F_M3_Other_M3_65_74,F_M3_Other_M3_75ov,F_M3_Other_M3_Tot,F_M3_Tot_M3_15_24,F_M3_Tot_M3_25_34,F_M3_Tot_M3_35_44,F_M3_Tot_M3_45_54,F_M3_Tot_M3_55_64,F_M3_Tot_M3_65_74,F_M3_Tot_M3_75ov,F_M3_Tot_M3_Tot,F_Wkd_at_home_15_24,F_Wkd_at_home_25_34,F_Wkd_at_home_35_44,F_Wkd_at_home_45_54,F_Wkd_at_home_55_64,F_Wkd_at_home_65_74,F_Wkd_at_home_75ov,F_Wkd_at_home_Tot,F_Did_not_go_to_work_15_24,F_Did_not_go_to_work_25_34,F_Did_not_go_to_work_35_44,F_Did_not_go_to_work_45_54,F_Did_not_go_to_work_55_64,F_Did_not_go_to_work_65_74,F_Did_not_go_to_work_75ov,F_Did_not_go_to_work_Tot,F_MT_NS_15_24,F_MT_NS_25_34,F_MT_NS_35_44,F_MT_NS_45_54,F_MT_NS_55_64,F_MT_NS_65_74,F_MT_NS_75ov,F_MT_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75ov,F_Tot_Tot,P_M1_Train_15_24,P_M1_Train_25_34,P_M1_Train_35_44,P_M1_Train_45_54,P_M1_Train_55_64,P_M1_Train_65_74,P_M1_Train_75ov,P_M1_Train_Tot,P_M1_Bus_15_24,P_M1_Bus_25_34,P_M1_Bus_35_44,P_M1_Bus_45_54,P_M1_Bus_55_64,P_M1_Bus_65_74,P_M1_Bus_75ov,P_M1_Bus_Tot,P_M1_Ferry_15_24,P_M1_Ferry_25_34,P_M1_Ferry_35_44,P_M1_Ferry_45_54,P_M1_Ferry_55_64,P_M1_Ferry_65_74,P_M1_Ferry_75ov,P_M1_Ferry_Tot
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,4,3,3,0,0,47,19,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,53,28,19,10,12,6,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,11,11,3,0,5,5,0,0,21,3,0,0,0,0,0,0,4,16,10,8,7,10,0,0,40,28,28,22,25,23,3,0,130,94,64,44,47,39,5,0,292,12,4,3,0,3,0,0,26,0,0,0,0,0,0,0,3,5,0,0,3,4,0,0,8,10,5,5,3,9,0,0,38,60,276,570,700,727,457,109,2905,827,816,725,819,932,263,23,4395,77,64,75,66,69,30,15,399,4945,5591,6566,8347,6633,1664,227,33963,59,77,41,32,33,6,0,246,119,95,55,53,49,11,0,378,0,7,3,3,0,0,0,18
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,21,32,19,7,0,119,11,9,3,12,4,3,0,38,0,0,0,7,0,0,0,5,70,77,44,75,37,13,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,18,53,20,3,3,4,0,0,84,0,0,0,0,0,0,0,4,57,22,11,11,5,3,0,106,41,28,41,39,44,3,0,197,165,128,91,133,86,23,0,630,26,16,9,12,10,3,0,71,6,8,0,0,3,0,0,13,0,0,0,0,0,0,0,5,28,20,9,18,14,0,0,90,94,528,1142,1036,784,295,31,3912,1864,1617,1454,1348,1326,313,27,7945,117,82,95,121,94,37,26,576,9418,9917,11825,13503,9790,1773,142,56377,167,172,148,124,116,25,4,749,486,199,165,195,169,24,0,1241,3,9,3,3,0,0,0,16
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,4,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,12,4,3,3,0,0,0,0,9,0,0,0,0,0,0,0,3,9,5,5,4,3,0,0,20,27,34,29,29,18,5,3,148,38,35,35,39,21,5,3,186,3,0,3,3,0,0,0,9,0,0,0,0,0,0,0,3,0,4,0,7,3,0,0,14,3,3,7,11,3,0,0,28,61,343,620,643,703,498,154,3022,1060,1182,871,885,881,248,37,5157,110,69,77,89,70,52,38,504,5904,7347,8256,9365,7065,1840,367,40134,12,17,13,7,5,3,0,59,57,60,66,58,55,6,0,311,4,3,3,3,0,0,0,20
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,3,0,4,3,0,0,20,0,0,0,0,0,0,0,0,7,3,0,9,3,0,0,20,14,16,16,35,19,0,0,104,30,21,16,42,21,3,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,33,176,376,432,449,183,47,1690,610,590,543,629,723,145,13,3266,56,38,42,60,33,25,17,278,3430,3917,5079,6393,5202,927,121,25066,0,0,4,4,3,0,0,11,61,26,29,20,26,11,0,168,0,0,6,3,0,0,0,10
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,7,4,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,8,13,20,6,13,17,8,0,79,20,31,10,24,21,8,0,109,0,0,4,0,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,5,0,3,4,3,3,4,0,14,41,198,250,341,400,217,85,1529,473,680,422,398,398,108,18,2503,42,36,43,51,46,22,20,270,3000,4537,4213,4944,3953,964,211,21825,9,19,8,3,6,0,0,45,45,34,51,51,36,11,0,229,6,3,5,3,0,0,0,12
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,14,4,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,16,11,10,8,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,17,5,3,0,0,3,0,24,3,0,0,0,0,0,0,8,20,9,3,5,3,3,0,35,36,42,33,40,24,6,0,187,67,66,48,49,29,8,0,271,6,3,0,4,0,0,0,13,3,0,0,0,0,0,0,10,0,3,3,0,0,0,0,7,9,6,7,3,0,0,0,25,59,427,677,735,603,334,84,2915,1463,1549,1254,1078,938,224,26,6522,87,83,79,100,68,32,29,478,7703,9167,9879,10377,6876,1414,204,45625,35,47,37,30,21,3,0,170,156,79,39,60,54,9,0,388,4,4,3,4,0,0,0,12
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,14,13,6,5,0,67,16,16,9,7,6,0,0,48,0,4,3,3,0,0,0,10,65,77,47,48,34,6,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,6,5,7,3,0,41,34,17,5,8,4,0,0,65,3,7,6,3,0,0,0,17,55,28,16,16,15,3,0,123,41,33,32,43,28,0,0,181,164,142,96,106,80,9,0,594,16,13,8,5,0,0,0,50,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,3,21,17,12,13,3,0,0,70,79,417,824,664,446,185,30,2657,1715,1573,1393,1142,1033,240,19,7118,92,60,65,82,69,27,23,419,9157,10037,11443,11993,7988,1309,122,52051,288,303,187,167,139,21,0,1102,591,423,238,243,169,37,3,1691,3,6,0,0,0,0,0,11
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,12,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,13,0,7,3,0,0,0,19,25,26,23,31,25,5,0,129,33,29,34,40,24,5,0,173,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,0,3,0,0,0,15,49,244,488,594,588,365,75,2398,966,817,803,943,1006,241,25,4802,95,41,77,112,90,36,36,493,4657,5204,6958,9106,7529,1598,205,35260,8,17,4,7,4,0,0,46,84,41,28,48,19,9,0,229,0,0,4,3,3,0,0,9
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,14,21,15,17,18,13,0,0,92,33,21,18,18,19,4,0,120,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,12,37,184,330,391,419,202,63,1632,710,685,534,538,553,162,20,3213,68,34,53,54,52,28,13,296,3701,4362,4739,5676,4625,1027,170,24303,6,11,4,5,3,0,0,29,50,39,44,38,23,4,0,202,3,0,0,3,0,0,0,5
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,3,3,0,0,16,0,0,0,0,3,0,0,5,10,0,3,8,3,0,0,25,27,35,19,25,12,10,0,135,36,40,26,29,19,10,0,165,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,3,0,0,0,13,86,317,558,689,810,571,158,3195,918,928,693,705,747,204,29,4224,90,63,81,93,94,53,28,500,5103,6521,7069,8219,6620,1793,338,35662,12,14,15,3,10,0,0,50,91,62,59,63,46,19,0,341,3,4,0,0,4,0,0,14
